POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;27;4;2:00.184;-;-;175.0;5;Griffin Core;;;;Tatuus T-318;;;;;;;;;;;;Jesse;CARRASQUEDO;;;MEX;CRR;;;;;;
2;24;10;2:00.357;+0.173;+0.173;174.7;11;Campos Racing;R;;;Tatuus T-318;;;;;;;;;;;;Ernesto;RIVERA;;;MEX;;;;;;;
3;71;12;2:00.371;+0.187;+0.014;174.7;12;MP Motorsport;R;;;Tatuus T-318;;;;;;;;;;;;Mattia;COLNAGHI;;;ITA;;;;;;;
4;37;10;2:00.461;+0.277;+0.090;174.6;11;Griffin Core;;;;Tatuus T-318;;;;;;;;;;;;Kacper;SZTUKA;;;POL;;;;;;;
5;55;10;2:00.473;+0.289;+0.012;174.6;11;MP Motorsport;;;;Tatuus T-318;;;;;;;;;;;;Valerio;RINICELLA;;;ITA;;;;;;;
6;8;11;2:00.498;+0.314;+0.025;174.5;11;Campos Racing;R;;;Tatuus T-318;;;;;;;;;;;;Enzo;TARNVANICHKUL;;;THA;;;;;;;
7;7;10;2:00.752;+0.568;+0.254;174.2;11;MP Motorsport;R;;;Tatuus T-318;;;;;;;;;;;;Maciej;GLADYSZ;;;POL;;;;;;;
8;12;11;2:00.810;+0.626;+0.058;174.1;11;KCL MP Motorsport;;;;Tatuus T-318;;;;;;;;;;;;Alexander;ABKHAZAVA;;;KAZ;;;;;;;
9;33;10;2:00.818;+0.634;+0.008;174.1;12;MP Motorsport;R;;;Tatuus T-318;;;;;;;;;;;;Andrés;CARDENAS;;;PER;CRD;;;;;;
10;77;8;2:00.834;+0.650;+0.016;174.1;11;MP Motorsport;;;;Tatuus T-318;;;;;;;;;;;;Emerson;FITTIPALDI;;;BRA;;;;;;;
11;18;7;2:01.031;+0.847;+0.197;173.8;12;Saintéloc Racing;;;;Tatuus T-318;;;;;;;;;;;;Garrett;BERRY;;;GBR;;;;;;;
12;2;3;2:01.107;+0.923;+0.076;173.7;4;Griffin Core;R;;;Tatuus T-318;;209;;;;;;;;;;Francisco;MACEDO;;;PRT;;;;;;;
13;83;8;2:01.252;+1.068;+0.145;173.5;12;Campos Racing;R;;;Tatuus T-318;;;;;;;;;;;;Jules;CARANTA;;;FRA;CRT;;;;;;
14;87;10;2:01.254;+1.070;+0.002;173.4;12;KCL MP Motorsport;R;;;Tatuus T-318;;;;;;;;;;;;Kai;DARYANANI;;;GBR;;;;;;;
15;10;12;2:01.350;+1.166;+0.096;173.3;12;Saintéloc Racing;R;;;Tatuus T-318;;;;;;;;;;;;Lorenzo;CASTILLO;;;MEX;;;;;;;
16;48;5;2:01.381;+1.197;+0.031;173.3;11;Palou Motorsport;R;;;Tatuus T-318;;;;;;;;;;;;James;EGOZI;;;USA;;;;;;;
17;11;8;2:01.702;+1.518;+0.321;172.8;12;Drivex;R;;;Tatuus T-318;;;;;;;;;;;;Oscar;WURZ;;;AUT;;;;;;;
18;17;4;2:01.907;+1.723;+0.205;172.5;9;DXR;;;;Tatuus T-318;;;;;;;;;;;;Owen;TANGAVELOU;;;VNM;;;;;;;
19;5;9;2:02.094;+1.910;+0.187;172.3;11;Palou Motorsport;;;;Tatuus T-318;;;;;;;;;;;;Luciano;MORANO;;;FRA;;;;;;;
20;3;11;2:02.229;+2.045;+0.135;172.1;12;Sparco Palou MS;R;;;Tatuus T-318;;;;;;;;;;;;Lenny;RIED;;;DEU;;1-7-2007;;;;;
21;26;8;2:02.273;+2.089;+0.044;172.0;11;Palou Motorsport;;;;Tatuus T-318;;;;;;;;;;;;Isaac;BARASHI;;;GBR;;;;;;;
22;25;5;2:02.317;+2.133;+0.044;171.9;13;Drivex;R;;;Tatuus T-318;;;;;;;;;;;;Preston;LAMBERT;;;USA;;;;;;;
23;23;8;2:02.598;+2.414;+0.281;171.5;13;Sparco Palou MS;R;;;Tatuus T-318;;;;;;;;;;;;Alceu;FELDMANN;;;BRA;;;;;;;
24;4;11;2:02.671;+2.487;+0.073;171.4;11;Drivex;;;;Tatuus T-318;;;;;;;;;;;;Alessandro;FAMULARO;;;VEN;;;;;;;
25;21;8;2:03.032;+2.848;+0.361;170.9;10;Drivex;R;;;Tatuus T-318;;;;;;;;;;;;Cristian;CANTÚ;;;MEX;;;;;;;
26;43;11;2:03.149;+2.965;+0.117;170.8;12;Allay Racing;R;;;Tatuus T-318;;;;;;;;ALKAMEL;;;;Linus;HELLBERG;;;SWE;HBL;;;;;;
27;6;12;2:03.580;+3.396;+0.431;170.2;13;Palou Motorsport;R;;;Tatuus T-318;;;;;;;;;;;;Zack;SCOULAR;;;NZL;;;;;;;
28;46;10;2:04.160;+3.976;+0.580;169.4;12;Allay Racing;R;;;Tatuus T-318;;;;;;;;;;;;Emil;HELLBERG;;;SWE;HBE;;;;;;
