NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
10;1;1;2:09.100;0;B;37.944;0;38.490;0;52.666;0;162.9;2:09.100;14:27:09.100;0:37.944;0:38.490;0:52.666;142.5;Lorenzo CASTILLO;0:00:03.555;R;;Saintéloc Racing;;GF;37.944;38.490;52.666;
10;1;2;2:37.312;0;B;1:07.018;0;38.077;0;52.217;0;133.7;4:46.412;14:29:46.412;1:07.018;0:38.077;0:52.217;141.9;Lorenzo CASTILLO;0:00:35.275;R;;Saintéloc Racing;;GF;67.018;38.077;52.217;
10;1;3;2:35.617;0;B;1:05.207;0;37.927;0;52.483;0;135.1;7:22.029;14:32:22.029;1:05.207;0:37.927;0:52.483;143.8;Lorenzo CASTILLO;0:00:33.629;R;;Saintéloc Racing;;GF;65.207;37.927;52.483;
10;1;4;7:20.806;0;;5:49.479;0;39.216;0;52.111;0;47.7;14:42.835;14:39:42.835;5:49.479;0:39.216;0:52.111;138.3;Lorenzo CASTILLO;0:05:15.587;R;;Saintéloc Racing;;GF;349.479;39.216;52.111;
10;1;5;2:02.369;0;;33.438;0;38.168;0;50.763;0;171.9;16:45.204;14:41:45.204;0:33.438;0:38.168;0:50.763;225.5;Lorenzo CASTILLO;;R;;Saintéloc Racing;;GF;33.438;38.168;50.763;
10;1;6;2:01.732;0;;33.272;0;37.795;0;50.665;0;172.8;18:46.936;14:43:46.936;0:33.272;0:37.795;0:50.665;226.9;Lorenzo CASTILLO;;R;;Saintéloc Racing;;GF;33.272;37.795;50.665;
10;1;7;2:27.290;0;;35.193;0;43.095;0;1:09.002;0;142.8;21:14.226;14:46:14.226;0:35.193;0:43.095;1:09.002;228.3;Lorenzo CASTILLO;;R;;Saintéloc Racing;;GF;35.193;43.095;69.002;
10;1;8;2:02.032;0;;33.287;0;37.733;0;51.012;0;172.3;23:16.258;14:48:16.258;0:33.287;0:37.733;0:51.012;227.8;Lorenzo CASTILLO;;R;;Saintéloc Racing;;GF;33.287;37.733;51.012;
10;1;9;2:01.792;0;;33.334;0;37.699;2;50.759;0;172.7;25:18.050;14:50:18.050;0:33.334;0:37.699;0:50.759;231.3;Lorenzo CASTILLO;;R;;Saintéloc Racing;;GF;33.334;37.699;50.759;
10;1;10;2:11.905;0;;33.342;0;43.365;0;55.198;0;159.4;27:29.955;14:52:29.955;0:33.342;0:43.365;0:55.198;228.3;Lorenzo CASTILLO;;R;;Saintéloc Racing;;GF;33.342;43.365;55.198;
10;1;11;2:01.488;0;;33.127;0;37.727;0;50.634;0;173.1;29:31.443;14:54:31.443;0:33.127;0:37.727;0:50.634;227.8;Lorenzo CASTILLO;;R;;Saintéloc Racing;;GF;33.127;37.727;50.634;
10;1;12;2:01.350;2;;33.091;2;37.749;0;50.510;2;173.3;31:32.793;14:56:32.793;0:33.091;0:37.749;0:50.510;228.3;Lorenzo CASTILLO;;R;;Saintéloc Racing;;FF;33.091;37.749;50.510;
11;1;1;2:39.089;0;;1:00.174;0;42.860;0;56.055;0;132.2;2:39.089;14:27:39.089;1:00.174;0:42.860;0:56.055;140.3;Oscar WURZ;0:00:22.787;R;;Drivex;;GF;60.174;42.860;56.055;
11;1;2;2:04.774;0;;35.031;0;38.311;0;51.432;0;168.6;4:43.863;14:29:43.863;0:35.031;0:38.311;0:51.432;206.5;Oscar WURZ;;R;;Drivex;;GF;35.031;38.311;51.432;
11;1;3;2:02.830;0;;33.500;0;38.195;0;51.135;0;171.2;6:46.693;14:31:46.693;0:33.500;0:38.195;0:51.135;227.4;Oscar WURZ;;R;;Drivex;;GF;33.500;38.195;51.135;
11;1;4;2:02.684;0;;33.457;0;37.955;0;51.272;0;171.4;8:49.377;14:33:49.377;0:33.457;0:37.955;0:51.272;226.9;Oscar WURZ;;R;;Drivex;;GF;33.457;37.955;51.272;
11;1;5;2:09.463;0;B;33.566;0;40.362;0;55.535;0;162.4;10:58.840;14:35:58.840;0:33.566;0:40.362;0:55.535;228.3;Oscar WURZ;;R;;Drivex;;GF;33.566;40.362;55.535;
11;1;6;7:30.326;0;;5:55.960;0;39.984;0;54.382;0;46.7;18:29.166;14:43:29.166;5:55.960;0:39.984;0:54.382;134.2;Oscar WURZ;0:05:20.827;R;;Drivex;;GF;355.960;39.984;54.382;
11;1;7;2:05.830;0;;34.557;0;38.068;0;53.205;0;167.1;20:34.996;14:45:34.996;0:34.557;0:38.068;0:53.205;225.9;Oscar WURZ;;R;;Drivex;;GF;34.557;38.068;53.205;
11;1;8;2:01.702;2;;33.165;0;37.710;2;50.827;0;172.8;22:36.698;14:47:36.698;0:33.165;0:37.710;0:50.827;229.3;Oscar WURZ;;R;;Drivex;;GF;33.165;37.710;50.827;
11;1;9;2:04.388;0;;33.101;2;39.133;0;52.154;0;169.1;24:41.086;14:49:41.086;0:33.101;0:39.133;0:52.154;230.8;Oscar WURZ;;R;;Drivex;;GF;33.101;39.133;52.154;
11;1;10;2:01.844;0;;33.270;0;37.837;0;50.737;2;172.6;26:42.930;14:51:42.930;0:33.270;0:37.837;0:50.737;228.8;Oscar WURZ;;R;;Drivex;;GF;33.270;37.837;50.737;
11;1;11;2:01.964;0;;33.297;0;37.879;0;50.788;0;172.4;28:44.894;14:53:44.894;0:33.297;0:37.879;0:50.788;229.3;Oscar WURZ;;R;;Drivex;;GF;33.297;37.879;50.788;
11;1;12;2:01.852;0;;33.263;0;37.775;0;50.814;0;172.6;30:46.746;14:55:46.746;0:33.263;0:37.775;0:50.814;230.8;Oscar WURZ;;R;;Drivex;;FF;33.263;37.775;50.814;
12;1;1;2:15.019;0;;43.702;0;39.647;0;51.670;0;155.8;2:15.019;14:27:15.019;0:43.702;0:39.647;0:51.670;132.7;Alexander ABKHAZAVA;0:00:08.902;;;KCL MP Motorsport;;GF;43.702;39.647;51.670;
12;1;2;2:03.674;0;;33.886;0;38.558;0;51.230;0;170.1;4:18.693;14:29:18.693;0:33.886;0:38.558;0:51.230;225.5;Alexander ABKHAZAVA;;;;KCL MP Motorsport;;GF;33.886;38.558;51.230;
12;1;3;2:03.782;0;;33.283;0;37.782;0;52.717;0;169.9;6:22.475;14:31:22.475;0:33.283;0:37.782;0:52.717;227.8;Alexander ABKHAZAVA;;;;KCL MP Motorsport;;GF;33.283;37.782;52.717;
12;1;4;2:01.700;0;;33.389;0;37.805;0;50.506;0;172.8;8:24.175;14:33:24.175;0:33.389;0:37.805;0:50.506;227.8;Alexander ABKHAZAVA;;;;KCL MP Motorsport;;GF;33.389;37.805;50.506;
12;1;5;2:01.156;0;B;32.936;0;37.824;0;50.396;0;173.6;10:25.331;14:35:25.331;0:32.936;0:37.824;0:50.396;228.8;Alexander ABKHAZAVA;;;;KCL MP Motorsport;;GF;32.936;37.824;50.396;
12;1;6;9:57.561;0;;8:21.003;0;42.716;0;53.842;0;35.2;20:22.892;14:45:22.892;8:21.003;0:42.716;0:53.842;120.1;Alexander ABKHAZAVA;0:07:43.345;;;KCL MP Motorsport;;GF;501.003;42.716;53.842;
12;1;7;2:06.751;0;;35.997;0;39.141;0;51.613;0;165.9;22:29.643;14:47:29.643;0:35.997;0:39.141;0:51.613;226.4;Alexander ABKHAZAVA;;;;KCL MP Motorsport;;GF;35.997;39.141;51.613;
12;1;8;2:00.941;0;;33.007;0;37.496;0;50.438;0;173.9;24:30.584;14:49:30.584;0:33.007;0:37.496;0:50.438;227.4;Alexander ABKHAZAVA;;;;KCL MP Motorsport;;GF;33.007;37.496;50.438;
12;1;9;2:00.906;0;;32.845;2;37.638;0;50.423;2;173.9;26:31.490;14:51:31.490;0:32.845;0:37.638;0:50.423;227.8;Alexander ABKHAZAVA;;;;KCL MP Motorsport;;GF;32.845;37.638;50.423;
12;1;10;2:12.678;0;;38.171;0;40.552;0;53.955;0;158.5;28:44.168;14:53:44.168;0:38.171;0:40.552;0:53.955;198.9;Alexander ABKHAZAVA;;;;KCL MP Motorsport;;GF;38.171;40.552;53.955;
12;1;11;2:00.810;2;;32.847;0;37.495;2;50.468;0;174.1;30:44.978;14:55:44.978;0:32.847;0:37.495;0:50.468;229.3;Alexander ABKHAZAVA;;;;KCL MP Motorsport;;FF;32.847;37.495;50.468;
17;1;1;2:39.230;0;B;1:04.058;0;40.278;0;54.894;0;132.1;2:39.230;14:27:39.230;1:04.058;0:40.278;0:54.894;133.7;Owen TANGAVELOU;0:00:25.990;;;DXR;;GF;64.058;40.278;54.894;
17;1;2;3:15.826;0;;1:44.697;0;38.300;0;52.829;0;107.4;5:55.056;14:30:55.056;1:44.697;0:38.300;0:52.829;132.5;Owen TANGAVELOU;0:01:05.095;;;DXR;;GF;104.697;38.300;52.829;
17;1;3;2:02.467;0;;33.459;0;37.924;0;51.084;0;171.7;7:57.523;14:32:57.523;0:33.459;0:37.924;0:51.084;227.4;Owen TANGAVELOU;;;;DXR;;GF;33.459;37.924;51.084;
17;1;4;2:01.907;2;;33.346;0;37.898;0;50.663;2;172.5;9:59.430;14:34:59.430;0:33.346;0:37.898;0:50.663;228.3;Owen TANGAVELOU;;;;DXR;;GF;33.346;37.898;50.663;
17;1;5;2:01.964;0;;33.215;0;37.857;2;50.892;0;172.4;12:01.394;14:37:01.394;0:33.215;0:37.857;0:50.892;228.3;Owen TANGAVELOU;;;;DXR;;GF;33.215;37.857;50.892;
17;1;6;2:05.160;0;B;33.362;0;38.062;0;53.736;0;168.0;14:06.554;14:39:06.554;0:33.362;0:38.062;0:53.736;228.8;Owen TANGAVELOU;;;;DXR;;GF;33.362;38.062;53.736;
17;1;7;10:40.100;0;;8:52.966;0;42.964;0;1:04.170;0;32.9;24:46.654;14:49:46.654;8:52.966;0:42.964;1:04.170;131.4;Owen TANGAVELOU;0:08:11.988;;;DXR;;GF;532.966;42.964;64.170;
17;1;8;2:02.048;0;;33.201;2;38.008;0;50.839;0;172.3;26:48.702;14:51:48.702;0:33.201;0:38.008;0:50.839;227.8;Owen TANGAVELOU;;;;DXR;;GF;33.201;38.008;50.839;
17;1;9;2:17.227;0;B;41.407;0;40.066;0;55.754;0;153.3;29:05.929;14:54:05.929;0:41.407;0:40.066;0:55.754;230.3;Owen TANGAVELOU;;;;DXR;;GF;41.407;40.066;55.754;
18;1;1;2:19.354;0;B;45.423;0;39.080;0;54.851;0;150.9;2:19.354;14:27:19.354;0:45.423;0:39.080;0:54.851;135.5;Garrett BERRY;0:00:10.705;;;Saintéloc Racing;;GF;45.423;39.080;54.851;
18;1;2;2:49.927;0;B;1:16.140;0;38.271;0;55.516;0;123.8;5:09.281;14:30:09.281;1:16.140;0:38.271;0:55.516;140.6;Garrett BERRY;0:00:37.283;;;Saintéloc Racing;;GF;76.140;38.271;55.516;
18;1;3;2:39.446;0;B;1:09.036;0;38.084;0;52.326;0;131.9;7:48.727;14:32:48.727;1:09.036;0:38.084;0:52.326;138.3;Garrett BERRY;0:00:31.191;;;Saintéloc Racing;;GF;69.036;38.084;52.326;
18;1;4;7:26.156;0;;5:52.994;0;40.486;0;52.676;0;47.1;15:14.883;14:40:14.883;5:52.994;0:40.486;0:52.676;116.5;Garrett BERRY;0:05:14.484;;;Saintéloc Racing;;GF;352.994;40.486;52.676;
18;1;5;2:04.895;0;;33.301;0;40.467;0;51.127;0;168.4;17:19.778;14:42:19.778;0:33.301;0:40.467;0:51.127;227.4;Garrett BERRY;;;;Saintéloc Racing;;GF;33.301;40.467;51.127;
18;1;6;2:01.518;0;;32.852;2;37.633;0;51.033;0;173.1;19:21.296;14:44:21.296;0:32.852;0:37.633;0:51.033;228.8;Garrett BERRY;;;;Saintéloc Racing;;GF;32.852;37.633;51.033;
