Nr;Driver;Team;TL_Nr;Camera;Lap;Time;Total_Infractions;TL_After;TL_PREVIOUS
2;Francisco MACEDO;Griffin Core;1;Turn 7;4;14:50:39.359;1;no;no
2;Francisco MACEDO;Griffin Core;2;Turn 6;4;14:50:33.948;1;no;no
6;Zack SCOULAR;Palou Motorsport;1;Turn 11;6;14:40:03.400;4;no;no
6;Zack SCOULAR;Palou Motorsport;2;Turn 11;9;14:46:17.804;4;no;no
6;Zack SCOULAR;Palou Motorsport;3;Turn 11;11;14:50:26.739;4;no;no
6;Zack SCOULAR;Palou Motorsport;4;Turn 6;13;14:53:46.045;4;no;no
18;Garrett BERRY;Saintéloc Racing;1;Turn 6;11;14:53:25.550;1;no;no
23;Alceu FELDMANN;Sparco Palou MS;1;Turn 2;10;14:47:01.605;1;no;no
25;Preston LAMBERT;Drivex;1;Turn 6;11;14:49:14.373;1;no;no
33;Andrés CARDENAS;MP Motorsport;1;Turn 11;11;14:53:44.404;1;no;no
43;Linus HELLBERG;Allay Racing;1;Turn 6;12;14:53:55.883;1;no;no
46;Emil HELLBERG;Allay Racing;1;Turn 6;8;14:45:21.773;1;no;no
77;Emerson FITTIPALDI;MP Motorsport;1;Turn 6;9;14:49:44.640;1;no;no
