POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;24;5;1:59.037;-;-;176.7;6;Campos Racing;R;;;Tatuus T-318;;;;;;;;;;;;Ernesto;RIVERA;;;MEX;;;;;;;
2;71;4;1:59.209;+0.172;+0.172;176.4;7;MP Motorsport;R;;;Tatuus T-318;;;;;;;;;;;;Mattia;COLNAGHI;;;ITA;;;;;;;
3;37;5;1:59.219;+0.182;+0.010;176.4;6;Griffin Core;;;;Tatuus T-318;;;;;;;;;;;;Kacper;SZTUKA;;;POL;;;;;;;
4;55;4;1:59.272;+0.235;+0.053;176.3;6;MP Motorsport;;;;Tatuus T-318;;;;;;;;;;;;Valerio;RINICELLA;;;ITA;;;;;;;
5;27;6;1:59.373;+0.336;+0.101;176.2;7;Griffin Core;;;;Tatuus T-318;;;;;;;;;;;;Jesse;CARRASQUEDO;;;MEX;CRR;;;;;;
6;7;4;1:59.409;+0.372;+0.036;176.1;7;MP Motorsport;R;;;Tatuus T-318;;;;;;;;;;;;Maciej;GLADYSZ;;;POL;;;;;;;
7;8;4;1:59.457;+0.420;+0.048;176.1;6;Campos Racing;R;;;Tatuus T-318;;;;;;;;;;;;Enzo;TARNVANICHKUL;;;THA;;;;;;;
8;83;4;1:59.480;+0.443;+0.023;176.0;6;Campos Racing;R;;;Tatuus T-318;;;;;;;;;;;;Jules;CARANTA;;;FRA;CRT;;;;;;
9;77;4;1:59.506;+0.469;+0.026;176.0;7;MP Motorsport;;;;Tatuus T-318;;;;;;;;;;;;Emerson;FITTIPALDI;;;BRA;;;;;;;
10;48;7;1:59.603;+0.566;+0.097;175.8;10;Palou Motorsport;R;;;Tatuus T-318;;;;;;;;;;;;James;EGOZI;;;USA;;;;;;;
11;2;6;1:59.634;+0.597;+0.031;175.8;7;Griffin Core;R;;;Tatuus T-318;;209;;;;;;;;;;Francisco;MACEDO;;;PRT;;;;;;;
12;18;5;1:59.811;+0.774;+0.177;175.5;7;Saintéloc Racing;;;;Tatuus T-318;;;;;;;;;;;;Garrett;BERRY;;;GBR;;;;;;;
13;33;6;1:59.856;+0.819;+0.045;175.5;7;MP Motorsport;R;;;Tatuus T-318;;;;;;;;;;;;Andrés;CARDENAS;;;PER;CRD;;;;;;
14;12;4;2:00.173;+1.136;+0.317;175.0;7;KCL MP Motorsport;;;;Tatuus T-318;;;;;;;;;;;;Alexander;ABKHAZAVA;;;KAZ;;;;;;;
15;87;6;2:00.364;+1.327;+0.191;174.7;7;KCL MP Motorsport;R;;;Tatuus T-318;;;;;;;;;;;;Kai;DARYANANI;;;GBR;;;;;;;
16;11;5;2:00.405;+1.368;+0.041;174.7;7;Drivex;R;;;Tatuus T-318;;;;;;;;;;;;Oscar;WURZ;;;AUT;;;;;;;
17;17;5;2:00.455;+1.418;+0.050;174.6;7;DXR;;;;Tatuus T-318;;;;;;;;;;;;Owen;TANGAVELOU;;;VNM;;;;;;;
18;10;5;2:00.620;+1.583;+0.165;174.4;6;Saintéloc Racing;R;;;Tatuus T-318;;;;;;;;;;;;Lorenzo;CASTILLO;;;MEX;;;;;;;
19;25;4;2:00.650;+1.613;+0.030;174.3;7;Drivex;R;;;Tatuus T-318;;;;;;;;;;;;Preston;LAMBERT;;;USA;;;;;;;
20;4;4;2:00.665;+1.628;+0.015;174.3;7;Drivex;;;;Tatuus T-318;;;;;;;;;;;;Alessandro;FAMULARO;;;VEN;;;;;;;
21;5;6;2:00.695;+1.658;+0.030;174.3;7;Palou Motorsport;;;;Tatuus T-318;;;;;;;;;;;;Luciano;MORANO;;;FRA;;;;;;;
22;3;4;2:00.957;+1.920;+0.262;173.9;8;Sparco Palou MS;R;;;Tatuus T-318;;;;;;;;;;;;Lenny;RIED;;;DEU;;1-7-2007;;;;;
23;26;5;2:01.080;+2.043;+0.123;173.7;8;Palou Motorsport;;;;Tatuus T-318;;;;;;;;;;;;Isaac;BARASHI;;;GBR;;;;;;;
24;21;5;2:01.091;+2.054;+0.011;173.7;7;Drivex;R;;;Tatuus T-318;;;;;;;;;;;;Cristian;CANTÚ;;;MEX;;;;;;;
25;6;7;2:01.799;+2.762;+0.708;172.7;10;Palou Motorsport;R;;;Tatuus T-318;;;;;;;;;;;;Zack;SCOULAR;;;NZL;;;;;;;
26;23;9;2:01.994;+2.957;+0.195;172.4;10;Sparco Palou MS;R;;;Tatuus T-318;;;;;;;;;;;;Alceu;FELDMANN;;;BRA;;;;;;;
27;46;8;2:02.215;+3.178;+0.221;172.1;10;Allay Racing;R;;;Tatuus T-318;;;;;;;;;;;;Emil;HELLBERG;;;SWE;HBE;;;;;;
28;43;8;2:02.701;+3.664;+0.486;171.4;10;Allay Racing;R;;;Tatuus T-318;;;;;;;;ALKAMEL;;;;Linus;HELLBERG;;;SWE;HBL;;;;;;
