NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
10;1;1;10:00.766;0;;8:24.337;0;41.990;0;54.439;0;35.0;10:00.766;09:40:00.766;8:24.337;0:41.990;0:54.439;125.7;Lorenzo CASTILLO;0:07:46.206;R;;Saintéloc Racing;;GF;504.337;41.990;54.439;
10;1;2;2:01.855;0;;33.686;0;37.545;0;50.624;0;172.6;12:02.621;09:42:02.621;0:33.686;0:37.545;0:50.624;226.9;Lorenzo CASTILLO;;R;;Saintéloc Racing;;GF;33.686;37.545;50.624;
10;1;3;2:24.320;0;B;37.794;0;45.968;0;1:00.558;0;145.7;14:26.941;09:44:26.941;0:37.794;0:45.968;1:00.558;226.9;Lorenzo CASTILLO;;R;;Saintéloc Racing;;RF;37.794;45.968;60.558;
10;1;4;5:52.297;0;;4:21.283;0;38.605;0;52.409;0;59.7;20:19.238;09:50:19.238;4:21.283;0:38.605;0:52.409;139.0;Lorenzo CASTILLO;0:03:49.059;R;;Saintéloc Racing;;GF;261.283;38.605;52.409;
10;1;5;2:00.645;0;;33.053;0;37.334;2;50.258;0;174.3;22:19.883;09:52:19.883;0:33.053;0:37.334;0:50.258;227.8;Lorenzo CASTILLO;;R;;Saintéloc Racing;;GF;33.053;37.334;50.258;
10;1;6;2:00.417;2;;32.860;2;37.337;0;50.220;2;174.7;24:20.300;09:54:20.300;0:32.860;0:37.337;0:50.220;229.8;Lorenzo CASTILLO;;R;;Saintéloc Racing;;GF;32.860;37.337;50.220;
10;1;7;2:00.610;0;;32.993;0;37.390;0;50.227;0;174.4;26:20.910;09:56:20.910;0:32.993;0:37.390;0:50.227;229.8;Lorenzo CASTILLO;;R;;Saintéloc Racing;;FF;32.993;37.390;50.227;
11;1;1;10:23.039;0;;8:38.115;0;47.809;0;57.115;0;33.8;10:23.039;09:40:23.039;8:38.115;0:47.809;0:57.115;126.3;Oscar WURZ;0:07:58.813;R;;Drivex;;GF;518.115;47.809;57.115;
11;1;2;2:18.999;0;B;34.890;0;39.191;0;1:04.918;0;151.3;12:42.038;09:42:42.038;0:34.890;0:39.191;1:04.918;226.4;Oscar WURZ;;R;;Drivex;;RF;34.890;39.191;64.918;
11;1;3;8:19.081;0;;6:31.929;0;50.537;0;56.615;0;42.1;21:01.119;09:51:01.119;6:31.929;0:50.537;0:56.615;139.0;Oscar WURZ;0:05:59.670;R;;Drivex;;GF;391.929;50.537;56.615;
11;1;4;2:03.769;0;;33.131;0;37.310;2;53.328;0;169.9;23:04.888;09:53:04.888;0:33.131;0:37.310;0:53.328;229.3;Oscar WURZ;;R;;Drivex;;GF;33.131;37.310;53.328;
11;1;5;2:06.708;0;;36.378;0;39.512;0;50.818;0;166.0;25:11.596;09:55:11.596;0:36.378;0:39.512;0:50.818;229.3;Oscar WURZ;;R;;Drivex;;GF;36.378;39.512;50.818;
11;1;6;2:00.744;2;;32.841;2;37.407;0;50.496;2;174.2;27:12.340;09:57:12.340;0:32.841;0:37.407;0:50.496;229.8;Oscar WURZ;;R;;Drivex;;FF;32.841;37.407;50.496;
12;1;1;2:12.844;0;;41.768;0;39.320;0;51.756;0;158.3;2:12.844;09:32:12.844;0:41.768;0:39.320;0:51.756;124.3;Alexander ABKHAZAVA;0:00:03.402;;;KCL MP Motorsport;;GF;41.768;39.320;51.756;
12;1;2;2:00.730;0;;33.126;0;37.464;0;50.140;0;174.2;4:13.574;09:34:13.574;0:33.126;0:37.464;0:50.140;228.8;Alexander ABKHAZAVA;;;;KCL MP Motorsport;;GF;33.126;37.464;50.140;
12;1;3;1:59.861;2;;32.685;0;37.331;0;49.845;2;175.5;6:13.435;09:36:13.435;0:32.685;0:37.331;0:49.845;227.4;Alexander ABKHAZAVA;;;;KCL MP Motorsport;;GF;32.685;37.331;49.845;
12;1;4;2:00.630;0;B;33.218;0;37.239;0;50.173;0;174.3;8:14.065;09:38:14.065;0:33.218;0:37.239;0:50.173;227.4;Alexander ABKHAZAVA;;;;KCL MP Motorsport;;GF;33.218;37.239;50.173;
