TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1750577451;22/06/2025 7:30:51;24,06;33,5;76;1020;6,768;107;0;
1750577570;22/06/2025 7:32:50;24,06;33,7;76;1020;6,768;107;0;
1750577691;22/06/2025 7:34:51;24,61;34;74;1020;7,524;131;0;
1750577811;22/06/2025 7:36:51;24,61;34;74;1020;7,524;131;0;
1750577931;22/06/2025 7:38:51;24,61;34;74;1020;7,524;131;0;
1750578050;22/06/2025 7:40:50;24,61;34,2;74;1020;7,524;131;0;
1750578170;22/06/2025 7:42:50;24,61;34,2;74;1020;7,524;131;0;
1750578291;22/06/2025 7:44:51;24,61;34,7;74;1020;7,524;131;0;
1750578411;22/06/2025 7:46:51;24,61;34,5;74;1020;7,524;131;0;
1750578531;22/06/2025 7:48:51;24,61;34,5;74;1020;7,524;131;0;
1750578651;22/06/2025 7:50:51;25,17;35;72;1020;7,524;131;0;
1750578771;22/06/2025 7:52:51;25,17;35;72;1020;7,524;131;0;
1750578891;22/06/2025 7:54:51;25,17;35;72;1020;7,524;131;0;
