POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;71;Classified;15;33:30.264;-;-;6;2:01.145;173.6;MP Motorsport;R;;;Tatuus T-318;;;;;;;;;;;;Mattia;COLNAGHI;;;ITA;;;;;;;
2;55;Classified;15;33:32.233;+1.969;+1.969;9;2:01.197;173.5;MP Motorsport;;;;Tatuus T-318;;;;;;;;;;;;Valerio;RINICELLA;;;ITA;;;;;;;
3;37;Classified;15;33:32.816;+2.552;+0.583;7;2:01.109;173.7;Griffin Core;;;;Tatuus T-318;;;;;;;;;;;;Kacper;SZTUKA;;;POL;;;;;;;
4;24;Classified;15;33:33.282;+3.018;+0.466;9;2:00.980;173.8;Campos Racing;R;;;Tatuus T-318;;;;;;;;;;;;Ernesto;RIVERA;;;MEX;;;;;;;
5;27;Classified;15;33:33.313;+3.049;+0.031;5;2:01.112;173.7;Griffin Core;;;;Tatuus T-318;;;;;;;;;;;;Jesse;CARRASQUEDO;;;MEX;CRR;;;;;;
6;8;Classified;15;33:33.334;+3.070;+0.021;6;2:01.057;173.7;Campos Racing;R;;;Tatuus T-318;;;;;;;;;;;;Enzo;TARNVANICHKUL;;;THA;;;;;;;
7;7;Classified;15;33:34.151;+3.887;+0.817;7;2:01.181;173.6;MP Motorsport;R;;;Tatuus T-318;;;;;;;;;;;;Maciej;GLADYSZ;;;POL;;;;;;;
8;33;Classified;15;33:44.148;+13.884;+9.997;12;2:01.545;173.0;MP Motorsport;R;;;Tatuus T-318;;;;;;;;;;;;Andrés;CARDENAS;;;PER;CRD;;;;;;
9;18;Classified;15;33:45.052;+14.788;+0.904;7;2:01.694;172.8;Saintéloc Racing;;;;Tatuus T-318;;;;;;;;;;;;Garrett;BERRY;;;GBR;;;;;;;
10;83;Classified;15;33:45.159;+14.895;+0.107;7;2:01.381;173.3;Campos Racing;R;;;Tatuus T-318;;;;;;;;;;;;Jules;CARANTA;;;FRA;CRT;;;;;;
11;5;Classified;15;33:48.020;+17.756;+2.861;15;2:01.674;172.8;Palou Motorsport;;;;Tatuus T-318;;;;;;;;;;;;Luciano;MORANO;;;FRA;;;;;;;
12;2;Classified;15;33:51.980;+21.716;+3.960;5;2:01.328;173.3;Griffin Core;R;;;Tatuus T-318;;209;;;;;;;;;;Francisco;MACEDO;;;PRT;;;;;;;
13;87;Classified;15;33:55.433;+25.169;+3.453;12;2:02.227;172.1;KCL MP Motorsport;R;;;Tatuus T-318;;;;;;;;;;;;Kai;DARYANANI;;;GBR;;;;;;;
14;10;Classified;15;34:00.416;+30.152;+4.983;12;2:02.475;171.7;Saintéloc Racing;R;;;Tatuus T-318;;;;;;;;;;;;Lorenzo;CASTILLO;;;MEX;;;;;;;
15;6;Classified;15;34:03.239;+32.975;+2.823;7;2:03.014;171.0;Palou Motorsport;R;;;Tatuus T-318;;;;;;;;;;;;Zack;SCOULAR;;;NZL;;;;;;;
16;48;Classified;15;34:03.587;+33.323;+0.348;12;2:01.576;173.0;Palou Motorsport;R;;;Tatuus T-318;;;;;;;;;;;;James;EGOZI;;;USA;;;;;;;
17;4;Classified;15;34:08.240;+37.976;+4.653;9;2:02.953;171.1;Drivex;;;;Tatuus T-318;;;;;;;;;;;;Alessandro;FAMULARO;;;VEN;;;;;;;
18;26;Classified;15;34:08.789;+38.525;+0.549;8;2:02.988;171.0;Palou Motorsport;;;;Tatuus T-318;;;;;;;;;;;;Isaac;BARASHI;;;GBR;;;;;;;
19;77;Classified;15;34:08.957;+38.693;+0.168;9;2:01.621;172.9;MP Motorsport;;;;Tatuus T-318;;;;;;;;;;;;Emerson;FITTIPALDI;;;BRA;;;;;;;
