TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1750588491;22/06/2025 10:34:51;27,39;46;64;1019;11,304;173;0;
1750588611;22/06/2025 10:36:51;27,39;46;63;1019;14,004;178;0;
1750588731;22/06/2025 10:38:51;27,39;46;63;1019;14,004;178;0;
1750588851;22/06/2025 10:40:51;27,39;46,2;63;1019;14,004;178;0;
1750588971;22/06/2025 10:42:51;27,39;46,2;63;1019;14,004;178;0;
1750589091;22/06/2025 10:44:51;27,39;46,5;63;1019;14,004;178;0;
1750589211;22/06/2025 10:46:51;27,39;46,5;63;1019;14,004;178;0;
1750589331;22/06/2025 10:48:51;27,39;46,7;63;1019;14,004;178;0;
1750589451;22/06/2025 10:50:51;27,39;46,7;63;1019;14,004;178;0;
1750589571;22/06/2025 10:52:51;27,39;47;63;1019;14,004;178;0;
1750589691;22/06/2025 10:54:51;27,39;47;63;1019;14,004;178;0;
1750589811;22/06/2025 10:56:51;27,39;47,2;63;1019;14,004;178;0;
1750589931;22/06/2025 10:58:51;27,39;47,2;63;1019;14,004;178;0;
1750590051;22/06/2025 11:00:51;27,39;47,5;63;1019;14,004;178;0;
1750590171;22/06/2025 11:02:51;27,39;47,5;63;1019;14,004;178;0;
1750590291;22/06/2025 11:04:51;27,39;47,5;63;1019;14,004;178;0;
