Nr;Driver;Team;TL_Nr;Camera;Lap;Time;Total_Infractions;TL_After;TL_PREVIOUS
2;Francisco MACEDO;Griffin Core;1;Turn 6;6;12:47:35.374;1;no;no
3;Lenny RIED;Sparco Palou MS;1;Turn 2;2;12:36:34.019;2;no;no
3;Lenny RIED;Sparco Palou MS;2;Turn 6;14;13:01:44.612;2;no;no
4;Alessandro FAMULARO;Drivex;1;Turn 11;12;12:58:31.298;1;no;no
5;Luciano MORANO;Palou Motorsport;1;Turn 6;13;12:59:30.351;1;no;no
6;Zack SCOULAR;Palou Motorsport;1;Turn 6;6;12:45:15.361;4;no;no
6;Zack SCOULAR;Palou Motorsport;2;Turn 6;7;12:47:19.553;4;no;no
6;Zack SCOULAR;Palou Motorsport;3;Turn 6;8;12:49:23.747;4;no;no
6;Zack SCOULAR;Palou Motorsport;4;Turn 6;14;13:02:00.359;4;no;no
8;Enzo TARNVANICHKUL;Campos Racing;1;Turn 6;6;12:45:15.361;1;no;no
11;Oscar WURZ;Drivex;1;Turn 6;14;13:01:26.638;1;no;no
17;Owen TANGAVELOU;DXR;1;Turn 6;6;12:45:05.622;1;no;no
18;Garrett BERRY;Saintéloc Racing;1;Turn 6;6;12:45:54.832;2;no;no
18;Garrett BERRY;Saintéloc Racing;2;Turn 6;7;12:47:56.755;2;no;no
21;Cristian CANTÚ;Drivex;1;Turn 6;8;12:49:24.814;5;no;no
21;Cristian CANTÚ;Drivex;2;Turn 6;10;12:53:32.229;5;no;no
21;Cristian CANTÚ;Drivex;3;Turn 6;12;12:57:40.510;5;no;no
21;Cristian CANTÚ;Drivex;4;Turn 6;14;13:01:50.092;5;no;no
21;Cristian CANTÚ;Drivex;5;Turn 6;16;13:05:59.445;5;no;no
23;Alceu FELDMANN;Sparco Palou MS;1;Turn 2;2;12:36:37.296;3;no;no
23;Alceu FELDMANN;Sparco Palou MS;2;Turn 6;6;12:45:19.836;3;no;no
23;Alceu FELDMANN;Sparco Palou MS;3;Turn 6;8;12:49:28.545;3;no;no
24;Ernesto RIVERA;Campos Racing;1;Turn 6;10;12:53:02.238;1;no;no
25;Preston LAMBERT;Drivex;1;Turn 6;7;12:47:09.340;3;no;no
25;Preston LAMBERT;Drivex;2;Turn 6;8;12:49:12.368;3;no;no
25;Preston LAMBERT;Drivex;3;Turn 11;9;12:52:05.821;3;no;no
26;Isaac BARASHI;Palou Motorsport;1;Turn 15;2;12:38:16.109;2;yes;no
26;Isaac BARASHI;Palou Motorsport;2;Turn 2;12;12:57:14.359;2;no;no
27;Jesse CARRASQUEDO;Griffin Core;1;Turn 11;11;12:55:57.297;3;no;no
27;Jesse CARRASQUEDO;Griffin Core;2;Turn 6;13;12:59:11.766;3;no;no
27;Jesse CARRASQUEDO;Griffin Core;3;Turn 6;15;13:03:15.045;3;no;no
43;Linus HELLBERG;Allay Racing;1;Turn 6;8;12:49:31.815;1;no;no
48;James EGOZI;Palou Motorsport;1;Turn 6;3;12:38:54.087;1;no;no
77;Emerson FITTIPALDI;MP Motorsport;1;Turn 6;10;12:53:09.109;1;no;no
83;Jules CARANTA;Campos Racing;1;Turn 6;12;12:57:35.161;1;no;no
