POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;18;Classified;10;23:37.204;-;-;10;2:01.048;173.7;Saintéloc Racing;;;;Tatuus T-318;;;;;;;;;;;;Garrett;BERRY;;;GBR;;;;;;;
2;2;Classified;10;23:38.271;+1.067;+1.067;10;2:01.324;173.3;Griffin Core;R;;;Tatuus T-318;;209;;;;;;;;;;Francisco;MACEDO;;;PRT;;;;;;;
3;77;Classified;10;23:38.980;+1.776;+0.709;7;2:01.264;173.4;MP Motorsport;;;;Tatuus T-318;;;;;;;;;;;;Emerson;FITTIPALDI;;;BRA;;;;;;;
4;48;Classified;10;23:41.354;+4.150;+2.374;10;2:00.977;173.8;Palou Motorsport;R;;;Tatuus T-318;;;;;;;;;;;;James;EGOZI;;;USA;;;;;;;
5;55;Classified;10;23:42.045;+4.841;+0.691;10;2:01.147;173.6;MP Motorsport;;;;Tatuus T-318;;;;;;;;;;;;Valerio;RINICELLA;;;ITA;;;;;;;
6;8;Classified;10;23:43.874;+6.670;+1.829;10;2:01.185;173.5;Campos Racing;R;;;Tatuus T-318;;;;;;;;;;;;Enzo;TARNVANICHKUL;;;THA;;;;;;;
7;71;Classified;10;23:45.774;+8.570;+1.900;10;2:00.816;174.1;MP Motorsport;R;;;Tatuus T-318;;;;;;;;;;;;Mattia;COLNAGHI;;;ITA;;;;;;;
8;24;Classified;10;23:49.791;+12.587;+4.017;10;2:01.404;173.2;Campos Racing;R;;;Tatuus T-318;;;;;;;;;;;;Ernesto;RIVERA;;;MEX;;;;;;;
9;87;Classified;10;23:50.129;+12.925;+0.338;9;2:02.505;171.7;KCL MP Motorsport;R;;;Tatuus T-318;;;;;;;;;;;;Kai;DARYANANI;;;GBR;;;;;;;
10;37;Classified;10;23:50.294;+13.090;+0.165;10;2:02.336;171.9;Griffin Core;;;;Tatuus T-318;;;;;;;;;;;;Kacper;SZTUKA;;;POL;;;;;;;
11;33;Classified;10;23:50.833;+13.629;+0.539;9;2:02.794;171.3;MP Motorsport;R;;;Tatuus T-318;;;;;;;;;;;;Andrés;CARDENAS;;;PER;CRD;;;;;;
12;11;Classified;10;23:52.360;+15.156;+1.527;9;2:02.514;171.7;Drivex;R;;;Tatuus T-318;;;;;;;;;;;;Oscar;WURZ;;;AUT;;;;;;;
13;17;Classified;10;23:52.794;+15.590;+0.434;10;2:02.751;171.3;DXR;;;;Tatuus T-318;;;;;;;;;;;;Owen;TANGAVELOU;;;VNM;;;;;;;
14;25;Classified;10;23:53.731;+16.527;+0.937;8;2:02.927;171.1;Drivex;R;;;Tatuus T-318;;;;;;;;;;;;Preston;LAMBERT;;;USA;;;;;;;
15;5;Classified;10;23:54.847;+17.643;+1.116;10;2:02.831;171.2;Palou Motorsport;;;;Tatuus T-318;;;;;;;;;;;;Luciano;MORANO;;;FRA;;;;;;;
16;7;Classified;10;23:55.561;+18.357;+0.714;10;2:01.204;173.5;MP Motorsport;R;;;Tatuus T-318;;;;;;;;;;;;Maciej;GLADYSZ;;;POL;;;;;;;
17;10;Classified;10;23:55.565;+18.361;+0.004;9;2:02.650;171.5;Saintéloc Racing;R;;;Tatuus T-318;;;;;;;;;;;;Lorenzo;CASTILLO;;;MEX;;;;;;;
18;83;Classified;10;23:55.907;+18.703;+0.342;8;2:02.413;171.8;Campos Racing;R;;;Tatuus T-318;;;;;;;;;;;;Jules;CARANTA;;;FRA;CRT;;;;;;
19;6;Classified;10;23:56.551;+19.347;+0.644;7;2:02.852;171.2;Palou Motorsport;R;;;Tatuus T-318;;;;;;;;;;;;Zack;SCOULAR;;;NZL;;;;;;;
20;26;Classified;10;23:57.764;+20.560;+1.213;7;2:02.822;171.2;Palou Motorsport;;;;Tatuus T-318;;;;;;;;;;;;Isaac;BARASHI;;;GBR;;;;;;;
21;3;Classified;10;24:00.846;+23.642;+3.082;7;2:03.570;170.2;Sparco Palou MS;R;;;Tatuus T-318;;;;;;;;;;;;Lenny;RIED;;;DEU;;1-7-2007;;;;;
22;12;Classified;10;24:01.851;+24.647;+1.005;9;2:02.483;171.7;KCL MP Motorsport;;;;Tatuus T-318;;;;;;;;;;;;Alexander;ABKHAZAVA;;;KAZ;;;;;;;
23;21;Classified;10;24:02.498;+25.294;+0.647;10;2:03.463;170.3;Drivex;R;;;Tatuus T-318;;;;;;;;;;;;Cristian;CANTÚ;;;MEX;;;;;;;
24;23;Classified;10;24:02.975;+25.771;+0.477;10;2:03.382;170.5;Sparco Palou MS;R;;;Tatuus T-318;;;;;;;;;;;;Alceu;FELDMANN;;;BRA;;;;;;;
25;43;Classified;10;24:04.910;+27.706;+1.935;7;2:03.617;170.1;Allay Racing;R;;;Tatuus T-318;;;;;;;;ALKAMEL;;;;Linus;HELLBERG;;;SWE;HBL;;;;;;
26;46;Classified;10;24:08.400;+31.196;+3.490;9;2:04.050;169.5;Allay Racing;R;;;Tatuus T-318;;;;;;;;;;;;Emil;HELLBERG;;;SWE;HBE;;;;;;
;27;Not classified;5;13:55.252;;;2;2:09.880;161.9;Griffin Core;;;;Tatuus T-318;;;;;;;;;;;;Jesse;CARRASQUEDO;;;MEX;CRR;;;;;;
;4;Not classified;1;2:13.805;;;0;;;Drivex;;;;Tatuus T-318;;;;;;;;;;;;Alessandro;FAMULARO;;;VEN;;;;;;;
