NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
10;1;1;2:15.468;0;;42.276;0;39.875;0;53.317;0;155.2;2:15.468;13:41:01.033;0:42.276;0:39.875;0:53.317;;Lorenzo CASTILLO;;R;;Saintéloc Racing;;GF;42.276;39.875;53.317;
10;1;2;2:15.703;0;;34.893;0;38.318;0;1:02.492;0;155.0;4:31.171;13:43:16.736;0:34.893;0:38.318;1:02.492;232.3;Lorenzo CASTILLO;;R;;Saintéloc Racing;;SF;34.893;38.318;62.492;
10;1;3;3:52.192;0;;1:09.116;0;1:11.267;0;1:31.809;0;90.6;8:23.363;13:47:08.928;1:09.116;1:11.267;1:31.809;175.9;Lorenzo CASTILLO;;R;;Saintéloc Racing;;SF;69.116;71.267;91.809;
10;1;4;3:13.634;0;;54.671;0;57.367;0;1:21.596;0;108.6;11:36.997;13:50:22.562;0:54.671;0:57.367;1:21.596;164.1;Lorenzo CASTILLO;;R;;Saintéloc Racing;;GF;54.671;57.367;81.596;
10;1;5;2:03.642;0;;34.202;0;38.019;0;51.421;0;170.1;13:40.639;13:52:26.204;0:34.202;0:38.019;0:51.421;236.8;Lorenzo CASTILLO;;R;;Saintéloc Racing;;GF;34.202;38.019;51.421;
10;1;6;2:03.401;0;;34.022;0;38.032;0;51.347;0;170.4;15:44.040;13:54:29.605;0:34.022;0:38.032;0:51.347;235.3;Lorenzo CASTILLO;;R;;Saintéloc Racing;;GF;34.022;38.032;51.347;
10;1;7;2:02.943;0;;33.706;2;37.994;0;51.243;0;171.1;17:46.983;13:56:32.548;0:33.706;0:37.994;0:51.243;229.8;Lorenzo CASTILLO;;R;;Saintéloc Racing;;GF;33.706;37.994;51.243;
10;1;8;2:03.007;0;;33.847;0;38.034;0;51.126;2;171.0;19:49.990;13:58:35.555;0:33.847;0:38.034;0:51.126;229.3;Lorenzo CASTILLO;;R;;Saintéloc Racing;;GF;33.847;38.034;51.126;
10;1;9;2:02.650;2;;33.805;0;37.709;2;51.136;0;171.5;21:52.640;14:00:38.205;0:33.805;0:37.709;0:51.136;232.3;Lorenzo CASTILLO;;R;;Saintéloc Racing;;GF;33.805;37.709;51.136;
10;1;10;2:02.925;0;;33.762;0;37.908;0;51.255;0;171.1;23:55.565;14:02:41.130;0:33.762;0:37.908;0:51.255;229.3;Lorenzo CASTILLO;;R;;Saintéloc Racing;;FF;33.762;37.908;51.255;
11;1;1;2:12.710;0;;41.211;0;38.833;0;52.666;0;158.5;2:12.710;13:40:58.275;0:41.211;0:38.833;0:52.666;;Oscar WURZ;;R;;Drivex;;GF;41.211;38.833;52.666;
