TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1750505928;21/06/2025 11:38:48;27,95;49;59;1018;15,732;187;0;
1750506048;21/06/2025 11:40:48;27,95;49;59;1018;15,732;187;0;
1750506168;21/06/2025 11:42:48;27,95;49,2;59;1018;15,732;187;0;
1750506288;21/06/2025 11:44:48;27,95;49,2;59;1018;15,732;187;0;
1750506408;21/06/2025 11:46:48;29,81;49,2;42;1018;15,732;187;0;
1750506528;21/06/2025 11:48:48;29,81;49,2;42;1018;15,732;187;0;
1750506648;21/06/2025 11:50:48;29,81;49,5;42;1018;15,732;187;0;
1750506768;21/06/2025 11:52:48;29,81;49,5;42;1018;15,732;187;0;
1750506888;21/06/2025 11:54:48;29,25;49,5;42;1018;15,732;187;0;
1750507008;21/06/2025 11:56:48;29,25;49,5;42;1018;15,732;187;0;
1750507128;21/06/2025 11:58:48;29,81;49,7;42;1018;15,732;187;0;
1750507248;21/06/2025 12:00:48;29,81;49,7;42;1018;15,732;187;0;
