NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; S4; S4_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;S4_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;S4_SECONDS;
1;1;1;4:50.177;0;;3:12.247;0;35.847;0;22.847;0;39.236;0;66.3;4:50.177;08:34:50.177;3:12.247;0:35.847;0:22.847;0:39.236;229.3;Hudson SCHWARTZ;0:02:39.213;;;KCL MP Motorsport;;GF;192.247;35.847;22.847;39.236;
1;1;2;2:09.937;0;;32.874;0;32.632;0;21.077;0;43.354;0;148.1;7:00.114;08:37:00.114;0:32.874;0:32.632;0:21.077;0:43.354;182.4;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;32.874;32.632;21.077;43.354;
1;1;3;2:02.358;0;;31.962;0;31.984;0;20.629;0;37.783;0;157.2;9:02.472;08:39:02.472;0:31.962;0:31.984;0:20.629;0:37.783;232.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;31.962;31.984;20.629;37.783;
1;1;4;2:02.883;0;;31.592;0;32.185;0;20.944;0;38.162;0;156.6;11:05.355;08:41:05.355;0:31.592;0:32.185;0:20.944;0:38.162;228.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;31.592;32.185;20.944;38.162;
1;1;5;2:00.796;0;;31.258;0;31.484;0;20.289;0;37.765;0;159.3;13:06.151;08:43:06.151;0:31.258;0:31.484;0:20.289;0:37.765;236.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;31.258;31.484;20.289;37.765;
1;1;6;2:00.458;0;;31.084;0;31.476;0;20.176;0;37.722;0;159.7;15:06.609;08:45:06.609;0:31.084;0:31.476;0:20.176;0:37.722;232.8;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;31.084;31.476;20.176;37.722;
1;1;7;2:00.029;0;;30.862;0;31.253;0;20.318;0;37.596;0;160.3;17:06.638;08:47:06.638;0:30.862;0:31.253;0:20.318;0:37.596;234.8;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;30.862;31.253;20.318;37.596;
1;1;8;1:59.650;0;;30.939;0;31.100;0;20.145;0;37.466;2;160.8;19:06.288;08:49:06.288;0:30.939;0:31.100;0:20.145;0:37.466;234.8;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;30.939;31.100;20.145;37.466;
1;1;9;2:00.025;0;;30.991;0;31.114;0;20.353;0;37.567;0;160.3;21:06.313;08:51:06.313;0:30.991;0:31.114;0:20.353;0:37.567;235.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;30.991;31.114;20.353;37.567;
1;1;10;1:59.409;2;;30.769;0;31.052;0;19.910;2;37.678;0;161.1;23:05.722;08:53:05.722;0:30.769;0:31.052;0:19.910;0:37.678;234.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;30.769;31.052;19.910;37.678;
1;1;11;1:59.434;0;;30.741;2;31.038;2;20.121;0;37.534;0;161.1;25:05.156;08:55:05.156;0:30.741;0:31.038;0:20.121;0:37.534;234.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;30.741;31.038;20.121;37.534;
1;1;12;2:06.128;0;B;31.306;0;31.161;0;19.935;0;43.726;0;152.5;27:11.284;08:57:11.284;0:31.306;0:31.161;0:19.935;0:43.726;234.8;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;31.306;31.161;19.935;43.726;
