TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1743233445;29/03/2025 7:30:45;9,79;10,9;59;1018;58,86;301;0;
1743233565;29/03/2025 7:32:45;9,79;11,1;59;1018;58,86;301;0;
1743233685;29/03/2025 7:34:45;10,37;11,2;56;1018;57,456;302;0;
1743233805;29/03/2025 7:36:45;10,37;11,3;56;1018;57,456;302;0;
1743233925;29/03/2025 7:38:45;10,37;11,4;56;1018;57,456;302;0;
1743234045;29/03/2025 7:40:45;10,37;11,5;56;1018;57,456;302;0;
1743234165;29/03/2025 7:42:45;10,37;11,6;56;1018;57,456;302;0;
1743234285;29/03/2025 7:44:45;10,37;11,8;56;1018;57,456;302;0;
1743234405;29/03/2025 7:46:45;10,37;11,9;56;1018;57,456;302;0;
1743234525;29/03/2025 7:48:45;10,37;11,9;56;1018;57,456;302;0;
1743234645;29/03/2025 7:50:45;10,37;11,9;56;1018;57,456;302;0;
1743234765;29/03/2025 7:52:45;10,64;11,9;56;1018;57,456;302;0;
1743234885;29/03/2025 7:54:45;10,64;12;56;1018;57,456;302;0;
1743235005;29/03/2025 7:56:45;10,64;12,2;56;1018;57,456;302;0;
1743235125;29/03/2025 7:58:45;10,64;12,2;56;1018;57,456;302;0;
