NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; S4; S4_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;S4_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;S4_SECONDS;
1;1;1;2:30.477;0;;41.337;0;36.965;0;25.065;0;47.110;0;127.8;2:30.477;08:32:30.477;0:41.337;0:36.965;0:25.065;0:47.110;193.5;Hudson SCHWARTZ;0:00:06.534;;;KCL MP Motorsport;;GF;41.337;36.965;25.065;47.110;
1;1;2;2:46.317;0;B;36.478;0;43.250;0;28.234;0;58.355;0;115.7;5:16.794;08:35:16.794;0:36.478;0:43.250;0:28.234;0:58.355;150.2;Hudson SCHWARTZ;;;;KCL MP Motorsport;;RF;36.478;43.250;28.234;58.355;
1;1;3;6:07.090;0;;4:30.324;0;34.618;0;22.506;0;39.642;0;52.4;11:23.884;08:41:23.884;4:30.324;0:34.618;0:22.506;0:39.642;225.0;Hudson SCHWARTZ;0:04:02.409;;;KCL MP Motorsport;;GF;270.324;34.618;22.506;39.642;
1;1;4;2:03.885;0;;31.848;0;32.090;0;21.442;0;38.505;0;155.3;13:27.769;08:43:27.769;0:31.848;0:32.090;0:21.442;0:38.505;229.8;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;31.848;32.090;21.442;38.505;
1;1;5;2:01.845;0;;31.022;0;31.749;0;20.920;0;38.154;0;157.9;15:29.614;08:45:29.614;0:31.022;0:31.749;0:20.920;0:38.154;232.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;31.022;31.749;20.920;38.154;
1;1;6;2:00.955;0;;31.018;0;31.427;0;20.563;0;37.947;0;159.1;17:30.569;08:47:30.569;0:31.018;0:31.427;0:20.563;0:37.947;228.8;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;31.018;31.427;20.563;37.947;
1;1;7;2:00.919;0;;30.739;0;31.307;0;20.357;0;38.516;0;159.1;19:31.488;08:49:31.488;0:30.739;0:31.307;0:20.357;0:38.516;229.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;30.739;31.307;20.357;38.516;
1;1;8;1:59.902;0;;30.972;0;31.242;0;20.175;0;37.513;0;160.5;21:31.390;08:51:31.390;0:30.972;0:31.242;0:20.175;0:37.513;231.8;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;30.972;31.242;20.175;37.513;
1;1;9;1:59.607;0;;30.696;0;31.233;0;20.071;0;37.607;0;160.8;23:30.997;08:53:30.997;0:30.696;0:31.233;0:20.071;0:37.607;231.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;30.696;31.233;20.071;37.607;
1;1;10;1:58.993;2;;30.614;0;30.969;2;19.959;2;37.451;0;161.7;25:29.990;08:55:29.990;0:30.614;0:30.969;0:19.959;0:37.451;230.8;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;30.614;30.969;19.959;37.451;
