Nr;Driver;Team;TL_Nr;Camera;Lap;Time;Total_Infractions;TL_After;TL_PREVIOUS
1;Hudson SCHWARTZ;KCL MP Motorsport;1;Turn 5;8;08:49:59.607;1;no;no
2;Vivek KANTHAN;Campos Racing;1;Turn 1;4;08:43:43.821;4;no;no
2;Vivek KANTHAN;Campos Racing;2;Turn 1;5;08:45:46.084;4;no;no
2;Vivek KANTHAN;Campos Racing;3;Turn 5;7;08:50:05.812;4;no;no
2;Vivek KANTHAN;Campos Racing;4;Turn 1;7;08:49:47.020;4;no;no
2;Vivek KANTHAN;Campos Racing;5;Turn 1;9;08:53:47.348;4;no;no
4;Ean EYCKMANS;MP Motorsport;1;Turn 5;6;08:45:51.319;1;no;no
5;Miguel COSTA;Campos Racing;1;Turn 1;4;08:44:17.674;3;no;no
5;Miguel COSTA;Campos Racing;2;Turn 1;6;08:48:18.821;3;no;no
5;Miguel COSTA;Campos Racing;3;Turn 9;10;08:56:59.871;3;no;no
6;Sacha VAN'T PAD BOSCH;T-Code by Amtog;1;Turn 1;8;08:52:17.955;2;no;no
6;Sacha VAN'T PAD BOSCH;T-Code by Amtog;2;Turn 1;10;08:56:16.819;2;no;no
8;Philippe Armand KARRAS;Saintéloc Racing;1;Turn 5;2;08:40:04.708;2;no;no
8;Philippe Armand KARRAS;Saintéloc Racing;2;Turn 1;4;08:44:01.949;2;no;no
9;René LAMMERS;MP Motorsport;1;Turn 1;5;08:43:34.949;2;no;no
9;René LAMMERS;MP Motorsport;2;Turn 1;8;08:49:38.090;2;no;no
10;Niklas SCHAUFLER;KCL MP Motorsport;1;Turn 1;5;08:43:32.548;3;no;no
10;Niklas SCHAUFLER;KCL MP Motorsport;2;Turn 5;6;08:45:53.122;3;no;no
10;Niklas SCHAUFLER;KCL MP Motorsport;3;Turn 1;7;08:47:36.415;3;no;no
11;Reno FRANCOT;KCL MP Motorsport;1;Turn 1;8;08:49:36.567;4;no;no
11;Reno FRANCOT;KCL MP Motorsport;2;Turn 5;10;08:53:57.873;4;no;no
11;Reno FRANCOT;KCL MP Motorsport;3;Turn 1;9;08:51:39.223;4;no;no
11;Reno FRANCOT;KCL MP Motorsport;4;Turn 9;10;08:54:19.883;4;no;no
11;Reno FRANCOT;KCL MP Motorsport;5;Turn 7;11;08:56:07.838;4;no;no
14;Jean Paul KARRAS;Saintéloc Racing;1;Turn 5;4;08:44:18.193;2;no;no
14;Jean Paul KARRAS;Saintéloc Racing;2;Turn 1;10;08:56:15.223;2;no;no
17;Nacho TUÑON;Tecnicar by Amtog;1;Turn 5;4;08:44:47.924;4;no;no
17;Nacho TUÑON;Tecnicar by Amtog;2;Turn 5;5;08:46:55.049;4;no;no
17;Nacho TUÑON;Tecnicar by Amtog;3;Turn 1;6;08:48:37.350;4;no;no
17;Nacho TUÑON;Tecnicar by Amtog;4;Turn 1;7;08:50:39.488;4;no;no
19;Matus RYBA;Griffin Core;1;Turn 5;5;08:46:09.304;3;no;no
19;Matus RYBA;Griffin Core;2;Turn 1;5;08:45:50.886;3;no;no
19;Matus RYBA;Griffin Core;3;Turn 1;6;08:47:52.820;3;no;no
19;Matus RYBA;Griffin Core;4;Turn 1;8;08:51:53.955;3;no;no
22;Juan COTA;MP Motorsport;1;Turn 1;8;08:49:40.626;1;no;no
23;Jan PRZYROWSKI;Griffin Core;1;Turn 7;4;08:44:14.104;1;no;no
24;Kyuho LEE;Rodin Motorsport;1;Turn 5;2;08:39:36.781;3;no;no
24;Kyuho LEE;Rodin Motorsport;2;Turn 1;5;08:45:39.551;3;no;no
24;Kyuho LEE;Rodin Motorsport;3;Turn 5;10;08:56:10.206;3;no;no
25;Francisco MONARCA;Monlau Motorsport;1;Turn 9;3;08:43:52.591;1;no;no
27;Alexander JACOBY;Monlau Motorsport;1;Turn 5;3;08:42:38.796;3;no;no
27;Alexander JACOBY;Monlau Motorsport;2;Turn 5;4;08:44:42.257;3;no;no
27;Alexander JACOBY;Monlau Motorsport;3;Turn 1;7;08:50:29.819;3;no;no
32;Wiktor DOBRZANSKI;Tecnicar by Amtog;1;Turn 1;4;08:44:35.416;3;no;no
32;Wiktor DOBRZANSKI;Tecnicar by Amtog;2;Turn 5;7;08:51:01.131;3;no;no
32;Wiktor DOBRZANSKI;Tecnicar by Amtog;3;Turn 5;8;08:53:01.118;3;no;no
33;Christopher EL FEGHALI;Drivex;1;Turn 5;5;08:46:09.304;2;no;no
33;Christopher EL FEGHALI;Drivex;2;Turn 1;6;08:47:51.818;2;no;no
37;Filippo FIORENTINO;Drivex;1;Turn 5;5;08:46:15.109;3;no;no
37;Filippo FIORENTINO;Drivex;2;Turn 1;5;08:45:55.150;3;no;no
37;Filippo FIORENTINO;Drivex;3;Turn 1;7;08:50:00.619;3;no;no
37;Filippo FIORENTINO;Drivex;4;Turn 1;8;08:52:02.418;3;no;no
39;Santino PANETTA;TC Racing;1;Turn 5;9;08:54:45.119;1;no;no
41;Stepan SUSLOV;DXR;1;Turn 5;5;08:46:17.111;1;no;no
46;Nathan TYE;Rodin Motorsport;1;Turn 1;4;08:43:46.684;3;no;no
46;Nathan TYE;Rodin Motorsport;2;Turn 1;5;08:45:50.886;3;no;no
46;Nathan TYE;Rodin Motorsport;3;Turn 1;6;08:47:52.820;3;no;no
48;Gino TRAPPA;Drivex;1;Turn 1;3;08:41:45.428;2;no;no
48;Gino TRAPPA;Drivex;2;Turn 1;4;08:43:52.022;2;no;no
55;Emma FELBERMAYR;Rodin Motorsport;1;Turn 5;9;08:54:27.937;1;no;no
57;Artem SEVERIUKHIN;DXR;1;Turn 1;6;08:48:04.750;1;no;no
70;Aleksandar BOGUNOVIC;GRS Team;1;Turn 5;3;08:42:38.796;2;no;no
70;Aleksandar BOGUNOVIC;GRS Team;2;Turn 5;4;08:44:42.257;2;no;no
70;Aleksandar BOGUNOVIC;GRS Team;3;Turn 1;4;08:44:22.965;2;no;no
71;Daniel DALLAKYAN;GRS Team;1;Turn 1;6;08:48:42.755;1;no;no
77;Andrej PETROVIC;T-Code by Amtog;1;Turn 5;3;08:42:36.064;2;no;no
77;Andrej PETROVIC;T-Code by Amtog;2;Turn 1;4;08:44:21.028;2;no;no
78;Alfio SPINA;TC Racing;1;Turn 1;3;08:42:27.693;2;no;no
78;Alfio SPINA;TC Racing;2;Turn 1;4;08:44:32.024;2;no;no
80;Alex POWELL;Saintéloc Racing;1;Turn 1;9;08:54:03.416;1;no;no
81;Noah MONTEIRO;Campos Racing;1;Turn 1;3;08:41:40.751;2;no;no
81;Noah MONTEIRO;Campos Racing;2;Turn 5;7;08:50:05.812;2;no;no
88;Santiago BAZTARRICA;TC Racing;1;Turn 9;3;08:43:00.809;1;no;no
91;Lorenzo CAMPOS;Monlau Motorsport;1;Turn 9;5;08:47:15.990;3;no;no
91;Lorenzo CAMPOS;Monlau Motorsport;2;Turn 1;4;08:44:31.017;3;no;no
91;Lorenzo CAMPOS;Monlau Motorsport;3;Turn 5;8;08:52:54.811;3;no;no
99;Thomas STRAUVEN;Griffin Core;1;Turn 1;7;08:49:43.900;1;no;no
