TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1743328848;30/03/2025 10:00:48;12,68;21,2;49;1022;32,76;296;0;
1743328968;30/03/2025 10:02:48;12,68;21,3;49;1022;32,76;296;0;
1743329088;30/03/2025 10:04:48;12,92;21,5;49;1022;32,76;296;0;
1743329208;30/03/2025 10:06:48;12,92;21,8;49;1022;32,76;296;0;
1743329328;30/03/2025 10:08:48;12,92;22,1;49;1022;32,76;296;0;
1743329448;30/03/2025 10:10:48;12,92;22,2;49;1022;32,76;296;0;
1743329568;30/03/2025 10:12:48;12,92;22,4;49;1022;32,76;296;0;
1743329688;30/03/2025 10:14:48;12,92;22,6;49;1022;32,76;296;0;
1743329808;30/03/2025 10:16:48;12,92;22,8;49;1022;32,76;296;0;
1743329928;30/03/2025 10:18:48;12,92;22,8;49;1022;32,76;296;0;
1743330048;30/03/2025 10:20:48;12,92;22,9;49;1022;32,76;296;0;
1743330168;30/03/2025 10:22:48;13,22;23,1;48;1022;32,76;296;0;
1743330288;30/03/2025 10:24:48;13,22;23,4;48;1022;32,76;296;0;
1743330408;30/03/2025 10:26:48;13,22;23,4;48;1022;32,76;296;0;
