Nr;Driver;Team;TL_Nr;Camera;Lap;Time;Total_Infractions;TL_After;TL_PREVIOUS
1;Hudson SCHWARTZ;KCL MP Motorsport;1;Turn 1;14;12:25:14.822;1;no;no
2;Vivek KANTHAN;Campos Racing;1;Turn 9;7;12:12:03.556;4;no;no
2;Vivek KANTHAN;Campos Racing;2;Turn 1;9;12:15:23.357;4;no;no
2;Vivek KANTHAN;Campos Racing;3;Turn 5;10;12:17:42.334;4;no;no
2;Vivek KANTHAN;Campos Racing;4;Turn 5;14;12:25:38.713;4;no;no
4;Ean EYCKMANS;MP Motorsport;1;Turn 1;4;12:05:21.595;2;no;no
4;Ean EYCKMANS;MP Motorsport;2;Turn 1;7;12:11:20.362;2;no;no
5;Miguel COSTA;Campos Racing;1;Turn 1;3;12:03:26.460;2;no;no
5;Miguel COSTA;Campos Racing;2;Turn 9;5;12:08:11.292;2;no;no
6;Sacha VAN'T PAD BOSCH;T-Code by Amtog;1;Turn 7;3;12:03:57.833;3;no;no
6;Sacha VAN'T PAD BOSCH;T-Code by Amtog;2;Turn 9;12;12:22:11.360;3;no;no
6;Sacha VAN'T PAD BOSCH;T-Code by Amtog;3;Turn 5;13;12:23:47.802;3;no;no
8;Philippe Armand KARRAS;Saintéloc Racing;1;Turn 9;2;12:02:14.932;4;no;no
8;Philippe Armand KARRAS;Saintéloc Racing;2;Turn 9;3;12:04:20.556;4;no;no
8;Philippe Armand KARRAS;Saintéloc Racing;3;Turn 9;4;12:06:23.217;4;no;no
8;Philippe Armand KARRAS;Saintéloc Racing;4;Turn 1;7;12:11:47.759;4;no;no
9;René LAMMERS;MP Motorsport;1;Turn 9;2;12:02:02.222;4;no;no
9;René LAMMERS;MP Motorsport;2;Turn 1;3;12:03:21.525;4;no;no
9;René LAMMERS;MP Motorsport;3;Turn 5;5;12:07:40.871;4;no;no
9;René LAMMERS;MP Motorsport;4;Turn 9;9;12:15:59.758;4;no;no
10;Niklas SCHAUFLER;KCL MP Motorsport;1;Turn 5;2;12:01:47.915;3;no;no
10;Niklas SCHAUFLER;KCL MP Motorsport;2;Turn 1;6;12:10:30.029;3;no;no
