POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;23;Classified;14;32:58.622;-;-;13;1:58.499;162.4;Griffin Core;;;;Tatuus F4 T -421;;;;;;;;;;;;Jan;PRZYROWSKI;;;POL;;;;;;;
2;9;Classified;14;33:02.125;+3.503;+3.503;11;1:58.395;162.5;MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;René;LAMMERS;;;NLD;;;;;;;
3;99;Classified;14;33:02.363;+3.741;+0.238;12;1:58.206;162.8;Griffin Core;;;;Tatuus F4 T -421;;;;;;;;;;;;Thomas;STRAUVEN;;;BEL;;;;;;;
4;10;Classified;14;33:04.464;+5.842;+2.101;10;1:58.911;161.8;KCL MP Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Niklas;SCHAUFLER;;;AUT;SCF;;;;;;
5;77;Classified;14;33:04.703;+6.081;+0.239;11;1:58.949;161.7;T-Code by Amtog;;;;Tatuus F4 T -421;;;;;;;;;;;;Andrej;PETROVIC;;;SRB;;;;;;;
6;81;Classified;14;33:04.727;+6.105;+0.024;10;1:58.839;161.9;Campos Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Noah;MONTEIRO;;;PRT;MOT;;;;;;
7;33;Classified;14;33:04.993;+6.371;+0.266;11;1:58.848;161.9;Drivex;R;;;Tatuus F4 T -421;;;;;;;;;;;;Christopher;EL FEGHALI;;;LBN;FEG;;;;;;
8;22;Classified;14;33:05.802;+7.180;+0.809;11;1:58.523;162.3;MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Juan;COTA;;;ESP;;;;;;;
9;5;Classified;14;33:06.501;+7.879;+0.699;11;1:58.775;162.0;Campos Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Miguel;COSTA;;;BRA;;;;;;;
10;48;Classified;14;33:08.153;+9.531;+1.652;14;1:58.443;162.4;Drivex;;;;Tatuus F4 T -421;;;;;;;;;;;;Gino;TRAPPA;;;ARG;;;;;;;
11;46;Classified;14;33:11.935;+13.313;+3.782;12;1:59.054;161.6;Rodin Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Nathan;TYE;;;GBR;;;;;;;
12;19;Classified;14;33:14.892;+16.270;+2.957;14;1:59.201;161.4;Griffin Core;;;;Tatuus F4 T -421;;;;;;;;;;;;Matus;RYBA;;;SVK;;;;;;;
13;39;Classified;14;33:15.438;+16.816;+0.546;14;1:59.179;161.4;TC Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Santino;PANETTA;;;ARG;;;;;;;
14;4;Classified;14;33:17.293;+18.671;+1.855;11;1:58.452;162.4;MP Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Ean;EYCKMANS;;;BEL;;;;;;;
15;78;Classified;14;33:18.914;+20.292;+1.621;12;1:59.591;160.9;TC Racing;;;;Tatuus F4 T -421;;;;;;;;;;;;Alfio;SPINA;;;ITA;;;;;;;
16;41;Classified;14;33:20.065;+21.443;+1.151;12;1:59.688;160.7;DXR;R;;;Tatuus F4 T -421;;;;;;;;;;;;Stepan;SUSLOV;;;SWE;;;;;;;
17;11;Classified;14;33:22.323;+23.701;+2.258;13;1:59.609;160.8;KCL MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Reno;FRANCOT;;;NLD;;;;;;;
18;24;Classified;14;33:23.372;+24.750;+1.049;14;1:59.825;160.6;Rodin Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Kyuho;LEE;;;KOR;;;;;;;
19;32;Classified;14;33:23.952;+25.330;+0.580;14;1:59.714;160.7;Tecnicar by Amtog;;;;Tatuus F4 T -421;;;;;;;;;;;;Wiktor;DOBRZANSKI;;;POL;;;;;;;
20;71;Classified;14;33:25.837;+27.215;+1.885;10;2:00.063;160.2;GRS Team;R;;;Tatuus F4 T -421;;;;;;;;;;;;Daniel;DALLAKYAN;;;ARM;DALL;;;;;;
21;17;Classified;14;33:26.790;+28.168;+0.953;9;2:00.125;160.2;Tecnicar by Amtog;R;;;Tatuus F4 T -421;;;;;;;;;;;;Nacho;TUÑON;;;ESP;TUN;;;;;;
22;55;Classified;14;33:26.901;+28.279;+0.111;10;1:59.603;160.9;Rodin Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Emma;FELBERMAYR;;;AUT;;;;;;;
23;37;Classified;14;33:27.780;+29.158;+0.879;12;1:59.238;161.3;Drivex;;;;Tatuus F4 T -421;;;;;;;;;;;;Filippo;FIORENTINO;;;BRA;;;;;;;
24;70;Classified;14;33:35.557;+36.935;+7.777;8;1:59.916;160.4;GRS Team;R;;;Tatuus F4 T -421;;;;;;;;;;;;Aleksandar;BOGUNOVIC;;;SVN;;;;;;;
25;27;Classified;14;33:43.483;+44.861;+7.926;11;1:59.584;160.9;Monlau Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Alexander;JACOBY;;;BRA;;;;;;;
26;57;Classified;14;33:43.839;+45.217;+0.356;10;2:00.634;159.5;DXR;R;;;Tatuus F4 T -421;;;;;;;;;;;;Artem;SEVERIUKHIN;;;KGZ;;;;;;;
27;1;Classified;14;34:33.728;+1:35.106;+49.889;14;1:58.551;162.3;KCL MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Hudson;SCHWARTZ;;;USA;SCW;;;;;;
28;2;Classified;10;25:17.507;4 Laps;4 Laps;8;1:59.368;161.2;Campos Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Vivek;KANTHAN;;;USA;;;;;;;
;25;Not classified;1;25:20.619;;;0;;;Monlau Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Francisco;MONARCA;;;ARG;MOR;;;;;;
;88;Not classified;0;;;;0;;;TC Racing;;;;Tatuus F4 T -421;;;;;;;;;;;;Santiago;BAZTARRICA;;;ARG;;;;;;;
;6;Not classified;0;;;;0;;;T-Code by Amtog;R;;;Tatuus F4 T -421;;;;;;;;;;;;Sacha;VAN'T PAD BOSCH;;;NLD;;;;;;;
;91;Not classified;0;;;;0;;;Monlau Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Lorenzo;CAMPOS;;;AGO;;;;;;;
;15;Not classified;0;;;;0;;;DXR;;;;Tatuus F4 T -421;;;;;;;;;;;;Edward;ROBINSON;;;ESP;ROB;;;;;;
