NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; S4; S4_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;S4_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;S4_SECONDS;
1;1;1;3:00.307;0;B;37.601;0;39.015;0;25.863;0;1:17.828;0;106.7;3:00.307;17:41:54.221;0:37.601;0:39.015;0:25.863;1:17.828;192.2;Hudson SCHWARTZ;;;;KCL MP Motorsport;;SF;37.601;39.015;25.863;77.828;
1;1;2;3:30.584;0;B;1:05.648;0;34.279;0;29.689;0;1:20.968;0;91.4;6:30.891;17:45:24.805;1:05.648;0:34.279;0:29.689;1:20.968;142.5;Hudson SCHWARTZ;0:00:43.456;;;KCL MP Motorsport;;SF;65.648;34.279;29.689;80.968;
1;1;3;3:26.994;0;B;1:00.358;0;36.189;0;30.527;0;1:19.920;0;92.9;9:57.885;17:48:51.799;1:00.358;0:36.189;0:30.527;1:19.920;161.4;Hudson SCHWARTZ;0:00:38.624;;;KCL MP Motorsport;;SF;60.358;36.189;30.527;79.920;
1;1;4;3:12.843;0;;57.259;0;40.750;0;32.836;0;1:01.998;0;99.8;13:10.728;17:52:04.642;0:57.259;0:40.750;0:32.836;1:01.998;90.2;Hudson SCHWARTZ;0:00:35.597;;;KCL MP Motorsport;;GF;57.259;40.750;32.836;61.998;
1;1;5;2:02.131;0;;31.287;0;31.400;0;20.294;0;39.150;0;157.5;15:12.859;17:54:06.773;0:31.287;0:31.400;0:20.294;0:39.150;236.8;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;31.287;31.400;20.294;39.150;
1;1;6;2:26.044;0;B;31.318;0;31.621;0;24.610;0;58.495;0;131.7;17:38.903;17:56:32.817;0:31.318;0:31.621;0:24.610;0:58.495;216.0;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;31.318;31.621;24.610;58.495;
1;1;7;3:01.510;0;;1:31.415;0;31.881;0;20.315;0;37.899;0;106.0;20:40.413;17:59:34.327;1:31.415;0:31.881;0:20.315;0:37.899;229.8;Hudson SCHWARTZ;0:01:08.218;;;KCL MP Motorsport;;GF;91.415;31.881;20.315;37.899;
1;1;8;2:00.024;0;;30.937;0;31.285;0;20.132;0;37.670;0;160.3;22:40.437;18:01:34.351;0:30.937;0:31.285;0:20.132;0:37.670;231.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;30.937;31.285;20.132;37.670;
1;1;9;1:59.114;0;;30.618;0;30.999;0;19.904;0;37.593;0;161.5;24:39.551;18:03:33.465;0:30.618;0:30.999;0:19.904;0:37.593;231.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;30.618;30.999;19.904;37.593;
1;1;10;1:58.933;0;;30.619;0;31.084;0;19.867;0;37.363;0;161.8;26:38.484;18:05:32.398;0:30.619;0:31.084;0:19.867;0:37.363;231.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;30.619;31.084;19.867;37.363;
1;1;11;1:59.135;0;;30.591;0;31.158;0;19.853;0;37.533;0;161.5;28:37.619;18:07:31.533;0:30.591;0:31.158;0:19.853;0:37.533;230.8;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;30.591;31.158;19.853;37.533;
1;1;12;1:58.778;0;;30.306;3;31.132;0;19.920;0;37.420;0;162.0;30:36.397;18:09:30.311;0:30.306;0:31.132;0:19.920;0:37.420;231.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;30.306;31.132;19.920;37.420;
