NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; S4; S4_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;S4_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;S4_SECONDS;
1;1;1;2:16.831;0;;47.230;0;26.333;0;33.832;0;29.436;0;113.5;2:16.831;09:02:16.831;0:47.230;0:26.333;0:33.832;0:29.436;164.2;Hudson SCHWARTZ;0:00:12.713;;A;KCL MP Motorsport;;GF;47.230;26.333;33.832;29.436;
1;1;2;1:52.241;0;;28.395;0;24.235;0;32.405;0;27.206;0;138.3;4:09.072;09:04:09.072;0:28.395;0:24.235;0:32.405;0:27.206;210.5;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;28.395;24.235;32.405;27.206;
1;1;3;1:50.590;0;;27.241;0;24.665;0;31.830;0;26.854;0;140.4;5:59.662;09:05:59.662;0:27.241;0:24.665;0:31.830;0:26.854;214.9;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;27.241;24.665;31.830;26.854;
1;1;4;1:48.976;0;;27.129;0;23.800;0;31.387;0;26.660;0;142.5;7:48.638;09:07:48.638;0:27.129;0:23.800;0:31.387;0:26.660;212.6;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;27.129;23.800;31.387;26.660;
1;1;5;1:48.189;0;;26.898;0;23.501;0;31.166;0;26.624;0;143.5;9:36.827;09:09:36.827;0:26.898;0:23.501;0:31.166;0:26.624;213.8;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;26.898;23.501;31.166;26.624;
1;1;6;1:47.346;0;;26.850;0;23.224;0;30.740;0;26.532;0;144.6;11:24.173;09:11:24.173;0:26.850;0:23.224;0:30.740;0:26.532;212.6;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;26.850;23.224;30.740;26.532;
1;1;7;1:47.039;0;;26.767;0;23.076;0;30.768;0;26.428;0;145.1;13:11.212;09:13:11.212;0:26.767;0:23.076;0:30.768;0:26.428;213.8;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;26.767;23.076;30.768;26.428;
1;1;8;3:10.875;0;B;26.747;0;23.291;0;30.792;0;1:50.045;0;81.3;16:22.087;09:16:22.087;0:26.747;0:23.291;0:30.792;1:50.045;214.9;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;26.747;23.291;30.792;110.045;
1;1;9;2:04.645;0;;35.029;0;26.052;0;35.952;0;27.612;0;124.6;18:26.732;09:18:26.732;0:35.029;0:26.052;0:35.952;0:27.612;166.2;Hudson SCHWARTZ;0:01:30.981;;A;KCL MP Motorsport;;GF;35.029;26.052;35.952;27.612;
1;1;10;1:49.121;0;;27.344;0;23.458;0;31.534;0;26.785;0;142.3;20:15.853;09:20:15.853;0:27.344;0:23.458;0:31.534;0:26.785;213.8;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;27.344;23.458;31.534;26.785;
1;1;11;1:47.598;0;;26.857;0;23.194;0;30.924;0;26.623;0;144.3;22:03.451;09:22:03.451;0:26.857;0:23.194;0:30.924;0:26.623;216.0;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;26.857;23.194;30.924;26.623;
1;1;12;1:46.962;0;;26.678;0;23.134;0;30.664;0;26.486;0;145.2;23:50.413;09:23:50.413;0:26.678;0:23.134;0:30.664;0:26.486;216.0;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;26.678;23.134;30.664;26.486;
1;1;13;1:46.691;0;;26.632;0;23.041;0;30.551;0;26.467;0;145.5;25:37.104;09:25:37.104;0:26.632;0:23.041;0:30.551;0:26.467;214.9;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;26.632;23.041;30.551;26.467;
1;1;14;1:46.613;0;;26.675;0;23.002;2;30.528;2;26.408;0;145.6;27:23.717;09:27:23.717;0:26.675;0:23.002;0:30.528;0:26.408;216.0;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;26.675;23.002;30.528;26.408;
1;1;15;1:46.650;0;;26.561;0;23.040;0;30.642;0;26.407;0;145.6;29:10.367;09:29:10.367;0:26.561;0:23.040;0:30.642;0:26.407;216.0;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;26.561;23.040;30.642;26.407;
1;1;16;1:46.558;2;;26.492;2;23.127;0;30.569;0;26.370;2;145.7;30:56.925;09:30:56.925;0:26.492;0:23.127;0:30.569;0:26.370;216.0;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;FF;26.492;23.127;30.569;26.370;
10;1;1;11:44.550;0;;10:08.954;0;29.492;0;35.498;0;30.606;0;22.0;11:44.550;09:11:44.550;10:08.954;0:29.492;0:35.498;0:30.606;144.0;Niklas SCHAUFLER;0:09:28.204;R;A;KCL MP Motorsport;;GF;608.954;29.492;35.498;30.606;
10;1;2;2:00.253;0;;31.628;0;26.248;0;33.747;0;28.630;0;129.1;13:44.803;09:13:44.803;0:31.628;0:26.248;0:33.747;0:28.630;166.8;Niklas SCHAUFLER;;R;A;KCL MP Motorsport;;GF;31.628;26.248;33.747;28.630;
10;1;3;1:49.658;0;;27.181;0;23.505;0;32.230;0;26.742;0;141.6;15:34.461;09:15:34.461;0:27.181;0:23.505;0:32.230;0:26.742;210.5;Niklas SCHAUFLER;;R;A;KCL MP Motorsport;;GF;27.181;23.505;32.230;26.742;
10;1;4;1:47.574;0;;26.745;0;23.319;0;30.934;0;26.576;0;144.3;17:22.035;09:17:22.035;0:26.745;0:23.319;0:30.934;0:26.576;211.5;Niklas SCHAUFLER;;R;A;KCL MP Motorsport;;GF;26.745;23.319;30.934;26.576;
10;1;5;1:47.891;0;;26.846;0;23.135;0;31.107;0;26.803;0;143.9;19:09.926;09:19:09.926;0:26.846;0:23.135;0:31.107;0:26.803;214.9;Niklas SCHAUFLER;;R;A;KCL MP Motorsport;;GF;26.846;23.135;31.107;26.803;
