Nr;Driver;Team;TL_Nr;Camera;Lap;Time;Total_Infractions;TL_After;TL_PREVIOUS
4;Ean EYCKMANS;MP Motorsport;1;Turn 15;5;09:09:07.628;2;no;no
4;Ean EYCKMANS;MP Motorsport;2;Turn 8;14;09:26:49.050;2;no;no
5;Miguel COSTA;Campos Racing;1;Turn 2;10;09:19:24.353;1;no;no
6;Sacha VAN'T PAD BOSCH;T-Code by Amtog;1;Turn 17;7;09:16:43.606;1;yes;no
6;Sacha VAN'T PAD BOSCH;T-Code by Amtog;2;Turn 15;7;09:16:30.296;1;no;no
9;René LAMMERS;MP Motorsport;1;Turn 15;10;09:20:24.765;2;no;no
9;René LAMMERS;MP Motorsport;2;Turn 8;16;09:30:19.973;2;no;no
11;Reno FRANCOT;KCL MP Motorsport;1;Turn 17;10;09:29:17.544;1;yes;no
17;Nacho TUÑON;Tecnicar by Amtog;1;Turn 8;9;09:19:28.651;2;no;no
17;Nacho TUÑON;Tecnicar by Amtog;2;Turn 8;11;09:24:53.233;2;no;no
24;Kyuho LEE;Rodin Motorsport;1;Turn 15;9;09:21:30.494;2;no;no
24;Kyuho LEE;Rodin Motorsport;2;Turn 17;11;09:25:31.747;2;yes;no
25;Francisco MONARCA;Monlau Motorsport;1;Turn 15;6;09:12:03.162;1;no;no
27;Alexander JACOBY;Monlau Motorsport;1;Turn 15;9;09:17:52.104;1;no;no
32;Wiktor DOBRZANSKI;Tecnicar by Amtog;1;Turn 15;5;09:13:01.419;4;no;no
32;Wiktor DOBRZANSKI;Tecnicar by Amtog;2;Turn 2;7;09:15:23.476;4;no;no
32;Wiktor DOBRZANSKI;Tecnicar by Amtog;3;Turn 15;7;09:16:39.638;4;no;no
32;Wiktor DOBRZANSKI;Tecnicar by Amtog;4;Turn 17;11;09:24:04.732;4;yes;no
32;Wiktor DOBRZANSKI;Tecnicar by Amtog;5;Turn 15;13;09:27:33.589;4;no;no
37;Filippo FIORENTINO;Drivex;1;Turn 17;4;09:18:30.195;1;yes;no
39;Santino PANETTA;TC Racing;1;Turn 15;4;09:07:44.180;5;no;no
39;Santino PANETTA;TC Racing;2;Turn 15;8;09:14:56.905;5;no;no
39;Santino PANETTA;TC Racing;3;Turn 17;8;09:15:09.731;5;yes;no
39;Santino PANETTA;TC Racing;4;Turn 15;9;09:16:44.442;5;no;no
39;Santino PANETTA;TC Racing;5;Turn 15;10;09:18:32.235;5;no;no
39;Santino PANETTA;TC Racing;6;Turn 17;12;09:22:21.264;5;yes;no
41;Stepan SUSLOV;DXR;1;Turn 17;12;09:24:34.930;1;yes;no
48;Gino TRAPPA;Drivex;1;Turn 8;11;09:25:03.045;2;no;no
48;Gino TRAPPA;Drivex;2;Turn 8;13;09:28:38.258;2;no;no
57;Kaiden HIGGINS;DXR;1;Turn 15;2;09:03:52.944;3;no;no
57;Kaiden HIGGINS;DXR;2;Turn 17;8;09:15:00.333;3;yes;no
57;Kaiden HIGGINS;DXR;3;Turn 15;10;09:18:23.778;3;no;no
71;Daniel DALLAKYAN;GRS Team;1;Turn 8;11;09:22:46.847;1;no;no
78;Alfio SPINA;TC Racing;1;Turn 15;10;09:19:40.957;2;no;no
78;Alfio SPINA;TC Racing;2;Turn 8;15;09:27:55.186;2;no;no
88;Santiago BAZTARRICA;TC Racing;1;Turn 2;13;09:26:25.300;2;no;no
88;Santiago BAZTARRICA;TC Racing;2;Turn 17;13;09:27:52.998;2;yes;no
88;Santiago BAZTARRICA;TC Racing;3;Turn 15;13;09:27:39.628;2;no;no
88;Santiago BAZTARRICA;TC Racing;4;Turn 8;15;09:30:31.640;2;no;no
88;Santiago BAZTARRICA;TC Racing;5;Turn 17;15;09:31:29.255;2;yes;no
91;Lorenzo CAMPOS;Monlau Motorsport;1;Turn 15;11;09:21:03.038;1;no;no
