POS; NUMBER; DRIVER; TEAM; TIME; GAP_FIRST; GAP_PREVIOUS;
1;99;Thomas STRAUVEN;Griffin Core;1:45.836;-;-;
2;23;Jan PRZYROWSKI;Griffin Core;1:46.164;+0.328;+0.328;
3;9;René LAMMERS;MP Motorsport;1:46.179;+0.343;+0.015;
4;11;Reno FRANCOT;KCL MP Motorsport;1:46.217;+0.381;+0.038;
5;22;Juan COTA;MP Motorsport;1:46.220;+0.384;+0.003;
6;81;Noah MONTEIRO;Campos Racing;1:46.220;+0.384;+0.000;
7;2;Vivek KANTHAN;Campos Racing;1:46.262;+0.426;+0.042;
8;5;Miguel COSTA;Campos Racing;1:46.316;+0.480;+0.054;
9;4;Ean EYCKMANS;MP Motorsport;1:46.450;+0.614;+0.134;
10;46;Nathan TYE;Rodin Motorsport;1:46.464;+0.628;+0.014;
11;19;Matus RYBA;Griffin Core;1:46.507;+0.671;+0.043;
12;1;Hudson SCHWARTZ;KCL MP Motorsport;1:46.514;+0.678;+0.007;
13;33;Christopher EL FEGHALI;Drivex;1:46.570;+0.734;+0.056;
14;77;Andrej PETROVIC;T-Code by Amtog;1:46.630;+0.794;+0.060;
15;78;Alfio SPINA;TC Racing;1:46.643;+0.807;+0.013;
16;48;Gino TRAPPA;Drivex;1:46.709;+0.873;+0.066;
17;10;Niklas SCHAUFLER;KCL MP Motorsport;1:46.818;+0.982;+0.109;
18;37;Filippo FIORENTINO;Drivex;1:46.841;+1.005;+0.023;
19;25;Francisco MONARCA;Monlau Motorsport;1:46.851;+1.015;+0.010;
20;39;Santino PANETTA;TC Racing;1:46.900;+1.064;+0.049;
21;91;Lorenzo CAMPOS;Monlau Motorsport;1:46.956;+1.120;+0.056;
22;88;Santiago BAZTARRICA;TC Racing;1:46.975;+1.139;+0.019;
23;6;Sacha VAN'T PAD BOSCH;T-Code by Amtog;1:47.221;+1.385;+0.246;
24;17;Nacho TUÑON;Tecnicar by Amtog;1:47.236;+1.400;+0.015;
25;41;Stepan SUSLOV;DXR;1:47.320;+1.484;+0.084;
26;24;Kyuho LEE;Rodin Motorsport;1:47.377;+1.541;+0.057;
27;71;Daniel DALLAKYAN;GRS Team;1:47.433;+1.597;+0.056;
28;57;Kaiden HIGGINS;DXR;1:47.450;+1.614;+0.017;
29;32;Wiktor DOBRZANSKI;Tecnicar by Amtog;1:47.705;+1.869;+0.255;
30;70;Aleksandar BOGUNOVIC;GRS Team;1:47.719;+1.883;+0.014;
;27;Alexander JACOBY;Monlau Motorsport;;;;
