Nr;Driver;Team;TL_Nr;Camera;Lap;Time;Total_Infractions;TL_After;TL_PREVIOUS
2;Vivek KANTHAN;Campos Racing;1;Turn 8;8;13:07:38.660;1;no;no
4;Ean EYCKMANS;MP Motorsport;1;Turn 8;9;13:10:20.646;2;no;no
4;Ean EYCKMANS;MP Motorsport;2;Turn 8;10;13:12:07.127;2;no;no
5;Miguel COSTA;Campos Racing;1;Turn 2;3;12:55:45.723;3;no;no
5;Miguel COSTA;Campos Racing;2;Turn 2;6;13:03:32.051;3;no;no
5;Miguel COSTA;Campos Racing;3;Turn 2;10;13:10:37.615;3;no;no
6;Sacha VAN'T PAD BOSCH;T-Code by Amtog;1;Turn 17;1;12:51:53.986;3;yes;no
6;Sacha VAN'T PAD BOSCH;T-Code by Amtog;2;Turn 17;5;13:01:41.190;3;yes;no
6;Sacha VAN'T PAD BOSCH;T-Code by Amtog;3;Turn 8;10;13:09:40.119;3;no;no
9;René LAMMERS;MP Motorsport;1;Turn 17;9;13:11:32.129;1;yes;no
11;Reno FRANCOT;KCL MP Motorsport;1;Turn 8;10;13:11:57.452;1;no;no
17;Nacho TUÑON;Tecnicar by Amtog;1;Turn 15;11;13:12:15.245;1;no;no
24;Kyuho LEE;Rodin Motorsport;1;Turn 15;8;13:06:48.855;3;no;no
24;Kyuho LEE;Rodin Motorsport;2;Turn 8;10;13:09:38.977;3;no;no
24;Kyuho LEE;Rodin Motorsport;3;Turn 17;10;13:10:36.339;3;yes;no
25;Francisco MONARCA;Monlau Motorsport;1;Turn 8;3;12:55:38.904;2;no;no
25;Francisco MONARCA;Monlau Motorsport;2;Turn 2;6;13:02:05.935;2;no;no
32;Wiktor DOBRZANSKI;Tecnicar by Amtog;1;Turn 8;7;13:04:26.424;1;no;no
39;Santino PANETTA;TC Racing;1;Turn 17;9;13:09:00.591;1;yes;no
46;Nathan TYE;Rodin Motorsport;1;Turn 8;9;13:09:34.901;1;no;no
48;Gino TRAPPA;Drivex;1;Turn 15;5;13:03:08.764;3;no;no
48;Gino TRAPPA;Drivex;2;Turn 15;10;13:12:02.600;3;no;no
48;Gino TRAPPA;Drivex;3;Turn 15;11;13:13:49.843;3;no;no
57;Kaiden HIGGINS;DXR;1;Turn 17;2;12:55:31.055;3;yes;no
57;Kaiden HIGGINS;DXR;2;Turn 8;3;12:56:21.256;3;no;no
57;Kaiden HIGGINS;DXR;3;Turn 17;9;13:11:01.658;3;yes;no
70;Aleksandar BOGUNOVIC;GRS Team;1;Turn 8;4;13:00:50.116;1;no;no
71;Daniel DALLAKYAN;GRS Team;1;Turn 17;9;13:10:54.399;1;yes;no
77;Andrej PETROVIC;T-Code by Amtog;1;Turn 2;2;12:54:17.263;1;no;no
88;Santiago BAZTARRICA;TC Racing;1;Turn 17;3;12:56:18.734;1;yes;no
91;Lorenzo CAMPOS;Monlau Motorsport;1;Turn 17;11;13:12:30.659;1;yes;no
