NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; S4; S4_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;S4_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;S4_SECONDS;
1;1;1;2:46.297;0;;1:19.725;0;25.433;0;33.266;0;27.873;0;93.4;2:46.297;09:02:46.297;1:19.725;0:25.433;0:33.266;0:27.873;150.9;Hudson SCHWARTZ;0:00:45.641;;A;KCL MP Motorsport;;GF;79.725;25.433;33.266;27.873;
1;1;2;1:50.465;0;;27.567;0;23.941;0;31.816;0;27.141;0;140.6;4:36.762;09:04:36.762;0:27.567;0:23.941;0:31.816;0:27.141;213.8;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;27.567;23.941;31.816;27.141;
1;1;3;1:48.568;0;;27.153;0;23.408;0;31.264;0;26.743;0;143.0;6:25.330;09:06:25.330;0:27.153;0:23.408;0:31.264;0:26.743;213.8;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;27.153;23.408;31.264;26.743;
1;1;4;1:47.500;0;;26.892;0;23.228;0;30.882;0;26.498;0;144.4;8:12.830;09:08:12.830;0:26.892;0:23.228;0:30.882;0:26.498;216.0;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;26.892;23.228;30.882;26.498;
1;1;5;1:47.055;0;;26.812;0;23.142;0;30.706;0;26.395;0;145.0;9:59.885;09:09:59.885;0:26.812;0:23.142;0:30.706;0:26.395;216.0;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;26.812;23.142;30.706;26.395;
1;1;6;1:46.479;0;;26.506;2;23.046;2;30.576;0;26.351;0;145.8;11:46.364;09:11:46.364;0:26.506;0:23.046;0:30.576;0:26.351;217.1;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;26.506;23.046;30.576;26.351;
1;1;7;1:47.745;0;;26.873;0;23.161;0;31.128;0;26.583;0;144.1;13:34.109;09:13:34.109;0:26.873;0:23.161;0:31.128;0:26.583;216.0;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;26.873;23.161;31.128;26.583;
1;1;8;1:46.851;0;;26.704;0;23.214;0;30.604;0;26.329;0;145.3;15:20.960;09:15:20.960;0:26.704;0:23.214;0:30.604;0:26.329;217.1;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;26.704;23.214;30.604;26.329;
1;1;9;1:46.427;0;;26.510;0;23.121;0;30.488;0;26.308;2;145.9;17:07.387;09:17:07.387;0:26.510;0:23.121;0:30.488;0:26.308;218.3;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;26.510;23.121;30.488;26.308;
1;1;10;1:46.389;2;;26.528;0;23.075;0;30.459;2;26.327;0;145.9;18:53.776;09:18:53.776;0:26.528;0:23.075;0:30.459;0:26.327;218.3;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;26.528;23.075;30.459;26.327;
1;1;11;1:46.674;0;;26.585;0;23.120;0;30.526;0;26.443;0;145.6;20:40.450;09:20:40.450;0:26.585;0:23.120;0:30.526;0:26.443;218.3;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;FF;26.585;23.120;30.526;26.443;
10;1;1;4:56.255;0;;3:25.368;0;26.399;0;35.992;0;28.496;0;52.4;4:56.255;09:04:56.255;3:25.368;0:26.399;0:35.992;0:28.496;159.1;Niklas SCHAUFLER;0:02:50.048;R;A;KCL MP Motorsport;;GF;205.368;26.399;35.992;28.496;
10;1;2;1:56.659;0;;29.423;0;25.993;0;34.153;0;27.090;0;133.1;6:52.914;09:06:52.914;0:29.423;0:25.993;0:34.153;0:27.090;196.4;Niklas SCHAUFLER;;R;A;KCL MP Motorsport;;GF;29.423;25.993;34.153;27.090;
10;1;3;1:48.499;0;;26.994;0;23.541;0;31.237;0;26.727;0;143.1;8:41.413;09:08:41.413;0:26.994;0:23.541;0:31.237;0:26.727;212.6;Niklas SCHAUFLER;;R;A;KCL MP Motorsport;;GF;26.994;23.541;31.237;26.727;
10;1;4;1:47.382;0;;26.726;0;23.167;0;30.963;0;26.526;0;144.6;10:28.795;09:10:28.795;0:26.726;0:23.167;0:30.963;0:26.526;213.8;Niklas SCHAUFLER;;R;A;KCL MP Motorsport;;GF;26.726;23.167;30.963;26.526;
10;1;5;1:53.112;0;;29.041;0;26.466;0;31.029;0;26.576;0;137.3;12:21.907;09:12:21.907;0:29.041;0:26.466;0:31.029;0:26.576;214.9;Niklas SCHAUFLER;;R;A;KCL MP Motorsport;;GF;29.041;26.466;31.029;26.576;
10;1;6;1:46.888;0;;26.578;0;23.185;0;30.713;0;26.412;2;145.3;14:08.795;09:14:08.795;0:26.578;0:23.185;0:30.713;0:26.412;214.9;Niklas SCHAUFLER;;R;A;KCL MP Motorsport;;GF;26.578;23.185;30.713;26.412;
10;1;7;1:46.912;0;;26.514;2;23.196;0;30.700;0;26.502;0;145.2;15:55.707;09:15:55.707;0:26.514;0:23.196;0:30.700;0:26.502;216.0;Niklas SCHAUFLER;;R;A;KCL MP Motorsport;;GF;26.514;23.196;30.700;26.502;
10;1;8;1:46.842;0;;26.514;0;23.092;2;30.758;0;26.478;0;145.3;17:42.549;09:17:42.549;0:26.514;0:23.092;0:30.758;0:26.478;217.1;Niklas SCHAUFLER;;R;A;KCL MP Motorsport;;GF;26.514;23.092;30.758;26.478;
10;1;9;1:46.934;0;;26.603;0;23.195;0;30.636;0;26.500;0;145.2;19:29.483;09:19:29.483;0:26.603;0:23.195;0:30.636;0:26.500;214.9;Niklas SCHAUFLER;;R;A;KCL MP Motorsport;;GF;26.603;23.195;30.636;26.500;
10;1;10;1:46.758;2;;26.549;0;23.137;0;30.621;2;26.451;0;145.4;21:16.241;09:21:16.241;0:26.549;0:23.137;0:30.621;0:26.451;216.0;Niklas SCHAUFLER;;R;A;KCL MP Motorsport;;FF;26.549;23.137;30.621;26.451;
11;1;1;5:01.662;0;;3:33.079;0;26.709;0;33.768;0;28.106;0;51.5;5:01.662;09:05:01.662;3:33.079;0:26.709;0:33.768;0:28.106;146.0;Reno FRANCOT;0:02:57.627;;A;KCL MP Motorsport;;GF;213.079;26.709;33.768;28.106;
11;1;2;1:52.251;0;;28.400;0;24.202;0;32.474;0;27.175;0;138.3;6:53.913;09:06:53.913;0:28.400;0:24.202;0:32.474;0:27.175;203.2;Reno FRANCOT;;;A;KCL MP Motorsport;;GF;28.400;24.202;32.474;27.175;
11;1;3;1:49.188;0;;26.957;0;23.411;0;31.229;0;27.591;0;142.2;8:43.101;09:08:43.101;0:26.957;0:23.411;0:31.229;0:27.591;214.9;Reno FRANCOT;;;A;KCL MP Motorsport;;GF;26.957;23.411;31.229;27.591;
11;1;4;1:47.077;0;;26.737;0;23.183;0;30.807;0;26.350;0;145.0;10:30.178;09:10:30.178;0:26.737;0:23.183;0:30.807;0:26.350;214.9;Reno FRANCOT;;;A;KCL MP Motorsport;;GF;26.737;23.183;30.807;26.350;
11;1;5;1:46.750;0;;26.708;0;23.109;2;30.596;0;26.337;2;145.5;12:16.928;09:12:16.928;0:26.708;0:23.109;0:30.596;0:26.337;217.1;Reno FRANCOT;;;A;KCL MP Motorsport;;GF;26.708;23.109;30.596;26.337;
11;1;6;1:46.492;0;;26.515;2;23.090;0;30.511;0;26.376;0;145.8;14:03.420;09:14:03.420;0:26.515;0:23.090;0:30.511;0:26.376;214.9;Reno FRANCOT;;;A;KCL MP Motorsport;;GF;26.515;23.090;30.511;26.376;
11;1;7;1:46.842;0;;26.565;0;23.181;0;30.570;0;26.526;0;145.3;15:50.262;09:15:50.262;0:26.565;0:23.181;0:30.570;0:26.526;217.1;Reno FRANCOT;;;A;KCL MP Motorsport;;GF;26.565;23.181;30.570;26.526;
11;1;8;1:53.820;0;;26.644;0;26.757;0;33.512;0;26.907;0;136.4;17:44.082;09:17:44.082;0:26.644;0:26.757;0:33.512;0:26.907;217.1;Reno FRANCOT;;;A;KCL MP Motorsport;;GF;26.644;26.757;33.512;26.907;
11;1;9;1:46.810;0;;26.584;0;23.239;0;30.527;0;26.460;0;145.4;19:30.892;09:19:30.892;0:26.584;0:23.239;0:30.527;0:26.460;214.9;Reno FRANCOT;;;A;KCL MP Motorsport;;GF;26.584;23.239;30.527;26.460;
11;1;10;1:46.603;2;;26.578;0;23.192;0;30.485;2;26.348;0;145.7;21:17.495;09:21:17.495;0:26.578;0:23.192;0:30.485;0:26.348;216.0;Reno FRANCOT;;;A;KCL MP Motorsport;;FF;26.578;23.192;30.485;26.348;
17;1;1;2:49.627;0;;1:14.772;0;28.059;0;36.964;0;29.832;0;91.5;2:49.627;09:02:49.627;1:14.772;0:28.059;0:36.964;0:29.832;144.0;Nacho TUÑON;0:00:36.695;R;B;Tecnicar by Amtog;;GF;74.772;28.059;36.964;29.832;
17;1;2;1:54.736;0;;30.098;0;24.836;0;32.338;0;27.464;0;135.3;4:44.363;09:04:44.363;0:30.098;0:24.836;0:32.338;0:27.464;199.2;Nacho TUÑON;;R;B;Tecnicar by Amtog;;GF;30.098;24.836;32.338;27.464;
17;1;3;1:49.795;0;;27.559;0;23.775;0;31.482;0;26.979;0;141.4;6:34.158;09:06:34.158;0:27.559;0:23.775;0:31.482;0:26.979;212.6;Nacho TUÑON;;R;B;Tecnicar by Amtog;;GF;27.559;23.775;31.482;26.979;
17;1;4;1:48.796;0;;27.000;0;23.677;0;31.333;0;26.786;0;142.7;8:22.954;09:08:22.954;0:27.000;0:23.677;0:31.333;0:26.786;213.8;Nacho TUÑON;;R;B;Tecnicar by Amtog;;GF;27.000;23.677;31.333;26.786;
17;1;5;1:47.972;0;;26.884;0;23.377;0;30.966;0;26.745;0;143.8;10:10.926;09:10:10.926;0:26.884;0:23.377;0:30.966;0:26.745;212.6;Nacho TUÑON;;R;B;Tecnicar by Amtog;;GF;26.884;23.377;30.966;26.745;
17;1;6;1:48.161;0;;27.077;0;23.420;0;30.959;0;26.705;0;143.6;11:59.087;09:11:59.087;0:27.077;0:23.420;0:30.959;0:26.705;213.8;Nacho TUÑON;;R;B;Tecnicar by Amtog;;GF;27.077;23.420;30.959;26.705;
17;1;7;1:47.802;0;;26.858;0;23.372;0;30.914;0;26.658;0;144.0;13:46.889;09:13:46.889;0:26.858;0:23.372;0:30.914;0:26.658;214.9;Nacho TUÑON;;R;B;Tecnicar by Amtog;;GF;26.858;23.372;30.914;26.658;
17;1;8;1:47.397;0;;26.752;0;23.372;0;30.705;0;26.568;0;144.6;15:34.286;09:15:34.286;0:26.752;0:23.372;0:30.705;0:26.568;216.0;Nacho TUÑON;;R;B;Tecnicar by Amtog;;GF;26.752;23.372;30.705;26.568;
17;1;9;1:47.285;2;;26.764;0;23.210;2;30.789;0;26.522;2;144.7;17:21.571;09:17:21.571;0:26.764;0:23.210;0:30.789;0:26.522;216.0;Nacho TUÑON;;R;B;Tecnicar by Amtog;;GF;26.764;23.210;30.789;26.522;
17;1;10;1:47.208;0;;26.695;2;23.278;0;30.712;0;26.523;0;144.8;19:08.779;09:19:08.779;0:26.695;0:23.278;0:30.712;0:26.523;214.9;Nacho TUÑON;;R;B;Tecnicar by Amtog;;GF;26.695;23.278;30.712;26.523;
17;1;11;1:47.349;0;;26.749;0;23.291;0;30.611;2;26.698;0;144.6;20:56.128;09:20:56.128;0:26.749;0:23.291;0:30.611;0:26.698;210.5;Nacho TUÑON;;R;B;Tecnicar by Amtog;;FF;26.749;23.291;30.611;26.698;
19;1;1;2:29.754;0;;1:03.217;0;25.497;0;33.202;0;27.838;0;103.7;2:29.754;09:02:29.754;1:03.217;0:25.497;0:33.202;0:27.838;;Matus RYBA;0:00:27.510;;B;Griffin Core;;GF;63.217;25.497;33.202;27.838;
19;1;2;1:53.739;0;;28.659;0;24.610;0;32.570;0;27.900;0;136.5;4:23.493;09:04:23.493;0:28.659;0:24.610;0:32.570;0:27.900;211.5;Matus RYBA;;;B;Griffin Core;;GF;28.659;24.610;32.570;27.900;
19;1;3;1:49.884;0;;26.985;0;24.144;0;31.820;0;26.935;0;141.3;6:13.377;09:06:13.377;0:26.985;0:24.144;0:31.820;0:26.935;208.3;Matus RYBA;;;B;Griffin Core;;GF;26.985;24.144;31.820;26.935;
19;1;4;1:48.265;0;;26.916;0;23.624;0;31.162;0;26.563;0;143.4;8:01.642;09:08:01.642;0:26.916;0:23.624;0:31.162;0:26.563;219.5;Matus RYBA;;;B;Griffin Core;;GF;26.916;23.624;31.162;26.563;
19;1;5;1:47.368;0;;26.657;0;23.276;0;30.935;0;26.500;0;144.6;9:49.010;09:09:49.010;0:26.657;0:23.276;0:30.935;0:26.500;219.5;Matus RYBA;;;B;Griffin Core;;GF;26.657;23.276;30.935;26.500;
19;1;6;1:47.306;0;;26.596;0;23.279;0;30.855;0;26.576;0;144.7;11:36.316;09:11:36.316;0:26.596;0:23.279;0:30.855;0:26.576;214.9;Matus RYBA;;;B;Griffin Core;;GF;26.596;23.279;30.855;26.576;
19;1;7;1:46.856;2;;26.653;0;23.075;2;30.763;0;26.365;2;145.3;13:23.172;09:13:23.172;0:26.653;0:23.075;0:30.763;0:26.365;219.5;Matus RYBA;;;B;Griffin Core;;GF;26.653;23.075;30.763;26.365;
19;1;8;1:47.036;0;;26.613;0;23.155;0;30.822;0;26.446;0;145.1;15:10.208;09:15:10.208;0:26.613;0:23.155;0:30.822;0:26.446;220.6;Matus RYBA;;;B;Griffin Core;;GF;26.613;23.155;30.822;26.446;
19;1;9;1:46.884;0;;26.590;2;23.120;0;30.711;0;26.463;0;145.3;16:57.092;09:16:57.092;0:26.590;0:23.120;0:30.711;0:26.463;;Matus RYBA;;;B;Griffin Core;;GF;26.590;23.120;30.711;26.463;
19;1;10;1:47.121;0;;26.669;0;23.190;0;30.719;0;26.543;0;144.9;18:44.213;09:18:44.213;0:26.669;0:23.190;0:30.719;0:26.543;218.3;Matus RYBA;;;B;Griffin Core;;GF;26.669;23.190;30.719;26.543;
19;1;11;1:46.977;0;;26.677;0;23.100;0;30.694;2;26.506;0;145.1;20:31.190;09:20:31.190;0:26.677;0:23.100;0:30.694;0:26.506;212.6;Matus RYBA;;;B;Griffin Core;;FF;26.677;23.100;30.694;26.506;
2;1;1;2:23.077;0;;50.705;0;28.173;0;35.665;0;28.534;0;108.5;2:23.077;09:02:23.077;0:50.705;0:28.173;0:35.665;0:28.534;159.7;Vivek KANTHAN;0:00:14.588;R;B;Campos Racing;;GF;50.705;28.173;35.665;28.534;
2;1;2;1:56.256;0;;29.331;0;26.666;0;32.786;0;27.473;0;133.6;4:19.333;09:04:19.333;0:29.331;0:26.666;0:32.786;0:27.473;194.5;Vivek KANTHAN;;R;B;Campos Racing;;GF;29.331;26.666;32.786;27.473;
2;1;3;1:49.284;0;;27.167;0;23.885;0;31.451;0;26.781;0;142.1;6:08.617;09:06:08.617;0:27.167;0:23.885;0:31.451;0:26.781;218.3;Vivek KANTHAN;;R;B;Campos Racing;;GF;27.167;23.885;31.451;26.781;
2;1;4;1:47.908;0;;26.898;0;23.308;0;31.125;0;26.577;0;143.9;7:56.525;09:07:56.525;0:26.898;0:23.308;0:31.125;0:26.577;214.9;Vivek KANTHAN;;R;B;Campos Racing;;GF;26.898;23.308;31.125;26.577;
