NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; S4; S4_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;S4_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;S4_SECONDS;
1;1;1;1:59.766;0;;35.511;0;24.475;0;32.001;0;27.779;0;129.6;1:59.766;15:55:34.851;0:35.511;0:24.475;0:32.001;0:27.779;;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;35.511;24.475;32.001;27.779;
1;1;2;1:48.807;0;;26.888;0;24.017;0;31.297;0;26.605;0;142.7;3:48.573;15:57:23.658;0:26.888;0:24.017;0:31.297;0:26.605;219.5;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;26.888;24.017;31.297;26.605;
1;1;3;1:59.233;0;;26.627;0;24.218;0;35.354;0;33.034;0;130.2;5:47.806;15:59:22.891;0:26.627;0:24.218;0:35.354;0:33.034;221.8;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;SF;26.627;24.218;35.354;33.034;
1;1;4;2:33.799;0;;33.852;0;34.080;0;41.962;0;43.905;0;101.0;8:21.605;16:01:56.690;0:33.852;0:34.080;0:41.962;0:43.905;191.8;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;SF;33.852;34.080;41.962;43.905;
1;1;5;2:34.787;0;;48.309;0;32.785;0;40.268;0;33.425;0;100.3;10:56.392;16:04:31.477;0:48.309;0:32.785;0:40.268;0:33.425;72.8;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;SF;48.309;32.785;40.268;33.425;
1;1;6;2:18.998;0;;34.408;0;33.025;0;44.508;0;27.057;0;111.7;13:15.390;16:06:50.475;0:34.408;0:33.025;0:44.508;0:27.057;180.8;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;34.408;33.025;44.508;27.057;
1;1;7;1:47.886;0;;26.649;0;23.545;0;31.181;0;26.511;0;143.9;15:03.276;16:08:38.361;0:26.649;0:23.545;0:31.181;0:26.511;223.0;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;26.649;23.545;31.181;26.511;
1;1;8;1:48.474;0;;26.923;0;23.747;0;31.186;0;26.618;0;143.1;16:51.750;16:10:26.835;0:26.923;0:23.747;0:31.186;0:26.618;224.3;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;26.923;23.747;31.186;26.618;
1;1;9;1:48.819;0;;26.790;0;23.763;0;31.634;0;26.632;0;142.7;18:40.569;16:12:15.654;0:26.790;0:23.763;0:31.634;0:26.632;224.3;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;26.790;23.763;31.634;26.632;
1;1;10;1:48.407;0;;26.722;0;23.396;0;31.440;0;26.849;0;143.2;20:28.976;16:14:04.061;0:26.722;0:23.396;0:31.440;0:26.849;224.3;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;26.722;23.396;31.440;26.849;
1;1;11;1:48.653;0;;26.843;0;24.160;0;31.284;0;26.366;2;142.9;22:17.629;16:15:52.714;0:26.843;0:24.160;0:31.284;0:26.366;219.5;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;26.843;24.160;31.284;26.366;
1;1;12;1:47.079;2;;26.562;0;23.370;0;30.759;2;26.388;0;145.0;24:04.708;16:17:39.793;0:26.562;0:23.370;0:30.759;0:26.388;219.5;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;26.562;23.370;30.759;26.388;
1;1;13;1:47.249;0;;26.595;0;23.318;2;30.833;0;26.503;0;144.8;25:51.957;16:19:27.042;0:26.595;0:23.318;0:30.833;0:26.503;221.8;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;26.595;23.318;30.833;26.503;
1;1;14;1:47.300;0;;26.493;2;23.420;0;30.958;0;26.429;0;144.7;27:39.257;16:21:14.342;0:26.493;0:23.420;0:30.958;0:26.429;221.8;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;26.493;23.420;30.958;26.429;
1;1;15;1:47.219;0;;26.546;0;23.322;0;30.804;0;26.547;0;144.8;29:26.476;16:23:01.561;0:26.546;0:23.322;0:30.804;0:26.547;224.3;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;26.546;23.322;30.804;26.547;
1;1;16;1:47.416;0;;26.692;0;23.351;0;30.831;0;26.542;0;144.5;31:13.892;16:24:48.977;0:26.692;0:23.351;0:30.831;0:26.542;224.3;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;26.692;23.351;30.831;26.542;
1;1;17;1:47.445;0;;26.606;0;23.404;0;30.802;0;26.633;0;144.5;33:01.337;16:26:36.422;0:26.606;0:23.404;0:30.802;0:26.633;223.0;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;FF;26.606;23.404;30.802;26.633;
10;1;1;1:59.671;0;;35.738;0;24.362;0;32.205;0;27.366;0;129.7;1:59.671;15:55:34.756;0:35.738;0:24.362;0:32.205;0:27.366;;Niklas SCHAUFLER;;R;A;KCL MP Motorsport;;GF;35.738;24.362;32.205;27.366;
10;1;2;1:50.624;0;;27.531;0;23.712;0;32.328;0;27.053;0;140.4;3:50.295;15:57:25.380;0:27.531;0:23.712;0:32.328;0:27.053;211.5;Niklas SCHAUFLER;;R;A;KCL MP Motorsport;;GF;27.531;23.712;32.328;27.053;
10;1;3;1:59.510;0;;26.666;0;24.083;0;35.885;0;32.876;0;129.9;5:49.805;15:59:24.890;0:26.666;0:24.083;0:35.885;0:32.876;219.5;Niklas SCHAUFLER;;R;A;KCL MP Motorsport;;SF;26.666;24.083;35.885;32.876;
10;1;4;2:34.196;0;;34.116;0;34.291;0;42.177;0;43.612;0;100.7;8:24.001;16:01:59.086;0:34.116;0:34.291;0:42.177;0:43.612;173.2;Niklas SCHAUFLER;;R;A;KCL MP Motorsport;;SF;34.116;34.291;42.177;43.612;
10;1;5;2:34.492;0;;48.219;0;32.851;0;40.314;0;33.108;0;100.5;10:58.493;16:04:33.578;0:48.219;0:32.851;0:40.314;0:33.108;78.9;Niklas SCHAUFLER;;R;A;KCL MP Motorsport;;SF;48.219;32.851;40.314;33.108;
10;1;6;2:18.417;0;;34.070;0;33.471;0;43.672;0;27.204;0;112.2;13:16.910;16:06:51.995;0:34.070;0:33.471;0:43.672;0:27.204;162.9;Niklas SCHAUFLER;;R;A;KCL MP Motorsport;;GF;34.070;33.471;43.672;27.204;
10;1;7;1:48.207;0;;26.762;0;23.691;0;31.089;0;26.665;0;143.5;15:05.117;16:08:40.202;0:26.762;0:23.691;0:31.089;0:26.665;221.8;Niklas SCHAUFLER;;R;A;KCL MP Motorsport;;GF;26.762;23.691;31.089;26.665;
10;1;8;1:47.411;0;;26.545;0;23.326;2;30.986;0;26.554;2;144.6;16:52.528;16:10:27.613;0:26.545;0:23.326;0:30.986;0:26.554;223.0;Niklas SCHAUFLER;;R;A;KCL MP Motorsport;;GF;26.545;23.326;30.986;26.554;
10;1;9;1:48.860;0;;26.534;0;23.967;0;31.584;0;26.775;0;142.6;18:41.388;16:12:16.473;0:26.534;0:23.967;0:31.584;0:26.775;221.8;Niklas SCHAUFLER;;R;A;KCL MP Motorsport;;GF;26.534;23.967;31.584;26.775;
10;1;10;1:49.345;0;;26.785;0;24.040;0;31.920;0;26.600;0;142.0;20:30.733;16:14:05.818;0:26.785;0:24.040;0:31.920;0:26.600;219.5;Niklas SCHAUFLER;;R;A;KCL MP Motorsport;;GF;26.785;24.040;31.920;26.600;
10;1;11;1:48.239;0;;26.465;0;23.456;0;31.682;0;26.636;0;143.4;22:18.972;16:15:54.057;0:26.465;0:23.456;0:31.682;0:26.636;219.5;Niklas SCHAUFLER;;R;A;KCL MP Motorsport;;GF;26.465;23.456;31.682;26.636;
10;1;12;1:48.192;0;;26.849;0;23.802;0;30.975;0;26.566;0;143.5;24:07.164;16:17:42.249;0:26.849;0:23.802;0:30.975;0:26.566;219.5;Niklas SCHAUFLER;;R;A;KCL MP Motorsport;;GF;26.849;23.802;30.975;26.566;
10;1;13;1:47.625;0;;26.585;0;23.439;0;30.969;0;26.632;0;144.3;25:54.789;16:19:29.874;0:26.585;0:23.439;0:30.969;0:26.632;219.5;Niklas SCHAUFLER;;R;A;KCL MP Motorsport;;GF;26.585;23.439;30.969;26.632;
10;1;14;1:47.558;0;;26.575;0;23.404;0;30.900;2;26.679;0;144.4;27:42.347;16:21:17.432;0:26.575;0:23.404;0:30.900;0:26.679;216.0;Niklas SCHAUFLER;;R;A;KCL MP Motorsport;;GF;26.575;23.404;30.900;26.679;
