Nr;Driver;Team;TL_Nr;Camera;Lap;Time;Total_Infractions;TL_After;TL_PREVIOUS
1;Hudson SCHWARTZ;KCL MP Motorsport;1;Turn 8;15;16:21:55.976;2;no;no
1;Hudson SCHWARTZ;KCL MP Motorsport;2;Turn 17;15;16:22:53.007;2;yes;no
4;Ean EYCKMANS;MP Motorsport;1;Turn 15;8;16:10:01.640;3;no;no
4;Ean EYCKMANS;MP Motorsport;2;Turn 17;9;16:12:03.549;3;yes;no
4;Ean EYCKMANS;MP Motorsport;3;Turn 2;10;16:12:24.600;3;no;no
5;Miguel COSTA;Campos Racing;1;Turn 2;9;16:10:36.222;3;no;no
5;Miguel COSTA;Campos Racing;2;Turn 15;9;16:11:53.053;3;no;no
5;Miguel COSTA;Campos Racing;3;Turn 15;16;16:24:29.765;3;no;no
6;Sacha VAN'T PAD BOSCH;T-Code by Amtog;1;Turn 15;2;15:57:05.502;3;no;no
6;Sacha VAN'T PAD BOSCH;T-Code by Amtog;2;Turn 15;10;16:13:45.231;3;no;no
6;Sacha VAN'T PAD BOSCH;T-Code by Amtog;3;Turn 15;13;16:19:12.782;3;no;no
9;René LAMMERS;MP Motorsport;1;Turn 2;8;16:08:43.880;2;no;no
9;René LAMMERS;MP Motorsport;2;Turn 2;15;16:21:14.159;2;no;no
11;Reno FRANCOT;KCL MP Motorsport;1;Turn 8;11;16:14:38.448;2;no;no
11;Reno FRANCOT;KCL MP Motorsport;2;Turn 8;15;16:21:46.898;2;no;no
17;Nacho TUÑON;Tecnicar by Amtog;1;Turn 15;2;15:57:05.502;2;no;no
17;Nacho TUÑON;Tecnicar by Amtog;2;Turn 8;7;16:07:36.923;2;no;no
19;Matus RYBA;Griffin Core;1;Turn 8;12;16:16:28.922;2;no;no
19;Matus RYBA;Griffin Core;2;Turn 15;12;16:17:13.029;2;no;no
22;Juan COTA;MP Motorsport;1;Turn 2;9;16:10:35.027;2;no;no
22;Juan COTA;MP Motorsport;2;Turn 17;9;16:12:03.549;2;yes;no
24;Kyuho LEE;Rodin Motorsport;1;Turn 8;2;15:56:20.052;5;no;no
24;Kyuho LEE;Rodin Motorsport;2;Turn 15;2;15:57:07.504;5;no;no
24;Kyuho LEE;Rodin Motorsport;3;Turn 2;3;15:57:43.415;5;no;no
24;Kyuho LEE;Rodin Motorsport;4;Turn 2;8;16:08:58.763;5;no;no
24;Kyuho LEE;Rodin Motorsport;5;Turn 2;12;16:16:13.424;5;no;no
25;Francisco MONARCA;Monlau Motorsport;1;Turn 2;3;15:57:37.618;6;no;no
25;Francisco MONARCA;Monlau Motorsport;2;Turn 2;8;16:08:52.424;6;no;no
25;Francisco MONARCA;Monlau Motorsport;3;Turn 15;9;16:11:55.517;6;no;no
25;Francisco MONARCA;Monlau Motorsport;4;Turn 15;10;16:13:45.231;6;no;no
25;Francisco MONARCA;Monlau Motorsport;5;Turn 15;13;16:19:12.782;6;no;no
25;Francisco MONARCA;Monlau Motorsport;6;Turn 8;15;16:22:06.921;6;no;no
32;Wiktor DOBRZANSKI;Tecnicar by Amtog;1;Turn 15;10;16:13:47.967;2;no;no
32;Wiktor DOBRZANSKI;Tecnicar by Amtog;2;Turn 15;12;16:17:27.246;2;no;no
33;Christopher EL FEGHALI;Drivex;1;Turn 15;16;16:24:29.765;1;no;no
37;Filippo FIORENTINO;Drivex;1;Turn 2;8;16:08:50.755;2;no;no
37;Filippo FIORENTINO;Drivex;2;Turn 8;10;16:12:57.779;2;no;no
39;Santino PANETTA;TC Racing;1;Turn 8;2;15:56:18.514;1;no;no
41;Stepan SUSLOV;DXR;1;Turn 2;9;16:10:41.832;3;no;no
41;Stepan SUSLOV;DXR;2;Turn 15;9;16:11:55.517;3;no;no
41;Stepan SUSLOV;DXR;3;Turn 8;13;16:18:26.240;3;no;no
46;Nathan TYE;Rodin Motorsport;1;Turn 2;9;16:10:36.222;1;no;no
57;Kaiden HIGGINS;DXR;1;Turn 15;7;16:08:22.641;5;no;no
57;Kaiden HIGGINS;DXR;2;Turn 17;8;16:10:24.350;5;yes;no
57;Kaiden HIGGINS;DXR;3;Turn 8;9;16:11:14.377;5;no;no
57;Kaiden HIGGINS;DXR;4;Turn 15;8;16:10:11.253;5;no;no
57;Kaiden HIGGINS;DXR;5;Turn 17;14;16:21:18.550;5;yes;no
70;Aleksandar BOGUNOVIC;GRS Team;1;Turn 15;10;16:13:50.504;2;no;no
70;Aleksandar BOGUNOVIC;GRS Team;2;Turn 2;17;16:25:19.339;2;no;no
