POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;9;Classified;16;31:53.495;-;-;12;1:47.122;144.9;MP Motorsport;;A;;Tatuus F4 T -421;;;;;;;;;;;;René;LAMMERS;;;NLD;;;;;;;
2;99;Classified;16;31:53.744;+0.249;+0.249;12;1:46.706;145.5;Griffin Core;;B;;Tatuus F4 T -421;;;;;;;;;;;;Thomas;STRAUVEN;;;BEL;;;;;;;
3;4;Classified;16;31:56.570;+3.075;+2.826;14;1:47.197;144.8;MP Motorsport;R;A;;Tatuus F4 T -421;;;;;;;;;;;;Ean;EYCKMANS;;;BEL;;;;;;;
4;77;Classified;16;31:56.906;+3.411;+0.336;13;1:46.974;145.1;T-Code by Amtog;;B;;Tatuus F4 T -421;;;;;;;;;;;;Andrej;PETROVIC;;;SRB;;;;;;;
5;23;Classified;16;31:58.625;+5.130;+1.719;13;1:46.928;145.2;Griffin Core;;B;;Tatuus F4 T -421;;;;;;;;;;;;Jan;PRZYROWSKI;;;POL;;;;;;;
6;11;Classified;16;32:02.413;+8.918;+3.788;13;1:47.215;144.8;KCL MP Motorsport;;A;;Tatuus F4 T -421;;;;;;;;;;;;Reno;FRANCOT;;;NLD;;;;;;;
7;1;Classified;16;32:03.882;+10.387;+1.469;15;1:47.463;144.5;KCL MP Motorsport;;A;;Tatuus F4 T -421;;;;;;;;;;;;Hudson;SCHWARTZ;;;USA;SCW;;;;;;
8;2;Classified;16;32:11.165;+17.670;+7.283;16;1:47.456;144.5;Campos Racing;R;B;;Tatuus F4 T -421;;;;;;;;;;;;Vivek;KANTHAN;;;USA;;;;;;;
9;10;Classified;16;32:11.698;+18.203;+0.533;16;1:47.401;144.6;KCL MP Motorsport;R;A;;Tatuus F4 T -421;;;;;;;;;;;;Niklas;SCHAUFLER;;;AUT;SCF;;;;;;
10;24;Classified;16;32:13.558;+20.063;+1.860;16;1:47.764;144.1;Rodin Motorsport;R;B;;Tatuus F4 T -421;;;;;;;;;;;;Kyuho;LEE;;;KOR;;;;;;;
11;6;Classified;16;32:13.971;+20.476;+0.413;12;1:47.492;144.4;T-Code by Amtog;R;B;;Tatuus F4 T -421;;;;;;;;;;;;Sacha;VAN'T PAD BOSCH;;;NLD;;;;;;;
12;22;Classified;16;32:14.179;+20.684;+0.208;16;1:46.972;145.1;MP Motorsport;;A;;Tatuus F4 T -421;;;;;;;;;;;;Juan;COTA;;;ESP;;;;;;;
13;39;Classified;16;32:15.253;+21.758;+1.074;15;1:48.110;143.6;TC Racing;R;A;;Tatuus F4 T -421;;;;;;;;;;;;Santino;PANETTA;;;ARG;;;;;;;
14;48;Classified;16;32:15.748;+22.253;+0.495;12;1:48.007;143.8;Drivex;;A;;Tatuus F4 T -421;;;;;;;;;;;;Gino;TRAPPA;;;ARG;;;;;;;
15;27;Classified;16;32:16.026;+22.531;+0.278;13;1:47.615;144.3;Monlau Motorsport;;A;;Tatuus F4 T -421;;;;;;;;;;;;Alexander;JACOBY;;;BRA;;;;;;;
16;91;Classified;16;32:16.624;+23.129;+0.598;16;1:48.152;143.6;Monlau Motorsport;R;A;;Tatuus F4 T -421;;;;;;;;;;;;Lorenzo;CAMPOS;;;AGO;;;;;;;
17;32;Classified;16;32:18.609;+25.114;+1.985;12;1:48.351;143.3;Tecnicar by Amtog;;B;;Tatuus F4 T -421;;;;;;;;;;;;Wiktor;DOBRZANSKI;;;POL;;;;;;;
18;57;Classified;16;32:19.084;+25.589;+0.475;11;1:48.259;143.4;DXR;R;A;;Tatuus F4 T -421;;;;;;;;;;;;Kaiden;HIGGINS;;;ARE;;;;;;;
19;88;Classified;16;32:19.840;+26.345;+0.756;11;1:48.232;143.5;TC Racing;;A;;Tatuus F4 T -421;;;;;;;;;;;;Santiago;BAZTARRICA;;;ARG;;;;;;;
20;5;Classified;16;32:23.345;+29.850;+3.505;16;1:47.260;144.8;Campos Racing;R;B;;Tatuus F4 T -421;;;;;;;;;;;;Miguel;COSTA;;;BRA;;;;;;;
21;37;Classified;16;32:53.953;+1:00.458;+30.608;14;1:47.314;144.7;Drivex;;A;;Tatuus F4 T -421;;;;;;;;;;;;Filippo;FIORENTINO;;;BRA;;;;;;;
22;25;Classified;16;33:00.769;+1:07.274;+6.816;14;1:47.616;144.3;Monlau Motorsport;R;A;;Tatuus F4 T -421;;;;;;;;;;;;Francisco;MONARCA;;;ARG;MOR;;;;;;
23;70;Classified;14;29:24.486;2 Laps;2 Laps;13;1:47.835;144.0;GRS Team;R;B;;Tatuus F4 T -421;;;;;;;;;;;;Aleksandar;BOGUNOVIC;;;SVN;;;;;;;
24;33;Classified;13;26:48.728;3 Laps;1 Lap;12;1:48.114;143.6;Drivex;R;A;;Tatuus F4 T -421;;;;;;;;;;;;Christopher;EL FEGHALI;;;LBN;FEG;;;;;;
;71;Not classified;9;20:18.576;;;7;1:49.479;141.8;GRS Team;R;B;;Tatuus F4 T -421;;;;;;;;;;;;Daniel;DALLAKYAN;;;ARM;DALL;;;;;;
;41;Not classified;4;9:41.296;;;2;2:03.471;125.8;DXR;R;A;;Tatuus F4 T -421;;;;;;;;;;;;Stepan;SUSLOV;;;SWE;;;;;;;
;81;Not classified;1;1:58.269;;;0;;;Campos Racing;R;B;;Tatuus F4 T -421;;;;;;;;;;;;Noah;MONTEIRO;;;PRT;MOT;;;;;;
;46;Not classified;1;1:58.346;;;0;;;Rodin Motorsport;;B;;Tatuus F4 T -421;;;;;;;;;;;;Nathan;TYE;;;GBR;;;;;;;
;19;Not classified;1;2:00.939;;;0;;;Griffin Core;;B;;Tatuus F4 T -421;;;;;;;;;;;;Matus;RYBA;;;SVK;;;;;;;
;78;Not classified;1;2:01.221;;;0;;;TC Racing;;A;;Tatuus F4 T -421;;;;;;;;;;;;Alfio;SPINA;;;ITA;;;;;;;
;17;Not classified;1;2:04.616;;;0;;;Tecnicar by Amtog;R;B;;Tatuus F4 T -421;;;;;;;;;;;;Nacho;TUÑON;;;ESP;TUN;;;;;;
