NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
1;1;1;3:29.549;0;;2:12.430;0;36.707;0;40.412;0;79.9;3:29.549;10:48:29.549;2:12.430;0:36.707;0:40.412;;Hudson SCHWARTZ;0:01:37.917;;;KCL MP Motorsport;;GF;132.430;36.707;40.412;
1;1;2;1:48.132;0;;34.271;0;34.688;0;39.173;0;154.9;5:17.681;10:50:17.681;0:34.271;0:34.688;0:39.173;228.8;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;34.271;34.688;39.173;
1;1;3;1:47.007;0;;33.874;0;33.954;0;39.179;0;156.5;7:04.688;10:52:04.688;0:33.874;0:33.954;0:39.179;232.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;33.874;33.954;39.179;
1;1;4;2:14.714;0;B;33.908;0;38.310;0;1:02.496;0;124.3;9:19.402;10:54:19.402;0:33.908;0:38.310;1:02.496;231.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;RF;33.908;38.310;62.496;
1;1;5;5:51.056;0;;4:36.742;0;35.563;0;38.751;0;47.7;15:10.458;11:00:10.458;4:36.742;0:35.563;0:38.751;;Hudson SCHWARTZ;0:04:04.891;;;KCL MP Motorsport;;GF;276.742;35.563;38.751;
1;1;6;1:46.736;0;;33.874;0;34.096;0;38.766;0;156.9;16:57.194;11:01:57.194;0:33.874;0:34.096;0:38.766;232.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;33.874;34.096;38.766;
1;1;7;1:47.781;0;;34.741;0;34.194;0;38.846;0;155.4;18:44.975;11:03:44.975;0:34.741;0:34.194;0:38.846;234.8;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;34.741;34.194;38.846;
1;1;8;1:46.682;0;;33.970;0;33.865;0;38.847;0;157.0;20:31.657;11:05:31.657;0:33.970;0:33.865;0:38.847;231.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;33.970;33.865;38.847;
1;1;9;1:52.311;0;B;33.874;0;33.941;0;44.496;0;149.1;22:23.968;11:07:23.968;0:33.874;0:33.941;0:44.496;230.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;33.874;33.941;44.496;
1;1;10;6:26.276;0;;5:10.962;0;36.245;0;39.069;0;43.4;28:50.244;11:13:50.244;5:10.962;0:36.245;0:39.069;;Hudson SCHWARTZ;0:04:41.446;;;KCL MP Motorsport;;GF;310.962;36.245;39.069;
1;1;11;1:46.892;0;;34.124;0;34.086;0;38.682;0;156.7;30:37.136;11:15:37.136;0:34.124;0:34.086;0:38.682;231.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;34.124;34.086;38.682;
1;1;12;1:46.062;0;;33.715;0;33.798;0;38.549;0;157.9;32:23.198;11:17:23.198;0:33.715;0:33.798;0:38.549;231.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;33.715;33.798;38.549;
