TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1749289544;07/06/2025 9:45:44;24,75;21,7;36;1017;12,852;358;0;
1749289624;07/06/2025 9:47:04;24,75;22,1;36;1017;12,852;358;0;
1749289704;07/06/2025 9:48:24;24,75;22,8;36;1017;12,852;358;0;
1749289784;07/06/2025 9:49:44;24,75;23,1;36;1017;12,852;358;0;
1749289864;07/06/2025 9:51:04;24,75;23,5;36;1017;12,852;358;0;
1749289944;07/06/2025 9:52:24;24,75;24;36;1017;12,852;358;0;
1749290024;07/06/2025 9:53:44;24,75;24,3;36;1017;12,852;358;0;
1749290104;07/06/2025 9:55:04;25,06;24,9;36;1017;12,852;358;0;
1749290184;07/06/2025 9:56:24;25,06;25,3;36;1017;12,852;358;0;
1749290264;07/06/2025 9:57:44;25,06;25,8;36;1017;12,852;358;0;
1749290344;07/06/2025 9:59:04;25,06;26,1;36;1017;12,852;358;0;
1749290424;07/06/2025 10:00:24;25,06;26,2;36;1017;12,852;358;0;
1749290504;07/06/2025 10:01:44;25,06;26,4;36;1017;12,852;358;0;
1749290584;07/06/2025 10:03:04;25,06;26,8;36;1017;12,852;358;0;
1749290664;07/06/2025 10:04:24;25,06;27;36;1017;12,852;358;0;
1749290745;07/06/2025 10:05:45;24,91;27,2;36;1017;12,852;358;0;
1749290824;07/06/2025 10:07:04;24,91;27,5;36;1017;12,852;358;0;
1749290904;07/06/2025 10:08:24;24,91;27,8;36;1017;12,852;358;0;
1749290984;07/06/2025 10:09:44;24,91;27,9;36;1017;12,852;358;0;
1749291064;07/06/2025 10:11:04;24,91;28,1;36;1017;12,852;358;0;
1749291144;07/06/2025 10:12:24;24,91;28,4;36;1017;12,852;358;0;
1749291224;07/06/2025 10:13:44;24,91;28,5;36;1017;12,852;358;0;
1749291304;07/06/2025 10:15:04;24,91;28,7;36;1017;12,852;358;0;
1749291384;07/06/2025 10:16:24;24,91;29;36;1017;12,852;358;0;
1749291464;07/06/2025 10:17:44;24,91;29,3;36;1017;12,852;358;0;
1749291544;07/06/2025 10:19:04;24,91;29,4;36;1017;12,852;358;0;
1749291624;07/06/2025 10:20:24;24,91;29,6;36;1017;12,852;358;0;
1749291705;07/06/2025 10:21:45;24,91;29,8;36;1017;12,852;358;0;
1749291784;07/06/2025 10:23:04;24,91;30;36;1017;12,852;358;0;
1749291865;07/06/2025 10:24:25;24,91;30,3;36;1017;12,852;358;0;
