Nr;Driver;Team;TL_Nr;Camera;Lap;Time;Total_Infractions;TL_After;TL_PREVIOUS
1;Hudson SCHWARTZ;KCL MP Motorsport;1;Turn 1;3;10:50:29.934;3;no;no
1;Hudson SCHWARTZ;KCL MP Motorsport;2;Turn 1;7;11:02:10.016;3;no;no
1;Hudson SCHWARTZ;KCL MP Motorsport;3;Turn 1;17;11:24:40.464;3;no;no
2;Vivek KANTHAN;Campos Racing;1;Turn 1;7;11:04:03.136;2;no;no
2;Vivek KANTHAN;Campos Racing;2;Turn 1;8;11:05:47.537;2;no;no
4;Ean EYCKMANS;MP Motorsport;1;Turn 1;17;11:24:51.063;1;no;no
5;Miguel COSTA;Campos Racing;1;Turn 1;7;11:10:30.132;2;no;no
5;Miguel COSTA;Campos Racing;2;Turn 1;8;11:12:15.811;2;no;no
6;Sacha VAN'T PAD BOSCH;T-Code by Amtog;1;Turn 1;3;10:49:29.053;4;no;no
6;Sacha VAN'T PAD BOSCH;T-Code by Amtog;2;Turn 1;9;11:09:38.873;4;no;no
6;Sacha VAN'T PAD BOSCH;T-Code by Amtog;3;Turn 1;11;11:13:12.140;4;no;no
6;Sacha VAN'T PAD BOSCH;T-Code by Amtog;4;Turn 1;16;11:22:13.212;4;no;no
10;Niklas SCHAUFLER;KCL MP Motorsport;1;Turn 1;6;11:02:13.601;4;no;no
10;Niklas SCHAUFLER;KCL MP Motorsport;2;Turn 1;8;11:05:47.537;4;no;no
10;Niklas SCHAUFLER;KCL MP Motorsport;3;Turn 1;12;11:17:15.816;4;no;no
10;Niklas SCHAUFLER;KCL MP Motorsport;4;Turn 1;14;11:20:47.146;4;no;no
11;Reno FRANCOT;KCL MP Motorsport;1;Turn 1;3;10:50:29.934;3;no;no
11;Reno FRANCOT;KCL MP Motorsport;2;Turn 1;13;11:17:27.412;3;no;no
11;Reno FRANCOT;KCL MP Motorsport;3;Turn 1;16;11:22:44.540;3;no;no
17;Nacho TUÑON;Tecnicar by Amtog;1;Turn 1;4;10:51:00.127;4;no;no
17;Nacho TUÑON;Tecnicar by Amtog;2;Turn 5;4;10:51:27.161;4;no;no
17;Nacho TUÑON;Tecnicar by Amtog;3;Turn 1;11;11:11:15.805;4;no;no
17;Nacho TUÑON;Tecnicar by Amtog;4;Turn 1;14;11:16:42.348;4;no;no
