NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
1;1;1;7:07.576;0;;5:49.670;0;37.460;0;40.446;0;39.2;7:07.576;12:42:07.576;5:49.670;0:37.460;0:40.446;;Hudson SCHWARTZ;0:05:14.955;;;KCL MP Motorsport;;GF;349.670;37.460;40.446;
1;1;2;1:52.580;0;;34.380;0;35.800;0;42.400;0;148.8;9:00.156;12:44:00.156;0:34.380;0:35.800;0:42.400;232.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;34.380;35.800;42.400;
1;1;3;1:46.046;0;;33.747;0;33.863;0;38.436;2;158.0;10:46.202;12:45:46.202;0:33.747;0:33.863;0:38.436;232.8;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;33.747;33.863;38.436;
1;1;4;1:45.860;2;;33.674;0;33.633;2;38.553;0;158.2;12:32.062;12:47:32.062;0:33.674;0:33.633;0:38.553;232.8;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;33.674;33.633;38.553;
1;1;5;1:45.964;0;;33.654;2;33.790;0;38.520;0;158.1;14:18.026;12:49:18.026;0:33.654;0:33.790;0:38.520;234.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;33.654;33.790;38.520;
1;1;6;1:46.316;0;;33.726;0;33.937;0;38.653;0;157.6;16:04.342;12:51:04.342;0:33.726;0:33.937;0:38.653;234.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;33.726;33.937;38.653;
1;1;7;1:55.834;0;;39.636;0;35.382;0;40.816;0;144.6;18:00.176;12:53:00.176;0:39.636;0:35.382;0:40.816;233.8;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;39.636;35.382;40.816;
1;1;8;1:46.312;0;;33.827;0;33.859;0;38.626;0;157.6;19:46.488;12:54:46.488;0:33.827;0:33.859;0:38.626;233.8;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;33.827;33.859;38.626;
1;1;9;1:57.767;0;B;33.802;0;33.970;0;49.995;0;142.2;21:44.255;12:56:44.255;0:33.802;0:33.970;0:49.995;234.8;Hudson SCHWARTZ;;;;KCL MP Motorsport;;FF;33.802;33.970;49.995;
10;1;1;8:53.270;0;;7:29.690;0;41.747;0;41.833;0;31.4;8:53.270;12:43:53.270;7:29.690;0:41.747;0:41.833;;Niklas SCHAUFLER;0:06:47.846;R;;KCL MP Motorsport;;GF;449.690;41.747;41.833;
10;1;2;1:50.376;0;;36.792;0;35.378;0;38.206;0;151.8;10:43.646;12:45:43.646;0:36.792;0:35.378;0:38.206;226.9;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;36.792;35.378;38.206;
10;1;3;1:45.626;0;;33.555;2;33.760;0;38.311;0;158.6;12:29.272;12:47:29.272;0:33.555;0:33.760;0:38.311;231.8;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;33.555;33.760;38.311;
10;1;4;1:45.422;2;;33.565;0;33.676;2;38.181;2;158.9;14:14.694;12:49:14.694;0:33.565;0:33.676;0:38.181;233.8;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;33.565;33.676;38.181;
10;1;5;1:45.841;0;;33.604;0;33.827;0;38.410;0;158.3;16:00.535;12:51:00.535;0:33.604;0:33.827;0:38.410;234.3;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;33.604;33.827;38.410;
10;1;6;1:56.260;0;;35.234;0;37.078;0;43.948;0;144.1;17:56.795;12:52:56.795;0:35.234;0:37.078;0:43.948;235.8;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;35.234;37.078;43.948;
10;1;7;1:46.141;0;;33.619;0;34.065;0;38.457;0;157.8;19:42.936;12:54:42.936;0:33.619;0:34.065;0:38.457;233.8;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;33.619;34.065;38.457;
10;1;8;2:11.777;0;B;35.686;0;40.459;0;55.632;0;127.1;21:54.713;12:56:54.713;0:35.686;0:40.459;0:55.632;235.3;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;FF;35.686;40.459;55.632;
11;1;1;7:44.800;0;;6:28.317;0;36.353;0;40.130;0;36.0;7:44.800;12:42:44.800;6:28.317;0:36.353;0:40.130;;Reno FRANCOT;0:05:50.916;;;KCL MP Motorsport;;GF;388.317;36.353;40.130;
11;1;2;1:48.754;0;;35.801;0;34.455;0;38.498;0;154.0;9:33.554;12:44:33.554;0:35.801;0:34.455;0:38.498;227.8;Reno FRANCOT;;;;KCL MP Motorsport;;GF;35.801;34.455;38.498;
11;1;3;1:45.792;2;;33.736;0;33.818;0;38.238;2;158.3;11:19.346;12:46:19.346;0:33.736;0:33.818;0:38.238;230.3;Reno FRANCOT;;;;KCL MP Motorsport;;GF;33.736;33.818;38.238;
11;1;4;1:45.807;0;;33.714;0;33.785;0;38.308;0;158.3;13:05.153;12:48:05.153;0:33.714;0:33.785;0:38.308;230.3;Reno FRANCOT;;;;KCL MP Motorsport;;GF;33.714;33.785;38.308;
11;1;5;1:45.987;0;;33.669;2;33.737;2;38.581;0;158.0;14:51.140;12:49:51.140;0:33.669;0:33.737;0:38.581;232.8;Reno FRANCOT;;;;KCL MP Motorsport;;GF;33.669;33.737;38.581;
11;1;6;1:46.775;0;;33.792;0;33.920;0;39.063;0;156.9;16:37.915;12:51:37.915;0:33.792;0:33.920;0:39.063;233.3;Reno FRANCOT;;;;KCL MP Motorsport;;GF;33.792;33.920;39.063;
11;1;7;1:54.761;0;;37.180;0;38.527;0;39.054;0;146.0;18:32.676;12:53:32.676;0:37.180;0:38.527;0:39.054;231.3;Reno FRANCOT;;;;KCL MP Motorsport;;GF;37.180;38.527;39.054;
11;1;8;1:46.277;0;;33.758;0;33.826;0;38.693;0;157.6;20:18.953;12:55:18.953;0:33.758;0:33.826;0:38.693;233.8;Reno FRANCOT;;;;KCL MP Motorsport;;FF;33.758;33.826;38.693;
17;1;1;2:18.275;0;;1:02.168;0;36.495;0;39.612;0;121.1;2:18.275;12:37:18.275;1:02.168;0:36.495;0:39.612;;Nacho TUÑON;0:00:19.714;R;;Tecnicar by Amtog;;GF;62.168;36.495;39.612;
17;1;2;1:48.458;0;;35.171;0;34.521;0;38.766;0;154.4;4:06.733;12:39:06.733;0:35.171;0:34.521;0:38.766;224.5;Nacho TUÑON;;R;;Tecnicar by Amtog;;GF;35.171;34.521;38.766;
17;1;3;1:46.652;0;;34.040;0;34.136;0;38.476;2;157.1;5:53.385;12:40:53.385;0:34.040;0:34.136;0:38.476;232.3;Nacho TUÑON;;R;;Tecnicar by Amtog;;GF;34.040;34.136;38.476;
17;1;4;1:46.407;0;;33.913;0;33.943;2;38.551;0;157.4;7:39.792;12:42:39.792;0:33.913;0:33.943;0:38.551;235.3;Nacho TUÑON;;R;;Tecnicar by Amtog;;GF;33.913;33.943;38.551;
17;1;5;1:54.655;0;B;34.040;0;34.463;0;46.152;0;146.1;9:34.447;12:44:34.447;0:34.040;0:34.463;0:46.152;231.8;Nacho TUÑON;;R;;Tecnicar by Amtog;;GF;34.040;34.463;46.152;
17;1;6;3:16.731;0;;1:56.686;0;40.819;0;39.226;0;85.1;12:51.178;12:47:51.178;1:56.686;0:40.819;0:39.226;;Nacho TUÑON;0:01:26.047;R;;Tecnicar by Amtog;;GF;116.686;40.819;39.226;
17;1;7;1:47.269;0;;34.274;0;34.257;0;38.738;0;156.2;14:38.447;12:49:38.447;0:34.274;0:34.257;0:38.738;228.3;Nacho TUÑON;;R;;Tecnicar by Amtog;;GF;34.274;34.257;38.738;
17;1;8;1:46.855;0;;33.945;0;34.373;0;38.537;0;156.8;16:25.302;12:51:25.302;0:33.945;0:34.373;0:38.537;230.8;Nacho TUÑON;;R;;Tecnicar by Amtog;;GF;33.945;34.373;38.537;
17;1;9;1:46.376;0;;33.810;0;34.021;0;38.545;0;157.5;18:11.678;12:53:11.678;0:33.810;0:34.021;0:38.545;232.3;Nacho TUÑON;;R;;Tecnicar by Amtog;;GF;33.810;34.021;38.545;
17;1;10;1:46.351;2;;33.706;2;34.049;0;38.596;0;157.5;19:58.029;12:54:58.029;0:33.706;0:34.049;0:38.596;232.3;Nacho TUÑON;;R;;Tecnicar by Amtog;;GF;33.706;34.049;38.596;
17;1;11;2:00.759;0;B;33.995;0;33.978;0;52.786;0;138.7;21:58.788;12:56:58.788;0:33.995;0:33.978;0:52.786;233.8;Nacho TUÑON;;R;;Tecnicar by Amtog;;FF;33.995;33.978;52.786;
19;1;1;4:57.900;0;;3:42.588;0;35.985;0;39.327;0;56.2;4:57.900;12:39:57.900;3:42.588;0:35.985;0:39.327;;Matus RYBA;0:02:58.340;;;Griffin Core;;GF;222.588;35.985;39.327;
19;1;2;1:53.165;0;;35.580;0;35.183;0;42.402;0;148.0;6:51.065;12:41:51.065;0:35.580;0:35.183;0:42.402;213.0;Matus RYBA;;;;Griffin Core;;GF;35.580;35.183;42.402;
19;1;3;1:52.786;0;;34.726;0;35.480;0;42.580;0;148.5;8:43.851;12:43:43.851;0:34.726;0:35.480;0:42.580;237.4;Matus RYBA;;;;Griffin Core;;GF;34.726;35.480;42.580;
19;1;4;1:46.103;0;;33.798;0;33.743;2;38.562;0;157.9;10:29.954;12:45:29.954;0:33.798;0:33.743;0:38.562;235.3;Matus RYBA;;;;Griffin Core;;GF;33.798;33.743;38.562;
19;1;5;1:45.774;2;;33.596;2;33.753;0;38.425;2;158.4;12:15.728;12:47:15.728;0:33.596;0:33.753;0:38.425;231.8;Matus RYBA;;;;Griffin Core;;GF;33.596;33.753;38.425;
19;1;6;1:46.143;0;;33.728;0;33.854;0;38.561;0;157.8;14:01.871;12:49:01.871;0:33.728;0:33.854;0:38.561;232.8;Matus RYBA;;;;Griffin Core;;GF;33.728;33.854;38.561;
19;1;7;1:46.106;0;;33.756;0;33.829;0;38.521;0;157.9;15:47.977;12:50:47.977;0:33.756;0:33.829;0:38.521;234.3;Matus RYBA;;;;Griffin Core;;GF;33.756;33.829;38.521;
19;1;8;1:47.488;0;;34.005;0;34.698;0;38.785;0;155.8;17:35.465;12:52:35.465;0:34.005;0:34.698;0:38.785;235.3;Matus RYBA;;;;Griffin Core;;GF;34.005;34.698;38.785;
19;1;9;1:57.220;0;B;33.779;0;33.867;0;49.574;0;142.9;19:32.685;12:54:32.685;0:33.779;0:33.867;0:49.574;230.3;Matus RYBA;;;;Griffin Core;;GF;33.779;33.867;49.574;
2;1;1;4:54.184;0;;3:38.685;0;35.509;0;39.990;0;56.9;4:54.184;12:39:54.184;3:38.685;0:35.509;0:39.990;;Vivek KANTHAN;0:02:53.286;R;;Campos Racing;;GF;218.685;35.509;39.990;
2;1;2;1:52.414;0;;35.833;0;36.584;0;39.997;0;149.0;6:46.598;12:41:46.598;0:35.833;0:36.584;0:39.997;231.8;Vivek KANTHAN;;R;;Campos Racing;;GF;35.833;36.584;39.997;
2;1;3;1:50.709;0;;35.287;0;35.068;0;40.354;0;151.3;8:37.307;12:43:37.307;0:35.287;0:35.068;0:40.354;232.3;Vivek KANTHAN;;R;;Campos Racing;;GF;35.287;35.068;40.354;
2;1;4;1:45.975;0;;33.752;0;33.833;0;38.390;0;158.1;10:23.282;12:45:23.282;0:33.752;0:33.833;0:38.390;231.8;Vivek KANTHAN;;R;;Campos Racing;;GF;33.752;33.833;38.390;
2;1;5;1:46.000;0;;33.942;0;33.701;0;38.357;2;158.0;12:09.282;12:47:09.282;0:33.942;0:33.701;0:38.357;230.3;Vivek KANTHAN;;R;;Campos Racing;;GF;33.942;33.701;38.357;
2;1;6;1:45.899;0;;33.718;0;33.725;0;38.456;0;158.2;13:55.181;12:48:55.181;0:33.718;0:33.725;0:38.456;233.3;Vivek KANTHAN;;R;;Campos Racing;;GF;33.718;33.725;38.456;
2;1;7;1:45.819;0;;33.607;0;33.764;0;38.448;0;158.3;15:41.000;12:50:41.000;0:33.607;0:33.764;0:38.448;234.8;Vivek KANTHAN;;R;;Campos Racing;;GF;33.607;33.764;38.448;
2;1;8;1:45.870;0;;33.676;0;33.686;0;38.508;0;158.2;17:26.870;12:52:26.870;0:33.676;0:33.686;0:38.508;232.3;Vivek KANTHAN;;R;;Campos Racing;;GF;33.676;33.686;38.508;
2;1;9;1:45.742;2;;33.605;2;33.661;2;38.476;0;158.4;19:12.612;12:54:12.612;0:33.605;0:33.661;0:38.476;234.8;Vivek KANTHAN;;R;;Campos Racing;;GF;33.605;33.661;38.476;
2;1;10;2:15.258;0;B;42.304;0;39.948;0;53.006;0;123.8;21:27.870;12:56:27.870;0:42.304;0:39.948;0:53.006;200.0;Vivek KANTHAN;;R;;Campos Racing;;FF;42.304;39.948;53.006;
