Nr;Driver;Team;TL_Nr;Camera;Lap;Time;Total_Infractions;TL_After;TL_PREVIOUS
1;Hudson SCHWARTZ;KCL MP Motorsport;1;Turn 1;9;12:54:59.156;1;no;no
2;Vivek KANTHAN;Campos Racing;1;Turn 1;7;12:49:07.892;1;no;no
5;Miguel COSTA;Campos Racing;1;Turn 5;5;12:46:08.643;3;no;no
5;Miguel COSTA;Campos Racing;2;Turn 1;6;12:47:27.553;3;no;no
5;Miguel COSTA;Campos Racing;3;Turn 5;6;12:47:54.517;3;no;no
5;Miguel COSTA;Campos Racing;4;Turn 1;9;12:52:45.296;3;no;no
6;Sacha VAN'T PAD BOSCH;T-Code by Amtog;1;Turn 1;10;12:53:14.289;1;no;no
9;René LAMMERS;MP Motorsport;1;Turn 4;6;12:51:25.017;1;no;no
10;Niklas SCHAUFLER;KCL MP Motorsport;1;Turn 1;6;12:51:13.223;2;no;no
10;Niklas SCHAUFLER;KCL MP Motorsport;2;Turn 1;8;12:54:55.484;2;no;no
17;Nacho TUÑON;Tecnicar by Amtog;1;Turn 4;3;12:39:32.742;2;no;no
17;Nacho TUÑON;Tecnicar by Amtog;2;Turn 1;11;12:55:10.764;2;no;no
19;Matus RYBA;Griffin Core;1;Turn 1;6;12:47:27.553;2;no;no
19;Matus RYBA;Griffin Core;2;Turn 1;8;12:51:00.630;2;no;no
24;Kyuho LEE;Rodin Motorsport;1;Turn 1;4;12:43:51.703;3;no;no
24;Kyuho LEE;Rodin Motorsport;2;Turn 1;5;12:45:37.772;3;no;no
24;Kyuho LEE;Rodin Motorsport;3;Turn 1;9;12:52:45.296;3;no;no
25;Francisco MONARCA;Monlau Motorsport;1;Turn 1;6;12:47:23.225;3;no;no
25;Francisco MONARCA;Monlau Motorsport;2;Turn 1;7;12:49:09.484;3;no;no
25;Francisco MONARCA;Monlau Motorsport;3;Turn 4;8;12:51:09.196;3;no;no
27;Alexander JACOBY;Monlau Motorsport;1;Turn 1;6;12:47:29.099;2;no;no
27;Alexander JACOBY;Monlau Motorsport;2;Turn 1;7;12:49:16.094;2;no;no
32;Wiktor DOBRZANSKI;Tecnicar by Amtog;1;Turn 1;3;12:39:30.690;1;no;no
33;Christopher EL FEGHALI;Drivex;1;Turn 1;10;12:55:06.097;1;no;no
39;Santino PANETTA;TC Racing;1;Turn 1;8;12:50:31.642;3;no;no
39;Santino PANETTA;TC Racing;2;Turn 1;9;12:52:26.621;3;no;no
39;Santino PANETTA;TC Racing;3;Turn 1;10;12:54:15.359;3;no;no
41;Stepan SUSLOV;DXR;1;Turn 1;7;12:47:36.297;1;no;no
46;Nathan TYE;Rodin Motorsport;1;Turn 1;9;12:51:45.355;1;no;no
48;Gino TRAPPA;Drivex;1;Turn 1;3;12:39:06.081;3;no;no
48;Gino TRAPPA;Drivex;2;Turn 1;7;12:46:10.820;3;no;no
48;Gino TRAPPA;Drivex;3;Turn 5;7;12:46:37.244;3;no;no
48;Gino TRAPPA;Drivex;4;Turn 1;11;12:53:33.823;3;no;no
57;Kaiden HIGGINS;DXR;1;Turn 1;5;12:43:05.290;1;no;no
62;Andre RODRIGUEZ;Monlau Motorsport;1;Turn 1;8;12:51:08.771;1;no;no
70;Aleksandar BOGUNOVIC;GRS Team;1;Turn 1;8;12:48:38.427;1;no;no
71;Daniel DALLAKYAN;GRS Team;1;Turn 1;2;12:37:44.752;2;no;no
71;Daniel DALLAKYAN;GRS Team;2;Turn 1;5;12:43:06.151;2;no;no
77;Andrej PETROVIC;T-Code by Amtog;1;Turn 1;3;12:39:18.220;1;no;no
78;Alfio SPINA;TC Racing;1;Turn 1;2;12:39:47.959;3;no;no
78;Alfio SPINA;TC Racing;2;Turn 1;7;12:48:42.163;3;no;no
78;Alfio SPINA;TC Racing;3;Turn 1;9;12:52:28.425;3;no;no
91;Lorenzo CAMPOS;Monlau Motorsport;1;Turn 1;4;12:43:51.703;2;no;no
91;Lorenzo CAMPOS;Monlau Motorsport;2;Turn 1;5;12:45:37.772;2;no;no
99;Thomas STRAUVEN;Griffin Core;1;Turn 1;7;12:49:02.547;1;no;no
