TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1749369629;08/06/2025 8:00:29;23,6;20,9;38;1015;10,944;13;0;
1749369709;08/06/2025 8:01:49;23,6;20,9;38;1015;10,944;13;0;
1749369789;08/06/2025 8:03:09;23,6;21;38;1015;10,944;13;0;
1749369869;08/06/2025 8:04:29;23,53;21;41;1015;10,944;13;0;
1749369949;08/06/2025 8:05:49;23,53;21;41;1015;10,944;13;0;
1749370029;08/06/2025 8:07:09;23,53;21,1;41;1015;10,944;13;0;
1749370109;08/06/2025 8:08:29;23,53;21,2;41;1015;10,944;13;0;
1749370189;08/06/2025 8:09:49;23,53;21,3;41;1015;10,944;13;0;
1749370269;08/06/2025 8:11:09;23,53;21,3;41;1015;10,944;13;0;
1749370349;08/06/2025 8:12:29;23,53;21,3;41;1015;10,944;13;0;
1749370429;08/06/2025 8:13:49;23,53;21,4;41;1015;10,944;13;0;
1749370509;08/06/2025 8:15:09;23,53;21,4;41;1015;10,944;13;0;
1749370589;08/06/2025 8:16:29;23,53;21,5;41;1015;10,944;13;0;
1749370669;08/06/2025 8:17:49;23,53;21,5;41;1015;10,944;13;0;
1749370749;08/06/2025 8:19:09;23,53;21,5;41;1015;10,944;13;0;
