NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
1;1;1;1:52.875;0;;37.889;0;34.909;0;40.077;0;148.4;1:52.875;15:35:36.112;0:37.889;0:34.909;0:40.077;;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;37.889;34.909;40.077;
1;1;2;1:49.731;0;;35.510;0;34.652;0;39.569;0;152.7;3:42.606;15:37:25.843;0:35.510;0:34.652;0:39.569;238.4;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;35.510;34.652;39.569;
1;1;3;1:49.501;0;;34.500;0;35.431;0;39.570;0;153.0;5:32.107;15:39:15.344;0:34.500;0:35.431;0:39.570;233.8;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;34.500;35.431;39.570;
1;1;4;1:47.622;0;;34.122;0;34.230;0;39.270;2;155.6;7:19.729;15:41:02.966;0:34.122;0:34.230;0:39.270;233.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;34.122;34.230;39.270;
1;1;5;1:47.512;2;;34.076;0;34.109;2;39.327;0;155.8;9:07.241;15:42:50.478;0:34.076;0:34.109;0:39.327;231.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;34.076;34.109;39.327;
1;1;6;1:54.441;0;;33.984;2;35.403;0;45.054;0;146.4;11:01.682;15:44:44.919;0:33.984;0:35.403;0:45.054;231.8;Hudson SCHWARTZ;;;;KCL MP Motorsport;;SF;33.984;35.403;45.054;
1;1;7;2:42.518;0;;55.331;0;40.562;0;1:06.625;0;103.1;13:44.200;15:47:27.437;0:55.331;0:40.562;1:06.625;141.5;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;55.331;40.562;66.625;
1;1;8;1:50.232;0;;34.590;0;36.282;0;39.360;0;152.0;15:34.432;15:49:17.669;0:34.590;0:36.282;0:39.360;229.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;34.590;36.282;39.360;
1;1;9;2:00.240;0;;34.576;0;40.154;0;45.510;0;139.3;17:34.672;15:51:17.909;0:34.576;0:40.154;0:45.510;243.2;Hudson SCHWARTZ;;;;KCL MP Motorsport;;SF;34.576;40.154;45.510;
1;1;10;2:27.402;0;;54.340;0;42.295;0;50.767;0;113.6;20:02.074;15:53:45.311;0:54.340;0:42.295;0:50.767;183.4;Hudson SCHWARTZ;;;;KCL MP Motorsport;;SF;54.340;42.295;50.767;
