POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;99;Classified;14;28:12.064;-;-;11;1:45.660;158.5;Griffin Core;;;;Tatuus F4 T -421;;;;;;;;;;;;Thomas;STRAUVEN;;;BEL;;;;;;;
2;4;Classified;14;28:13.512;+1.448;+1.448;6;1:46.099;157.9;MP Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Ean;EYCKMANS;;;BEL;;;;;;;
3;33;Classified;14;28:14.197;+2.133;+0.685;6;1:46.011;158.0;Drivex;R;;;Tatuus F4 T -421;;;;;;;;;;;;Christopher;EL FEGHALI;;;LBN;FEG;;;;;;
4;10;Classified;14;28:16.530;+4.466;+2.333;6;1:46.202;157.7;KCL MP Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Niklas;SCHAUFLER;;;AUT;SCF;;;;;;
5;46;Classified;14;28:20.756;+8.692;+4.226;12;1:47.037;156.5;Rodin Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Nathan;TYE;;;GBR;;;;;;;
6;78;Classified;14;28:21.789;+9.725;+1.033;6;1:46.432;157.4;TC Racing;;;;Tatuus F4 T -421;;;;;;;;;;;;Alfio;SPINA;;;ITA;;;;;;;
7;77;Classified;14;28:23.242;+11.178;+1.453;6;1:46.475;157.3;T-Code by Amtog;;;;Tatuus F4 T -421;;;;;;;;;;;;Andrej;PETROVIC;;;SRB;;;;;;;
8;22;Classified;14;28:23.433;+11.369;+0.191;6;1:46.642;157.1;MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Juan;COTA;;;ESP;;;;;;;
9;48;Classified;14;28:23.563;+11.499;+0.130;11;1:46.955;156.6;Drivex;;;;Tatuus F4 T -421;;;;;;;;;;;;Gino;TRAPPA;;;ARG;;;;;;;
10;81;Classified;14;28:23.899;+11.835;+0.336;13;1:46.671;157.0;Campos Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Noah;MONTEIRO;;;PRT;MOT;;;;;;
11;9;Classified;14;28:25.536;+13.472;+1.637;6;1:46.175;157.8;MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;René;LAMMERS;;;NLD;;;;;;;
12;5;Classified;14;28:25.877;+13.813;+0.341;13;1:46.919;156.7;Campos Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Miguel;COSTA;;;BRA;;;;;;;
13;37;Classified;14;28:25.906;+13.842;+0.029;11;1:47.353;156.0;Drivex;;;;Tatuus F4 T -421;;;;;;;;;;;;Filippo;FIORENTINO;;;BRA;;;;;;;
14;25;Classified;14;28:26.087;+14.023;+0.181;13;1:47.499;155.8;Monlau Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Francisco;MONARCA;;;ARG;MOR;;;;;;
15;91;Classified;14;28:27.371;+15.307;+1.284;14;1:47.426;155.9;Monlau Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Lorenzo;CAMPOS;;;AGO;;;;;;;
16;6;Classified;14;28:28.155;+16.091;+0.784;12;1:47.878;155.3;T-Code by Amtog;R;;;Tatuus F4 T -421;;;;;;;;;;;;Sacha;VAN'T PAD BOSCH;;;NLD;;;;;;;
17;17;Classified;14;28:29.806;+17.742;+1.651;13;1:47.775;155.4;Tecnicar by Amtog;R;;;Tatuus F4 T -421;;;;;;;;;;;;Nacho;TUÑON;;;ESP;TUN;;;;;;
18;55;Classified;14;28:29.967;+17.903;+0.161;12;1:47.631;155.6;Rodin Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Emma;FELBERMAYR;;;AUT;;;;;;;
19;70;Classified;14;28:30.257;+18.193;+0.290;13;1:48.245;154.7;GRS Team;R;;;Tatuus F4 T -421;;;;;;;;;;;;Aleksandar;BOGUNOVIC;;;SVN;;;;;;;
20;11;Classified;14;28:30.500;+18.436;+0.243;6;1:47.433;155.9;KCL MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Reno;FRANCOT;;;NLD;;;;;;;
21;41;Classified;14;28:30.931;+18.867;+0.431;13;1:48.275;154.7;DXR;R;;;Tatuus F4 T -421;;;;;;;;;;;;Stepan;SUSLOV;;;SWE;;;;;;;
22;88;Classified;14;28:31.693;+19.629;+0.762;12;1:48.159;154.9;TC Racing;;;;Tatuus F4 T -421;;;;;;;;;;;;Santiago;BAZTARRICA;;;ARG;;;;;;;
23;71;Classified;14;28:32.129;+20.065;+0.436;13;1:48.211;154.8;GRS Team;R;;;Tatuus F4 T -421;;;;;;;;;;;;Daniel;DALLAKYAN;;;ARM;DALL;;;;;;
24;32;Classified;14;28:32.599;+20.535;+0.470;13;1:47.704;155.5;Tecnicar by Amtog;;;;Tatuus F4 T -421;;;;;;;;;;;;Wiktor;DOBRZANSKI;;;POL;;;;;;;
25;27;Classified;14;28:33.543;+21.479;+0.944;13;1:47.953;155.2;Monlau Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Alexander;JACOBY;;;BRA;;;;;;;
26;62;Classified;14;28:34.828;+22.764;+1.285;14;1:48.669;154.1;Monlau Motorsport;R;;;Tatuus F4 T- 421;;;;;;;;;;;;Andre;RODRIGUEZ;;;USA;;;;;;;
27;57;Classified;14;28:35.900;+23.836;+1.072;13;1:47.849;155.3;DXR;R;;;Tatuus F4 T -421;;;;;;;;;;;;Kaiden;HIGGINS;;;ARE;;;;;;;
28;1;Classified;14;28:36.094;+24.030;+0.194;6;1:47.114;156.4;KCL MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Hudson;SCHWARTZ;;;USA;SCW;;;;;;
29;23;Classified;14;28:36.605;+24.541;+0.511;6;1:46.139;157.8;Griffin Core;;;;Tatuus F4 T -421;;;;;;;;;;;;Jan;PRZYROWSKI;;;POL;;;;;;;
30;19;Classified;14;28:40.091;+28.027;+3.486;12;1:47.549;155.8;Griffin Core;;;;Tatuus F4 T -421;;;;;;;;;;;;Matus;RYBA;;;SVK;;;;;;;
31;24;Classified;14;28:40.594;+28.530;+0.503;6;1:47.671;155.6;Rodin Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Kyuho;LEE;;;KOR;;;;;;;
;39;Not classified;6;12:18.567;;;6;1:47.994;155.1;TC Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Santino;PANETTA;;;ARG;;;;;;;
;2;Not classified;1;1:52.240;;;0;;;Campos Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Vivek;KANTHAN;;;USA;;;;;;;
