Nr;Driver;Team;TL_Nr;Camera;Lap;Time;Total_Infractions;TL_After;TL_PREVIOUS
1;Hudson SCHWARTZ;KCL MP Motorsport;1;Turn 1;7;12:31:18.392;4;no;no
1;Hudson SCHWARTZ;KCL MP Motorsport;2;Turn 5;10;12:38:54.993;4;no;no
1;Hudson SCHWARTZ;KCL MP Motorsport;3;Turn 1;11;12:40:16.603;4;no;no
1;Hudson SCHWARTZ;KCL MP Motorsport;4;Turn 5;12;12:42:30.134;4;no;no
4;Ean EYCKMANS;MP Motorsport;1;Turn 1;7;12:31:13.996;2;no;no
4;Ean EYCKMANS;MP Motorsport;2;Turn 1;11;12:40:11.208;2;no;no
5;Miguel COSTA;Campos Racing;1;Turn 5;5;12:28:10.179;3;no;no
5;Miguel COSTA;Campos Racing;2;Turn 1;11;12:40:16.603;3;no;no
5;Miguel COSTA;Campos Racing;3;Turn 5;10;12:38:54.993;3;no;no
6;Sacha VAN'T PAD BOSCH;T-Code by Amtog;1;Turn 1;2;12:20:57.168;3;no;no
6;Sacha VAN'T PAD BOSCH;T-Code by Amtog;2;Turn 5;7;12:31:50.364;3;no;no
6;Sacha VAN'T PAD BOSCH;T-Code by Amtog;3;Turn 1;10;12:38:28.467;3;no;no
9;René LAMMERS;MP Motorsport;1;Turn 1;7;12:31:13.996;4;no;no
9;René LAMMERS;MP Motorsport;2;Turn 1;10;12:38:25.593;4;no;no
9;René LAMMERS;MP Motorsport;3;Turn 1;12;12:42:01.676;4;no;no
9;René LAMMERS;MP Motorsport;4;Turn 1;13;12:43:49.333;4;no;no
10;Niklas SCHAUFLER;KCL MP Motorsport;1;Turn 1;2;12:20:50.603;2;no;no
10;Niklas SCHAUFLER;KCL MP Motorsport;2;Turn 1;12;12:41:59.937;2;no;no
11;Reno FRANCOT;KCL MP Motorsport;1;Turn 5;5;12:28:10.179;4;no;no
11;Reno FRANCOT;KCL MP Motorsport;2;Turn 1;10;12:38:25.593;4;no;no
11;Reno FRANCOT;KCL MP Motorsport;3;Turn 5;12;12:42:30.134;4;no;no
11;Reno FRANCOT;KCL MP Motorsport;4;Turn 1;14;12:45:38.671;4;no;no
17;Nacho TUÑON;Tecnicar by Amtog;1;Turn 5;2;12:21:25.981;3;no;no
17;Nacho TUÑON;Tecnicar by Amtog;2;Turn 1;2;12:20:58.597;3;no;no
17;Nacho TUÑON;Tecnicar by Amtog;3;Turn 5;6;12:30:01.120;3;no;no
19;Matus RYBA;Griffin Core;1;Turn 4;2;12:21:09.941;2;no;no
19;Matus RYBA;Griffin Core;2;Turn 1;7;12:32:16.733;2;no;no
22;Juan COTA;MP Motorsport;1;Turn 1;10;12:38:25.593;2;no;no
22;Juan COTA;MP Motorsport;2;Turn 1;13;12:43:49.333;2;no;no
23;Jan PRZYROWSKI;Griffin Core;1;Turn 1;2;12:20:49.275;4;no;no
23;Jan PRZYROWSKI;Griffin Core;2;Turn 5;2;12:21:16.764;4;no;no
23;Jan PRZYROWSKI;Griffin Core;3;Turn 1;10;12:38:25.593;4;no;no
23;Jan PRZYROWSKI;Griffin Core;4;Turn 1;12;12:42:01.676;4;no;no
24;Kyuho LEE;Rodin Motorsport;1;Turn 1;10;12:38:31.403;2;no;no
24;Kyuho LEE;Rodin Motorsport;2;Turn 5;12;12:42:36.779;2;no;no
