NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
1;1;1;3:12.447;0;B;1:11.543;0;41.719;0;1:19.185;0;109.3;3:12.447;13:48:12.447;1:11.543;0:41.719;1:19.185;136.0;Hudson SCHWARTZ;0:00:35.510;;;KCL MP Motorsport;;GF;71.543;41.719;79.185;
1;1;2;3:30.179;0;;1:54.311;0;39.947;0;55.921;0;100.1;6:42.626;13:51:42.626;1:54.311;0:39.947;0:55.921;130.3;Hudson SCHWARTZ;0:01:13.681;;;KCL MP Motorsport;;GF;114.311;39.947;55.921;
1;1;3;2:09.079;0;;35.043;0;40.149;0;53.887;0;162.9;8:51.705;13:53:51.705;0:35.043;0:40.149;0:53.887;220.0;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;35.043;40.149;53.887;
1;1;4;2:10.216;0;B;35.001;0;39.804;0;55.411;0;161.5;11:01.921;13:56:01.921;0:35.001;0:39.804;0:55.411;220.0;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;35.001;39.804;55.411;
1;1;5;6:52.796;0;;5:07.295;0;44.088;0;1:01.413;0;50.9;17:54.717;14:02:54.717;5:07.295;0:44.088;1:01.413;134.5;Hudson SCHWARTZ;0:04:29.586;;;KCL MP Motorsport;;GF;307.295;44.088;61.413;
1;1;6;2:09.678;0;;35.804;0;39.694;0;54.180;0;162.2;20:04.395;14:05:04.395;0:35.804;0:39.694;0:54.180;218.6;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;35.804;39.694;54.180;
1;1;7;2:07.646;0;;34.845;0;39.608;0;53.193;0;164.8;22:12.041;14:07:12.041;0:34.845;0:39.608;0:53.193;220.4;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;34.845;39.608;53.193;
1;1;8;2:07.241;2;;34.651;2;39.378;0;53.212;0;165.3;24:19.282;14:09:19.282;0:34.651;0:39.378;0:53.212;220.0;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;34.651;39.378;53.212;
1;1;9;2:07.287;0;;34.732;0;39.465;0;53.090;2;165.2;26:26.569;14:11:26.569;0:34.732;0:39.465;0:53.090;219.5;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;34.732;39.465;53.090;
1;1;10;2:09.982;0;;34.811;0;39.330;2;55.841;0;161.8;28:36.551;14:13:36.551;0:34.811;0:39.330;0:55.841;221.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;34.811;39.330;55.841;
