Nr;Driver;Team;TL_Nr;Camera;Lap;Time;Total_Infractions;TL_After;TL_PREVIOUS
1;Hudson SCHWARTZ;KCL MP Motorsport;1;Turn 2;3;13:51:59.042;2;no;no
1;Hudson SCHWARTZ;KCL MP Motorsport;2;Turn 6;9;14:09:58.154;2;no;no
2;Vivek KANTHAN;Campos Racing;1;Turn 6;4;14:03:24.025;3;no;no
2;Vivek KANTHAN;Campos Racing;2;Turn 6;6;14:07:38.473;3;no;no
2;Vivek KANTHAN;Campos Racing;3;Turn 6;7;14:09:46.069;3;no;no
5;Miguel COSTA;Campos Racing;1;Turn 6;10;14:09:50.543;2;no;no
5;Miguel COSTA;Campos Racing;2;Turn 2;11;14:11:34.926;2;no;no
9;René LAMMERS;MP Motorsport;1;Turn 11;2;13:49:59.781;2;no;no
9;René LAMMERS;MP Motorsport;2;Turn 11;11;14:13:12.869;2;no;no
10;Niklas SCHAUFLER;KCL MP Motorsport;1;Turn 2;6;14:03:19.118;1;no;no
15;Ricardo BAPTISTA;DXR;1;Turn 11;3;13:54:34.582;2;no;no
15;Ricardo BAPTISTA;DXR;2;Turn 11;7;14:03:16.986;2;no;no
17;Nacho TUÑON;Tecnicar by Amtog;1;Turn 11;10;14:13:26.876;1;no;no
19;Matus RYBA;Griffin Core;1;Turn 11;3;14:00:17.920;3;no;no
19;Matus RYBA;Griffin Core;2;Turn 11;4;14:02:26.593;3;no;no
19;Matus RYBA;Griffin Core;3;Turn 2;5;14:03:19.118;3;no;no
22;Juan COTA;MP Motorsport;1;Turn 11;2;13:50:19.716;1;no;no
24;Kyuho LEE;Rodin Motorsport;1;Turn 11;5;14:02:28.326;1;no;no
25;Francisco MONARCA;Monlau Motorsport;1;Turn 11;3;13:53:18.453;2;no;no
25;Francisco MONARCA;Monlau Motorsport;2;Turn 6;10;14:10:49.069;2;no;no
32;Wiktor DOBRZANSKI;Tecnicar by Amtog;1;Turn 6;9;14:10:46.998;2;no;no
32;Wiktor DOBRZANSKI;Tecnicar by Amtog;2;Turn 11;10;14:13:47.588;2;no;no
33;Christopher EL FEGHALI;Drivex;1;Turn 11;2;13:48:50.926;2;no;no
33;Christopher EL FEGHALI;Drivex;2;Turn 6;10;14:09:04.800;2;no;no
37;Filippo FIORENTINO;Drivex;1;Turn 11;3;14:03:15.139;1;no;no
39;Santino PANETTA;TC Racing;1;Turn 11;7;14:05:53.450;2;no;no
39;Santino PANETTA;TC Racing;2;Turn 15;10;14:12:47.327;2;yes;no
48;Gino TRAPPA;Drivex;1;Turn 6;4;13:52:18.188;2;no;no
48;Gino TRAPPA;Drivex;2;Turn 6;11;14:09:51.879;2;no;no
57;Kaiden HIGGINS;DXR;1;Turn 11;1;13:58:55.208;3;no;no
57;Kaiden HIGGINS;DXR;2;Turn 11;3;14:03:16.986;3;no;no
57;Kaiden HIGGINS;DXR;3;Turn 6;7;14:10:59.411;3;no;no
70;Aleksandar BOGUNOVIC;GRS Team;1;Turn 11;12;14:15:23.671;1;no;no
71;Daniel DALLAKYAN;GRS Team;1;Turn 6;5;13:57:20.261;2;no;no
71;Daniel DALLAKYAN;GRS Team;2;Turn 6;10;14:08:08.938;2;no;no
77;Andrej PETROVIC;T-Code by Amtog;1;Turn 11;11;14:15:30.731;1;no;no
78;Alfio SPINA;TC Racing;1;Turn 11;3;13:51:08.458;3;no;no
78;Alfio SPINA;TC Racing;2;Turn 11;8;14:05:04.124;3;no;no
78;Alfio SPINA;TC Racing;3;Turn 11;12;14:13:32.387;3;no;no
88;Santiago BAZTARRICA;TC Racing;1;Turn 11;5;14:01:15.452;1;no;no
91;Lorenzo CAMPOS;Monlau Motorsport;1;Turn 11;2;13:52:05.716;4;no;no
91;Lorenzo CAMPOS;Monlau Motorsport;2;Turn 11;3;13:54:53.463;4;no;no
91;Lorenzo CAMPOS;Monlau Motorsport;3;Turn 6;7;14:04:54.880;4;no;no
91;Lorenzo CAMPOS;Monlau Motorsport;4;Turn 11;9;14:10:03.795;4;no;no
99;Thomas STRAUVEN;Griffin Core;1;Turn 11;8;14:09:29.388;1;no;no
