NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
1;1;1;8:09.154;0;;6:26.261;0;44.483;0;58.410;0;43.0;8:09.154;09:38:09.154;6:26.261;0:44.483;0:58.410;128.4;Hudson SCHWARTZ;0:05:46.451;;;KCL MP Motorsport;;GF;386.261;44.483;58.410;
1;1;2;2:12.516;0;;37.246;0;40.423;0;54.847;0;158.7;10:21.670;09:40:21.670;0:37.246;0:40.423;0:54.847;221.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;37.246;40.423;54.847;
1;1;3;2:07.026;0;;34.849;0;39.180;0;52.997;0;165.6;12:28.696;09:42:28.696;0:34.849;0:39.180;0:52.997;223.6;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;34.849;39.180;52.997;
1;1;4;2:06.677;0;;34.740;0;39.006;2;52.931;0;166.0;14:35.373;09:44:35.373;0:34.740;0:39.006;0:52.931;222.2;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;34.740;39.006;52.931;
1;1;5;2:06.582;0;;34.483;2;39.047;0;53.052;0;166.1;16:41.955;09:46:41.955;0:34.483;0:39.047;0:53.052;223.1;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;34.483;39.047;53.052;
1;1;6;2:06.427;2;;34.498;0;39.169;0;52.760;2;166.4;18:48.382;09:48:48.382;0:34.498;0:39.169;0:52.760;222.7;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;34.498;39.169;52.760;
1;1;7;2:06.691;0;;34.667;0;39.121;0;52.903;0;166.0;20:55.073;09:50:55.073;0:34.667;0:39.121;0:52.903;222.2;Hudson SCHWARTZ;;;;KCL MP Motorsport;;FF;34.667;39.121;52.903;
10;1;1;8:11.732;0;;6:30.443;0;42.635;0;58.654;0;42.8;8:11.732;09:38:11.732;6:30.443;0:42.635;0:58.654;122.7;Niklas SCHAUFLER;0:05:49.363;R;;KCL MP Motorsport;;GF;390.443;42.635;58.654;
10;1;2;2:11.981;0;;37.888;0;39.891;0;54.202;0;159.4;10:23.713;09:40:23.713;0:37.888;0:39.891;0:54.202;196.4;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;37.888;39.891;54.202;
10;1;3;2:06.769;0;;34.606;0;39.168;0;52.995;0;165.9;12:30.482;09:42:30.482;0:34.606;0:39.168;0:52.995;221.8;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;34.606;39.168;52.995;
