TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1750491048;21/06/2025 7:30:48;25,17;34,7;65;1018;6,192;192;0;
1750491168;21/06/2025 7:32:48;25,17;35;65;1018;6,192;192;0;
1750491288;21/06/2025 7:34:48;25,17;35,2;65;1018;6,192;192;0;
1750491408;21/06/2025 7:36:48;25,72;35,5;63;1018;6,192;192;0;
1750491528;21/06/2025 7:38:48;25,72;35,5;63;1018;6,192;192;0;
1750491648;21/06/2025 7:40:48;25,72;35,5;63;1018;6,192;192;0;
1750491768;21/06/2025 7:42:48;25,72;35,7;63;1018;6,192;192;0;
1750491888;21/06/2025 7:44:48;25,72;36;63;1018;6,192;192;0;
1750492008;21/06/2025 7:46:48;26,28;36,2;64;1018;6,192;192;0;
1750492128;21/06/2025 7:48:48;26,28;36,2;64;1018;6,192;192;0;
