Nr;Driver;Team;TL_Nr;Camera;Lap;Time;Total_Infractions;TL_After;TL_PREVIOUS
5;Miguel COSTA;Campos Racing;1;Turn 6;8;09:47:09.355;1;no;no
6;Sacha VAN'T PAD BOSCH;T-Code by Amtog;1;Turn 11;7;09:47:39.056;1;no;no
17;Nacho TUÑON;Tecnicar by Amtog;1;Turn 11;8;09:50:31.049;1;no;no
19;Matus RYBA;Griffin Core;1;Turn 11;4;09:41:19.050;2;no;no
19;Matus RYBA;Griffin Core;2;Turn 2;8;09:48:32.528;2;no;no
24;Kyuho LEE;Rodin Motorsport;1;Turn 11;4;09:43:50.990;1;no;no
25;Francisco MONARCA;Monlau Motorsport;1;Turn 10;4;09:43:43.833;2;no;no
25;Francisco MONARCA;Monlau Motorsport;2;Turn 7;7;09:49:36.990;2;no;no
32;Wiktor DOBRZANSKI;Tecnicar by Amtog;1;Turn 11;5;09:44:10.591;1;no;no
33;Christopher EL FEGHALI;Drivex;1;Turn 11;4;09:41:21.585;1;no;no
37;Filippo FIORENTINO;Drivex;1;Turn 6;3;09:38:16.076;1;no;no
41;Stepan SUSLOV;DXR;1;Turn 11;7;09:47:47.928;2;no;no
41;Stepan SUSLOV;DXR;2;Turn 11;8;09:49:56.851;2;no;no
48;Gino TRAPPA;Drivex;1;Turn 2;3;09:37:51.925;3;no;no
48;Gino TRAPPA;Drivex;2;Turn 11;6;09:45:36.255;3;no;no
48;Gino TRAPPA;Drivex;3;Turn 2;8;09:48:35.286;3;no;no
55;Emma FELBERMAYR;Rodin Motorsport;1;Turn 11;2;09:36:24.322;1;no;no
57;Kaiden HIGGINS;DXR;1;Turn 2;4;09:40:11.125;2;no;no
57;Kaiden HIGGINS;DXR;2;Turn 11;6;09:45:40.524;2;no;no
71;Daniel DALLAKYAN;GRS Team;1;Turn 2;6;09:47:07.748;1;no;no
77;Andrej PETROVIC;T-Code by Amtog;1;Turn 11;3;09:41:58.054;1;no;no
91;Lorenzo CAMPOS;Monlau Motorsport;1;Turn 11;3;09:39:36.512;3;no;no
91;Lorenzo CAMPOS;Monlau Motorsport;2;Turn 2;4;09:40:29.662;3;no;no
91;Lorenzo CAMPOS;Monlau Motorsport;3;Turn 6;5;09:43:01.246;3;no;no
