TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1750583091;22/06/2025 9:04:51;26,28;40,2;67;1019;8,964;155;0;
1750583211;22/06/2025 9:06:51;26,28;40,5;67;1019;8,964;155;0;
1750583331;22/06/2025 9:08:51;26,28;40,5;67;1019;8,964;155;0;
1750583451;22/06/2025 9:10:51;26,28;40,7;67;1019;8,964;155;0;
1750583571;22/06/2025 9:12:51;26,28;40,7;67;1019;8,964;155;0;
1750583691;22/06/2025 9:14:51;26,28;41;67;1019;8,964;155;0;
1750583811;22/06/2025 9:16:51;26,28;41;67;1019;8,964;155;0;
1750583931;22/06/2025 9:18:51;26,28;41,2;67;1019;8,964;155;0;
1750584051;22/06/2025 9:20:51;26,83;41,2;66;1019;8,964;155;0;
1750584171;22/06/2025 9:22:51;26,83;41,5;66;1019;8,964;155;0;
1750584291;22/06/2025 9:24:51;26,83;41,7;66;1019;8,964;155;0;
1750584411;22/06/2025 9:26:51;26,83;41,7;66;1019;8,964;155;0;
1750584531;22/06/2025 9:28:51;26,83;41,7;66;1019;8,964;155;0;
1750584651;22/06/2025 9:30:51;26,83;42;66;1019;8,964;155;0;
