NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
1;1;1;2:17.794;0;;42.766;0;40.356;0;54.672;0;152.6;2:17.794;13:36:08.628;0:42.766;0:40.356;0:54.672;;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;42.766;40.356;54.672;
1;1;2;2:09.469;0;;35.183;0;39.607;2;54.679;0;162.4;4:27.263;13:38:18.097;0:35.183;0:39.607;0:54.679;224.5;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;35.183;39.607;54.679;
1;1;3;2:11.927;0;;35.965;0;40.906;0;55.056;0;159.4;6:39.190;13:40:30.024;0:35.965;0:40.906;0:55.056;221.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;35.965;40.906;55.056;
1;1;4;2:08.800;0;;35.205;0;39.647;0;53.948;0;163.3;8:47.990;13:42:38.824;0:35.205;0:39.647;0:53.948;224.1;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;35.205;39.647;53.948;
1;1;5;2:11.319;0;;35.100;0;39.716;0;56.503;0;160.2;10:59.309;13:44:50.143;0:35.100;0:39.716;0:56.503;223.6;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;35.100;39.716;56.503;
1;1;6;2:08.532;0;;35.305;0;39.688;0;53.539;0;163.6;13:07.841;13:46:58.675;0:35.305;0:39.688;0:53.539;223.1;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;35.305;39.688;53.539;
1;1;7;2:09.086;0;;35.124;0;39.680;0;54.282;0;162.9;15:16.927;13:49:07.761;0:35.124;0:39.680;0:54.282;225.5;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;35.124;39.680;54.282;
1;1;8;2:13.094;0;;36.835;0;40.906;0;55.353;0;158.0;17:30.021;13:51:20.855;0:36.835;0:40.906;0:55.353;225.0;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;36.835;40.906;55.353;
1;1;9;2:08.618;0;;35.290;0;39.644;0;53.684;0;163.5;19:38.639;13:53:29.473;0:35.290;0:39.644;0:53.684;223.6;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;35.290;39.644;53.684;
1;1;10;2:08.796;0;;35.116;0;39.778;0;53.902;0;163.3;21:47.435;13:55:38.269;0:35.116;0:39.778;0:53.902;221.8;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;35.116;39.778;53.902;
1;1;11;2:09.121;0;;35.910;0;39.747;0;53.464;0;162.9;23:56.556;13:57:47.390;0:35.910;0:39.747;0:53.464;223.6;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;35.910;39.747;53.464;
1;1;12;2:08.307;0;;34.997;0;39.696;0;53.614;0;163.9;26:04.863;13:59:55.697;0:34.997;0:39.696;0:53.614;221.8;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;34.997;39.696;53.614;
1;1;13;2:08.336;0;;35.185;0;39.765;0;53.386;0;163.9;28:13.199;14:02:04.033;0:35.185;0:39.765;0:53.386;220.9;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;35.185;39.765;53.386;
1;1;14;2:08.358;0;;34.956;2;39.658;0;53.744;0;163.8;30:21.557;14:04:12.391;0:34.956;0:39.658;0:53.744;221.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;34.956;39.658;53.744;
1;1;15;2:08.270;2;;35.004;0;39.903;0;53.363;0;164.0;32:29.827;14:06:20.661;0:35.004;0:39.903;0:53.363;221.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;35.004;39.903;53.363;
1;1;16;2:08.295;0;;35.238;0;39.697;0;53.360;2;163.9;34:38.122;14:08:28.956;0:35.238;0:39.697;0:53.360;222.2;Hudson SCHWARTZ;;;;KCL MP Motorsport;;FF;35.238;39.697;53.360;
10;1;1;2:16.198;0;;42.031;0;40.456;0;53.711;0;154.4;2:16.198;13:36:07.032;0:42.031;0:40.456;0:53.711;;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;42.031;40.456;53.711;
10;1;2;2:09.445;0;;35.493;0;39.985;0;53.967;0;162.5;4:25.643;13:38:16.477;0:35.493;0:39.985;0:53.967;225.9;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;35.493;39.985;53.967;
10;1;3;2:08.318;0;;35.039;0;39.677;0;53.602;2;163.9;6:33.961;13:40:24.795;0:35.039;0:39.677;0:53.602;219.5;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;35.039;39.677;53.602;
10;1;4;2:08.418;0;;35.097;0;39.702;0;53.619;0;163.8;8:42.379;13:42:33.213;0:35.097;0:39.702;0:53.619;221.3;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;35.097;39.702;53.619;
10;1;5;2:08.314;2;;35.019;2;39.569;2;53.726;0;163.9;10:50.693;13:44:41.527;0:35.019;0:39.569;0:53.726;221.8;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;35.019;39.569;53.726;
10;1;6;2:08.695;0;;35.166;0;39.861;0;53.668;0;163.4;12:59.388;13:46:50.222;0:35.166;0:39.861;0:53.668;221.8;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;35.166;39.861;53.668;
10;1;7;2:08.462;0;;35.093;0;39.634;0;53.735;0;163.7;15:07.850;13:48:58.684;0:35.093;0:39.634;0:53.735;224.1;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;35.093;39.634;53.735;
10;1;8;2:08.460;0;;35.124;0;39.569;0;53.767;0;163.7;17:16.310;13:51:07.144;0:35.124;0:39.569;0:53.767;224.1;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;35.124;39.569;53.767;
10;1;9;2:08.637;0;;35.245;0;39.640;0;53.752;0;163.5;19:24.947;13:53:15.781;0:35.245;0:39.640;0:53.752;225.0;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;35.245;39.640;53.752;
10;1;10;2:08.952;0;;35.138;0;39.762;0;54.052;0;163.1;21:33.899;13:55:24.733;0:35.138;0:39.762;0:54.052;222.2;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;35.138;39.762;54.052;
10;1;11;2:09.500;0;;35.812;0;39.780;0;53.908;0;162.4;23:43.399;13:57:34.233;0:35.812;0:39.780;0:53.908;220.9;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;35.812;39.780;53.908;
10;1;12;2:08.795;0;;35.344;0;39.647;0;53.804;0;163.3;25:52.194;13:59:43.028;0:35.344;0:39.647;0:53.804;220.9;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;35.344;39.647;53.804;
10;1;13;2:08.852;0;;35.310;0;39.696;0;53.846;0;163.2;28:01.046;14:01:51.880;0:35.310;0:39.696;0:53.846;221.3;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;35.310;39.696;53.846;
10;1;14;2:10.485;0;;36.018;0;40.216;0;54.251;0;161.2;30:11.531;14:04:02.365;0:36.018;0:40.216;0:54.251;218.6;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;36.018;40.216;54.251;
10;1;15;2:09.065;0;;35.349;0;39.887;0;53.829;0;163.0;32:20.596;14:06:11.430;0:35.349;0:39.887;0:53.829;220.9;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;35.349;39.887;53.829;
10;1;16;2:10.497;0;;36.546;0;40.036;0;53.915;0;161.2;34:31.093;14:08:21.927;0:36.546;0:40.036;0:53.915;220.9;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;FF;36.546;40.036;53.915;
11;1;1;2:14.444;0;;40.236;0;39.867;0;54.341;0;156.4;2:14.444;13:36:05.278;0:40.236;0:39.867;0:54.341;;Reno FRANCOT;;;;KCL MP Motorsport;;GF;40.236;39.867;54.341;
11;1;2;2:08.796;0;;35.269;0;39.676;0;53.851;0;163.3;4:23.240;13:38:14.074;0:35.269;0:39.676;0:53.851;221.8;Reno FRANCOT;;;;KCL MP Motorsport;;GF;35.269;39.676;53.851;
11;1;3;2:08.534;0;;35.150;0;39.671;0;53.713;0;163.6;6:31.774;13:40:22.608;0:35.150;0:39.671;0:53.713;223.6;Reno FRANCOT;;;;KCL MP Motorsport;;GF;35.150;39.671;53.713;
11;1;4;2:08.742;0;;35.105;0;39.670;0;53.967;0;163.4;8:40.516;13:42:31.350;0:35.105;0:39.670;0:53.967;220.9;Reno FRANCOT;;;;KCL MP Motorsport;;GF;35.105;39.670;53.967;
11;1;5;2:08.998;0;;35.786;0;39.573;2;53.639;0;163.0;10:49.514;13:44:40.348;0:35.786;0:39.573;0:53.639;222.7;Reno FRANCOT;;;;KCL MP Motorsport;;GF;35.786;39.573;53.639;
11;1;6;2:08.972;0;;35.236;0;40.042;0;53.694;0;163.1;12:58.486;13:46:49.320;0:35.236;0:40.042;0:53.694;219.1;Reno FRANCOT;;;;KCL MP Motorsport;;GF;35.236;40.042;53.694;
11;1;7;2:08.543;0;;35.011;0;39.868;0;53.664;0;163.6;15:07.029;13:48:57.863;0:35.011;0:39.868;0:53.664;219.5;Reno FRANCOT;;;;KCL MP Motorsport;;GF;35.011;39.868;53.664;
11;1;8;2:08.456;2;;34.985;2;39.830;0;53.641;0;163.7;17:15.485;13:51:06.319;0:34.985;0:39.830;0:53.641;220.9;Reno FRANCOT;;;;KCL MP Motorsport;;GF;34.985;39.830;53.641;
11;1;9;2:08.509;0;;35.077;0;39.831;0;53.601;0;163.7;19:23.994;13:53:14.828;0:35.077;0:39.831;0:53.601;220.0;Reno FRANCOT;;;;KCL MP Motorsport;;GF;35.077;39.831;53.601;
11;1;10;2:08.618;0;;35.094;0;39.865;0;53.659;0;163.5;21:32.612;13:55:23.446;0:35.094;0:39.865;0:53.659;220.4;Reno FRANCOT;;;;KCL MP Motorsport;;GF;35.094;39.865;53.659;
11;1;11;2:08.578;0;;35.138;0;39.786;0;53.654;0;163.6;23:41.190;13:57:32.024;0:35.138;0:39.786;0:53.654;219.5;Reno FRANCOT;;;;KCL MP Motorsport;;GF;35.138;39.786;53.654;
11;1;12;2:08.505;0;;35.053;0;39.750;0;53.702;0;163.7;25:49.695;13:59:40.529;0:35.053;0:39.750;0:53.702;220.4;Reno FRANCOT;;;;KCL MP Motorsport;;GF;35.053;39.750;53.702;
11;1;13;2:08.846;0;;35.073;0;39.902;0;53.871;0;163.2;27:58.541;14:01:49.375;0:35.073;0:39.902;0:53.871;220.4;Reno FRANCOT;;;;KCL MP Motorsport;;GF;35.073;39.902;53.871;
11;1;14;2:08.724;0;;35.244;0;39.881;0;53.599;2;163.4;30:07.265;14:03:58.099;0:35.244;0:39.881;0:53.599;219.5;Reno FRANCOT;;;;KCL MP Motorsport;;GF;35.244;39.881;53.599;
