Nr;Driver;Team;TL_Nr;Camera;Lap;Time;Total_Infractions;TL_After;TL_PREVIOUS
1;Hudson SCHWARTZ;KCL MP Motorsport;1;Turn 10;3;13:39:45.039;1;no;no
2;Vivek KANTHAN;Campos Racing;1;Turn 6;2;13:36:45.188;3;no;no
2;Vivek KANTHAN;Campos Racing;2;Turn 10;3;13:39:45.039;3;no;no
2;Vivek KANTHAN;Campos Racing;3;Turn 11;4;13:42:01.239;3;no;no
4;Ean EYCKMANS;MP Motorsport;1;Turn 10;2;13:37:29.974;1;no;no
5;Miguel COSTA;Campos Racing;1;Turn 6;16;14:07:37.006;1;no;no
6;Sacha VAN'T PAD BOSCH;T-Code by Amtog;1;Turn 15;2;13:38:14.583;2;yes;no
6;Sacha VAN'T PAD BOSCH;T-Code by Amtog;2;Turn 6;7;13:47:43.707;2;no;no
9;René LAMMERS;MP Motorsport;1;Turn 11;7;13:48:46.764;1;no;no
10;Niklas SCHAUFLER;KCL MP Motorsport;1;Turn 2;16;14:06:27.930;1;no;no
11;Reno FRANCOT;KCL MP Motorsport;1;Turn 15;4;13:42:23.528;1;yes;no
15;Ricardo BAPTISTA;DXR;1;Turn 11;15;14:06:03.504;1;no;no
19;Matus RYBA;Griffin Core;1;Turn 6;4;13:41:09.518;4;no;no
19;Matus RYBA;Griffin Core;2;Turn 2;6;13:45:05.192;4;no;no
19;Matus RYBA;Griffin Core;3;Turn 15;7;13:48:59.985;4;yes;no
19;Matus RYBA;Griffin Core;4;Turn 2;15;14:04:31.253;4;no;no
22;Juan COTA;MP Motorsport;1;Turn 15;5;13:44:35.195;1;yes;no
23;Jan PRZYROWSKI;Griffin Core;1;Turn 2;3;13:38:30.581;1;no;no
25;Francisco MONARCA;Monlau Motorsport;1;Turn 11;3;13:39:55.508;4;no;no
25;Francisco MONARCA;Monlau Motorsport;2;Turn 7;4;13:41:18.095;4;no;no
25;Francisco MONARCA;Monlau Motorsport;3;Turn 11;8;13:50:45.233;4;no;no
25;Francisco MONARCA;Monlau Motorsport;4;Turn 11;10;13:55:08.443;4;no;no
27;Alexander JACOBY;Monlau Motorsport;1;Turn 6;4;13:41:13.252;2;no;no
27;Alexander JACOBY;Monlau Motorsport;2;Turn 6;16;14:07:09.145;2;no;no
32;Wiktor DOBRZANSKI;Tecnicar by Amtog;1;Turn 15;2;13:38:17.586;2;yes;no
32;Wiktor DOBRZANSKI;Tecnicar by Amtog;2;Turn 10;7;13:48:35.040;2;no;no
33;Christopher EL FEGHALI;Drivex;1;Turn 11;2;13:37:41.637;4;no;no
33;Christopher EL FEGHALI;Drivex;2;Turn 10;11;13:57:17.254;4;no;no
33;Christopher EL FEGHALI;Drivex;3;Turn 6;13;14:00:49.730;4;no;no
33;Christopher EL FEGHALI;Drivex;4;Turn 11;16;14:08:09.327;4;no;no
37;Filippo FIORENTINO;Drivex;1;Turn 7;11;13:56:25.966;1;no;no
39;Santino PANETTA;TC Racing;1;Turn 10;3;13:39:45.039;2;no;no
39;Santino PANETTA;TC Racing;2;Turn 2;6;13:45:07.049;2;no;no
41;Stepan SUSLOV;DXR;1;Turn 11;6;13:47:13.776;2;no;no
41;Stepan SUSLOV;DXR;2;Turn 11;8;13:51:32.373;2;no;no
46;Nathan TYE;Rodin Motorsport;1;Turn 7;2;13:36:51.826;1;no;no
48;Gino TRAPPA;Drivex;1;Turn 6;7;13:47:35.732;3;no;no
48;Gino TRAPPA;Drivex;2;Turn 10;7;13:48:21.908;3;no;no
48;Gino TRAPPA;Drivex;3;Turn 7;8;13:49:53.762;3;no;no
55;Emma FELBERMAYR;Rodin Motorsport;1;Turn 6;11;13:56:26.070;2;no;no
55;Emma FELBERMAYR;Rodin Motorsport;2;Turn 15;12;13:59:57.645;2;yes;no
57;Kaiden HIGGINS;DXR;1;Turn 2;3;13:38:39.309;5;no;no
57;Kaiden HIGGINS;DXR;2;Turn 7;4;13:41:18.095;5;no;no
57;Kaiden HIGGINS;DXR;3;Turn 11;6;13:46:25.638;5;no;no
57;Kaiden HIGGINS;DXR;4;Turn 6;7;13:47:42.569;5;no;no
57;Kaiden HIGGINS;DXR;5;Turn 15;14;14:04:14.569;5;yes;no
71;Daniel DALLAKYAN;GRS Team;1;Turn 15;10;13:55:42.460;1;yes;no
77;Andrej PETROVIC;T-Code by Amtog;1;Turn 11;12;14:00:10.979;1;no;no
78;Alfio SPINA;TC Racing;1;Turn 10;7;13:48:21.908;1;no;no
81;Noah MONTEIRO;Campos Racing;1;Turn 2;14;14:02:06.113;1;no;no
88;Santiago BAZTARRICA;TC Racing;1;Turn 15;4;13:42:38.713;3;yes;no
88;Santiago BAZTARRICA;TC Racing;2;Turn 10;8;13:50:44.506;3;no;no
88;Santiago BAZTARRICA;TC Racing;3;Turn 11;16;14:08:10.177;3;no;no
91;Lorenzo CAMPOS;Monlau Motorsport;1;Turn 6;3;13:39:01.659;6;no;no
91;Lorenzo CAMPOS;Monlau Motorsport;2;Turn 6;4;13:41:11.181;6;no;no
91;Lorenzo CAMPOS;Monlau Motorsport;3;Turn 10;4;13:41:57.581;6;no;no
91;Lorenzo CAMPOS;Monlau Motorsport;4;Turn 11;4;13:42:04.836;6;no;no
91;Lorenzo CAMPOS;Monlau Motorsport;5;Turn 10;5;13:44:09.963;6;no;no
91;Lorenzo CAMPOS;Monlau Motorsport;6;Turn 6;10;13:55:03.386;6;no;no
