NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
1;1;1;3:27.935;0;;2:17.047;0;32.557;0;38.331;0;76.6;3:27.935;11:23:27.935;2:17.047;0:32.557;0:38.331;178.5;Hudson SCHWARTZ;0:01:29.810;;;KCL MP Motorsport;;GF;137.047;32.557;38.331;
1;1;2;1:48.211;0;;42.205;0;29.936;0;36.070;0;147.1;5:16.146;11:25:16.146;0:42.205;0:29.936;0:36.070;201.9;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;42.205;29.936;36.070;
1;1;3;1:45.389;0;;40.702;0;29.247;0;35.440;0;151.1;7:01.535;11:27:01.535;0:40.702;0:29.247;0:35.440;201.5;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;40.702;29.247;35.440;
1;1;4;1:45.131;0;;40.485;0;29.239;0;35.407;0;151.5;8:46.666;11:28:46.666;0:40.485;0:29.239;0:35.407;200.4;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;40.485;29.239;35.407;
1;1;5;1:45.037;0;;40.450;0;29.275;0;35.312;0;151.6;10:31.703;11:30:31.703;0:40.450;0:29.275;0:35.312;200.0;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;40.450;29.275;35.312;
1;1;6;1:45.330;0;;40.418;0;29.270;0;35.642;0;151.2;12:17.033;11:32:17.033;0:40.418;0:29.270;0:35.642;201.1;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;40.418;29.270;35.642;
1;1;7;1:44.990;0;;40.474;0;29.203;0;35.313;0;151.7;14:02.023;11:34:02.023;0:40.474;0:29.203;0:35.313;200.7;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;40.474;29.203;35.313;
1;1;8;11:39.822;0;B;40.591;0;29.327;0;10:29.904;0;22.8;25:41.845;11:45:41.845;0:40.591;0:29.327;10:29.904;199.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;40.591;29.327;629.904;
1;1;9;2:04.305;0;;52.486;0;33.873;0;37.946;0;128.1;27:46.150;11:47:46.150;0:52.486;0:33.873;0:37.946;166.7;Hudson SCHWARTZ;0:10:02.403;;;KCL MP Motorsport;;GF;52.486;33.873;37.946;
1;1;10;1:52.035;0;;43.537;0;31.925;0;36.573;0;142.1;29:38.185;11:49:38.185;0:43.537;0:31.925;0:36.573;200.4;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;43.537;31.925;36.573;
1;1;11;1:45.031;0;;40.521;0;29.182;0;35.328;0;151.6;31:23.216;11:51:23.216;0:40.521;0:29.182;0:35.328;201.9;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;40.521;29.182;35.328;
1;1;12;1:44.560;2;;40.393;0;28.947;2;35.220;2;152.3;33:07.776;11:53:07.776;0:40.393;0:28.947;0:35.220;201.5;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;40.393;28.947;35.220;
1;1;13;1:48.674;0;;40.339;0;29.073;0;39.262;0;146.5;34:56.450;11:54:56.450;0:40.339;0:29.073;0:39.262;200.4;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;40.339;29.073;39.262;
1;1;14;1:44.597;0;;40.355;0;29.018;0;35.224;0;152.2;36:41.047;11:56:41.047;0:40.355;0:29.018;0:35.224;201.9;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;40.355;29.018;35.224;
1;1;15;1:44.920;0;;40.408;0;29.021;0;35.491;0;151.8;38:25.967;11:58:25.967;0:40.408;0:29.021;0:35.491;201.9;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;40.408;29.021;35.491;
1;1;16;1:44.644;0;;40.240;2;29.077;0;35.327;0;152.2;40:10.611;12:00:10.611;0:40.240;0:29.077;0:35.327;201.9;Hudson SCHWARTZ;;;;KCL MP Motorsport;;FF;40.240;29.077;35.327;
10;1;1;3:34.656;0;;2:25.005;0;32.404;0;37.247;0;74.2;3:34.656;11:23:34.656;2:25.005;0:32.404;0:37.247;172.8;Niklas SCHAUFLER;0:01:38.316;R;;KCL MP Motorsport;;GF;145.005;32.404;37.247;
10;1;2;2:30.845;0;B;42.857;0;30.478;0;1:17.510;0;105.6;6:05.501;11:26:05.501;0:42.857;0:30.478;1:17.510;192.5;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;42.857;30.478;77.510;
10;1;3;2:20.087;0;;1:13.055;0;31.050;0;35.982;0;113.7;8:25.588;11:28:25.588;1:13.055;0:31.050;0:35.982;169.0;Niklas SCHAUFLER;0:00:55.172;R;;KCL MP Motorsport;;GF;73.055;31.050;35.982;
10;1;4;1:44.683;0;;40.393;0;29.047;0;35.243;0;152.1;10:10.271;11:30:10.271;0:40.393;0:29.047;0:35.243;202.6;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;40.393;29.047;35.243;
10;1;5;1:44.776;0;;40.323;0;29.308;0;35.145;0;152.0;11:55.047;11:31:55.047;0:40.323;0:29.308;0:35.145;205.7;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;40.323;29.308;35.145;
10;1;6;1:44.777;0;;40.324;0;29.126;0;35.327;0;152.0;13:39.824;11:33:39.824;0:40.324;0:29.126;0:35.327;201.5;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;40.324;29.126;35.327;
10;1;7;1:45.017;0;;40.581;0;29.145;0;35.291;0;151.6;15:24.841;11:35:24.841;0:40.581;0:29.145;0:35.291;204.5;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;40.581;29.145;35.291;
10;1;8;1:44.954;0;;40.356;0;29.210;0;35.388;0;151.7;17:09.795;11:37:09.795;0:40.356;0:29.210;0:35.388;202.2;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;40.356;29.210;35.388;
10;1;9;8:29.977;0;B;40.584;0;29.227;0;7:20.166;0;31.2;25:39.772;11:45:39.772;0:40.584;0:29.227;7:20.166;201.5;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;40.584;29.227;440.166;
10;1;10;2:03.807;0;;52.596;0;33.140;0;38.071;0;128.6;27:43.579;11:47:43.579;0:52.596;0:33.140;0:38.071;166.7;Niklas SCHAUFLER;0:06:52.425;R;;KCL MP Motorsport;;GF;52.596;33.140;38.071;
10;1;11;1:49.778;0;;43.879;0;30.352;0;35.547;0;145.0;29:33.357;11:49:33.357;0:43.879;0:30.352;0:35.547;187.8;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;43.879;30.352;35.547;
10;1;12;1:44.138;0;;40.397;0;28.840;0;34.901;2;152.9;31:17.495;11:51:17.495;0:40.397;0:28.840;0:34.901;201.5;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;40.397;28.840;34.901;
10;1;13;1:44.037;0;;40.172;0;28.805;2;35.060;0;153.0;33:01.532;11:53:01.532;0:40.172;0:28.805;0:35.060;201.1;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;40.172;28.805;35.060;
10;1;14;1:44.092;0;;40.134;0;28.912;0;35.046;0;153.0;34:45.624;11:54:45.624;0:40.134;0:28.912;0:35.046;200.7;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;40.134;28.912;35.046;
10;1;15;1:43.940;2;;40.032;2;28.863;0;35.045;0;153.2;36:29.564;11:56:29.564;0:40.032;0:28.863;0:35.045;202.2;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;40.032;28.863;35.045;
10;1;16;1:44.192;0;;40.172;0;28.920;0;35.100;0;152.8;38:13.756;11:58:13.756;0:40.172;0:28.920;0:35.100;203.4;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;40.172;28.920;35.100;
10;1;17;1:44.289;0;;40.154;0;28.961;0;35.174;0;152.7;39:58.045;11:59:58.045;0:40.154;0:28.961;0:35.174;201.1;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;40.154;28.961;35.174;
11;1;1;3:29.712;0;;2:21.562;0;30.831;0;37.319;0;75.9;3:29.712;11:23:29.712;2:21.562;0:30.831;0:37.319;195.3;Reno FRANCOT;0:01:33.438;;;KCL MP Motorsport;;GF;141.562;30.831;37.319;
11;1;2;1:50.780;0;;41.397;0;30.090;0;39.293;0;143.7;5:20.492;11:25:20.492;0:41.397;0:30.090;0:39.293;203.0;Reno FRANCOT;;;;KCL MP Motorsport;;GF;41.397;30.090;39.293;
11;1;3;1:44.929;0;;40.385;0;29.174;0;35.370;0;151.7;7:05.421;11:27:05.421;0:40.385;0:29.174;0:35.370;201.9;Reno FRANCOT;;;;KCL MP Motorsport;;GF;40.385;29.174;35.370;
11;1;4;1:44.778;0;;40.360;0;29.210;0;35.208;0;152.0;8:50.199;11:28:50.199;0:40.360;0:29.210;0:35.208;201.1;Reno FRANCOT;;;;KCL MP Motorsport;;GF;40.360;29.210;35.208;
11;1;5;1:44.877;0;;40.324;0;29.217;0;35.336;0;151.8;10:35.076;11:30:35.076;0:40.324;0:29.217;0:35.336;202.2;Reno FRANCOT;;;;KCL MP Motorsport;;GF;40.324;29.217;35.336;
11;1;6;1:44.349;0;;40.204;0;29.069;0;35.076;2;152.6;12:19.425;11:32:19.425;0:40.204;0:29.069;0:35.076;201.9;Reno FRANCOT;;;;KCL MP Motorsport;;GF;40.204;29.069;35.076;
11;1;7;1:44.597;0;;40.193;0;29.118;0;35.286;0;152.2;14:04.022;11:34:04.022;0:40.193;0:29.118;0:35.286;202.6;Reno FRANCOT;;;;KCL MP Motorsport;;GF;40.193;29.118;35.286;
