TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1758360006;20/09/2025 9:20:06;27,07;28,5;52;1019;1,836;0;0;
1758360126;20/09/2025 9:22:06;27,07;28,7;52;1019;1,836;0;0;
1758360246;20/09/2025 9:24:06;27,02;28,8;52;1019;1,836;0;0;
1758360366;20/09/2025 9:26:06;27,02;29;52;1019;1,836;0;0;
1758360486;20/09/2025 9:28:06;27,02;29,2;52;1019;1,836;0;0;
1758360606;20/09/2025 9:30:06;27,27;29,3;51;1019;3,204;293;0;
1758360726;20/09/2025 9:32:06;27,27;29,4;51;1019;3,204;293;0;
1758360846;20/09/2025 9:34:06;27,27;29,6;51;1019;3,204;293;0;
1758360966;20/09/2025 9:36:06;27,27;29,7;51;1019;1,836;0;0;
1758361086;20/09/2025 9:38:06;27,27;29,8;51;1019;1,836;0;0;
1758361206;20/09/2025 9:40:06;27,27;30;51;1019;1,836;0;0;
1758361326;20/09/2025 9:42:06;27,86;30,1;48;1019;1,836;0;0;
1758361446;20/09/2025 9:44:06;27,86;30,3;48;1019;1,836;0;0;
1758361566;20/09/2025 9:46:06;27,86;30,4;48;1019;1,836;0;0;
1758361686;20/09/2025 9:48:06;28,1;30,5;47;1019;3,204;338;0;
1758361806;20/09/2025 9:50:06;28,1;30,6;47;1019;3,204;338;0;
1758361926;20/09/2025 9:52:06;28,1;30,8;47;1019;3,204;338;0;
1758362046;20/09/2025 9:54:06;28,12;31;47;1019;3,204;338;0;
1758362166;20/09/2025 9:56:06;28,12;31;47;1019;3,204;338;0;
1758362286;20/09/2025 9:58:06;28,12;31,3;47;1019;3,204;338;0;
