Nr;Driver;Team;TL_Nr;Camera;Lap;Time;Total_Infractions;TL_After;TL_PREVIOUS
1;Hudson SCHWARTZ;KCL MP Motorsport;1;Turn 5;3;11:25:44.182;1;no;no
2;Vivek KANTHAN;Campos Racing;1;Turn 10;16;11:57:24.019;1;no;no
4;Ean EYCKMANS;MP Motorsport;1;Turn 5;13;11:50:58.991;2;no;no
4;Ean EYCKMANS;MP Motorsport;2;Turn 5;17;11:57:55.775;2;no;no
6;Lewis WHERRELL;T-Code by Amtog;1;Turn 5;7;11:47:08.023;1;no;no
10;Niklas SCHAUFLER;KCL MP Motorsport;1;Turn 5;14;11:53:29.108;1;no;no
11;Reno FRANCOT;KCL MP Motorsport;1;Turn 5;6;11:31:03.008;4;no;no
11;Reno FRANCOT;KCL MP Motorsport;2;Turn 5;13;11:50:48.442;4;no;no
11;Reno FRANCOT;KCL MP Motorsport;3;Turn 5;15;11:54:16.853;4;no;no
11;Reno FRANCOT;KCL MP Motorsport;4;Turn 5;18;12:00:03.437;4;no;no
12;Philippe Armand KARRAS;G4 Racing;1;Turn 5;7;11:32:17.699;1;no;no
15;Rafaela FERREIRA;DXR;1;Turn 5;3;11:25:12.042;3;no;no
15;Rafaela FERREIRA;DXR;2;Turn 10;18;11:58:30.953;3;no;no
15;Rafaela FERREIRA;DXR;3;Turn 3;19;11:59:19.008;3;no;no
17;Nacho TUÑON;Tecnicar by Amtog;1;Turn 5;2;11:23:31.657;4;no;no
17;Nacho TUÑON;Tecnicar by Amtog;2;Turn 10;6;11:31:25.667;4;no;no
17;Nacho TUÑON;Tecnicar by Amtog;3;Turn 10;7;11:33:11.871;4;no;no
17;Nacho TUÑON;Tecnicar by Amtog;4;Turn 5;14;11:51:28.214;4;no;no
19;Matus RYBA;Griffin Core;1;Turn 10;15;11:55:34.201;1;no;no
22;Juan COTA;MP Motorsport;1;Turn 5;8;11:34:26.227;2;no;no
22;Juan COTA;MP Motorsport;2;Turn 5;9;11:36:10.767;2;no;no
24;Kyuho LEE;Rodin Motorsport;1;Turn 5;14;11:52:46.498;2;no;no
24;Kyuho LEE;Rodin Motorsport;2;Turn 5;18;11:59:46.388;2;no;no
25;Miki BLASCOS;Monlau Motorsport;1;Turn 5;14;11:51:06.834;1;no;no
27;Alexander JACOBY;Monlau Motorsport;1;Turn 10;13;11:51:31.895;1;no;no
32;Wiktor DOBRZANSKI;Tecnicar by Amtog;1;Turn 5;12;11:50:36.705;2;no;no
32;Wiktor DOBRZANSKI;Tecnicar by Amtog;2;Turn 10;12;11:51:22.620;2;no;no
32;Wiktor DOBRZANSKI;Tecnicar by Amtog;3;Turn 5;13;11:52:21.637;2;no;no
33;Christopher EL FEGHALI;Drivex;1;Turn 3;2;11:24:51.157;2;no;no
33;Christopher EL FEGHALI;Drivex;2;Turn 5;2;11:25:01.972;2;no;no
33;Christopher EL FEGHALI;Drivex;3;Turn 5;14;11:52:44.001;2;no;no
37;Filippo FIORENTINO;Drivex;1;Turn 5;2;11:24:05.206;2;no;no
37;Filippo FIORENTINO;Drivex;2;Turn 10;12;11:50:05.009;2;no;no
39;Santino PANETTA;TC Racing;1;Turn 10;15;11:51:24.288;2;no;no
39;Santino PANETTA;TC Racing;2;Turn 5;17;11:55:15.786;2;no;no
48;Gino TRAPPA;Drivex;1;Turn 5;7;11:33:55.971;5;no;no
48;Gino TRAPPA;Drivex;2;Turn 10;11;11:48:19.270;5;no;no
48;Gino TRAPPA;Drivex;3;Turn 5;12;11:49:17.320;5;no;no
48;Gino TRAPPA;Drivex;4;Turn 5;14;11:52:48.506;5;no;no
48;Gino TRAPPA;Drivex;5;Turn 5;15;11:54:32.765;5;no;no
55;Emma FELBERMAYR;Rodin Motorsport;1;Turn 5;5;11:32:02.636;2;no;no
55;Emma FELBERMAYR;Rodin Motorsport;2;Turn 5;6;11:33:48.564;2;no;no
57;Kaiden HIGGINS;DXR;1;Turn 5;4;11:27:41.233;4;no;no
57;Kaiden HIGGINS;DXR;2;Turn 5;6;11:31:11.911;4;no;no
57;Kaiden HIGGINS;DXR;3;Turn 5;11;11:49:20.855;4;no;no
57;Kaiden HIGGINS;DXR;4;Turn 5;12;11:51:06.834;4;no;no
70;Aleksandar BOGUNOVIC;GRS Team;1;Turn 5;13;11:47:22.909;1;no;no
77;Andrej PETROVIC;T-Code by Amtog;1;Turn 5;15;11:52:18.500;3;no;no
77;Andrej PETROVIC;T-Code by Amtog;2;Turn 5;16;11:54:19.055;3;no;no
77;Andrej PETROVIC;T-Code by Amtog;3;Turn 5;17;11:56:03.600;3;no;no
81;Noah MONTEIRO;Campos Racing;1;Turn 5;12;11:53:05.782;2;no;no
81;Noah MONTEIRO;Campos Racing;2;Turn 5;13;11:54:50.178;2;no;no
88;Rogerio GROTTA;TC Racing;1;Turn 3;3;11:25:13.706;2;no;no
88;Rogerio GROTTA;TC Racing;2;Turn 10;14;11:51:13.677;2;no;no
91;Lorenzo CAMPOS;Monlau Motorsport;1;Turn 5;4;11:32:27.518;3;no;no
91;Lorenzo CAMPOS;Monlau Motorsport;2;Turn 5;13;11:50:55.250;3;no;no
91;Lorenzo CAMPOS;Monlau Motorsport;3;Turn 5;14;11:52:40.003;3;no;no
