POS; NUMBER; DRIVER; TEAM; TIME; GAP_FIRST; GAP_PREVIOUS;
1;23;Jan PRZYROWSKI;Griffin Core;1:43.979;-;-;
2;9;René LAMMERS;MP Motorsport;1:44.381;+0.402;+0.402;
3;22;Juan COTA;MP Motorsport;1:44.476;+0.497;+0.095;
4;46;Nathan TYE;Rodin Motorsport;1:44.502;+0.523;+0.026;
5;4;Ean EYCKMANS;MP Motorsport;1:44.518;+0.539;+0.016;
6;81;Noah MONTEIRO;Campos Racing;1:44.519;+0.540;+0.001;
7;33;Christopher EL FEGHALI;Drivex;1:44.642;+0.663;+0.123;
8;10;Niklas SCHAUFLER;KCL MP Motorsport;1:44.687;+0.708;+0.045;
9;11;Reno FRANCOT;KCL MP Motorsport;1:44.762;+0.783;+0.075;
10;99;Thomas STRAUVEN;Griffin Core;1:44.774;+0.795;+0.012;
11;48;Gino TRAPPA;Drivex;1:44.812;+0.833;+0.038;
12;25;Miki BLASCOS;Monlau Motorsport;1:44.882;+0.903;+0.070;
13;1;Hudson SCHWARTZ;KCL MP Motorsport;1:44.979;+1.000;+0.097;
14;57;Kaiden HIGGINS;DXR;1:44.980;+1.001;+0.001;
15;5;Miguel COSTA;Campos Racing;1:44.985;+1.006;+0.005;
16;77;Andrej PETROVIC;T-Code by Amtog;1:45.018;+1.039;+0.033;
17;2;Vivek KANTHAN;Campos Racing;1:45.022;+1.043;+0.004;
18;19;Matus RYBA;Griffin Core;1:45.038;+1.059;+0.016;
19;37;Filippo FIORENTINO;Drivex;1:45.045;+1.066;+0.007;
20;41;Stepan SUSLOV;DXR;1:45.109;+1.130;+0.064;
21;70;Aleksandar BOGUNOVIC;GRS Team;1:45.168;+1.189;+0.059;
22;91;Lorenzo CAMPOS;Monlau Motorsport;1:45.229;+1.250;+0.061;
23;55;Emma FELBERMAYR;Rodin Motorsport;1:45.273;+1.294;+0.044;
24;78;Alfio SPINA;TC Racing;1:45.275;+1.296;+0.002;
25;24;Kyuho LEE;Rodin Motorsport;1:45.302;+1.323;+0.027;
26;27;Alexander JACOBY;Monlau Motorsport;1:45.332;+1.353;+0.030;
27;12;Philippe Armand KARRAS;G4 Racing;1:45.377;+1.398;+0.045;
28;13;Jean Paul KARRAS;G4 Racing;1:45.477;+1.498;+0.100;
29;6;Lewis WHERRELL;T-Code by Amtog;1:45.530;+1.551;+0.053;
30;39;Santino PANETTA;TC Racing;1:45.630;+1.651;+0.100;
31;88;Rogerio GROTTA;TC Racing;1:45.765;+1.786;+0.135;
32;32;Wiktor DOBRZANSKI;Tecnicar by Amtog;1:45.875;+1.896;+0.110;
33;17;Nacho TUÑON;Tecnicar by Amtog;1:46.009;+2.030;+0.134;
34;15;Rafaela FERREIRA;DXR;1:46.051;+2.072;+0.042;
