TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1758369366;20/09/2025 11:56:06;30,76;37,7;43;1017;19,296;113;0;
1758369486;20/09/2025 11:58:06;30,76;37,8;43;1017;19,296;113;0;
1758369606;20/09/2025 12:00:06;30,76;38,1;43;1017;16,092;158;0;
1758369726;20/09/2025 12:02:06;30,76;38,2;43;1017;16,092;158;0;
1758369846;20/09/2025 12:04:06;30,76;38,4;43;1017;16,092;158;0;
1758369966;20/09/2025 12:06:06;30,98;38,5;41;1017;17,712;113;0;
1758370086;20/09/2025 12:08:06;30,98;38,7;41;1017;17,712;113;0;
1758370206;20/09/2025 12:10:06;30,98;38,8;41;1017;17,712;113;0;
1758370326;20/09/2025 12:12:06;30,98;38,9;41;1017;17,712;113;0;
1758370446;20/09/2025 12:14:06;30,98;39;41;1017;17,712;113;0;
