Nr;Driver;Team;TL_Nr;Camera;Lap;Time;Total_Infractions;TL_After;TL_PREVIOUS
2;Vivek KANTHAN;Campos Racing;1;Turn 5;2;14:01:47.110;1;no;no
6;Lewis WHERRELL;T-Code by Amtog;1;Turn 5;3;13:59:27.970;3;no;no
6;Lewis WHERRELL;T-Code by Amtog;2;Turn 10;9;14:10:52.249;3;no;no
6;Lewis WHERRELL;T-Code by Amtog;3;Turn 5;11;14:13:37.718;3;no;no
6;Lewis WHERRELL;T-Code by Amtog;4;Turn 10;11;14:14:24.138;3;no;no
9;René LAMMERS;MP Motorsport;1;Turn 5;7;14:13:57.269;1;no;no
10;Niklas SCHAUFLER;KCL MP Motorsport;1;Turn 10;6;14:10:46.951;1;no;no
11;Reno FRANCOT;KCL MP Motorsport;1;Turn 10;5;14:09:54.865;2;no;no
11;Reno FRANCOT;KCL MP Motorsport;2;Turn 10;7;14:13:24.680;2;no;no
15;Rafaela FERREIRA;DXR;1;Turn 3;7;14:09:14.237;1;no;no
17;Nacho TUÑON;Tecnicar by Amtog;1;Turn 10;4;14:06:56.182;3;no;no
17;Nacho TUÑON;Tecnicar by Amtog;2;Turn 10;5;14:08:41.726;3;no;no
17;Nacho TUÑON;Tecnicar by Amtog;3;Turn 10;8;14:14:04.086;3;no;no
27;Alexander JACOBY;Monlau Motorsport;1;Turn 5;9;14:14:18.005;1;no;no
32;Wiktor DOBRZANSKI;Tecnicar by Amtog;1;Turn 10;5;14:08:42.927;1;no;no
37;Filippo FIORENTINO;Drivex;1;Turn 5;4;14:01:16.174;1;no;no
39;Santino PANETTA;TC Racing;1;Turn 10;5;14:03:32.982;2;no;no
39;Santino PANETTA;TC Racing;2;Turn 5;8;14:08:55.597;2;no;no
48;Gino TRAPPA;Drivex;1;Turn 5;4;14:01:15.709;1;no;no
55;Emma FELBERMAYR;Rodin Motorsport;1;Turn 5;9;14:11:05.875;1;no;no
57;Kaiden HIGGINS;DXR;1;Turn 5;6;14:08:58.032;2;no;no
57;Kaiden HIGGINS;DXR;2;Turn 5;7;14:10:44.372;2;no;no
70;Aleksandar BOGUNOVIC;GRS Team;1;Turn 5;2;13:57:45.231;1;no;no
88;Rogerio GROTTA;TC Racing;1;Turn 10;3;14:06:06.607;1;no;no
91;Lorenzo CAMPOS;Monlau Motorsport;1;Turn 5;4;14:05:21.591;2;no;no
91;Lorenzo CAMPOS;Monlau Motorsport;2;Turn 5;6;14:08:53.394;2;no;no
99;Thomas STRAUVEN;Griffin Core;1;Turn 10;5;14:07:46.939;2;no;no
99;Thomas STRAUVEN;Griffin Core;2;Turn 10;7;14:11:20.417;2;no;no
