NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
1;1;1;8:08.449;0;;6:58.065;0;32.281;0;38.103;0;32.6;8:08.449;09:08:08.449;6:58.065;0:32.281;0:38.103;193.5;Hudson SCHWARTZ;0:06:07.187;;;KCL MP Motorsport;;GF;418.065;32.281;38.103;
1;1;2;1:49.226;0;;42.419;0;30.791;0;36.016;0;145.8;9:57.675;09:09:57.675;0:42.419;0:30.791;0:36.016;201.1;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;42.419;30.791;36.016;
1;1;3;1:46.130;0;;40.469;0;30.478;0;35.183;0;150.0;11:43.805;09:11:43.805;0:40.469;0:30.478;0:35.183;203.0;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;40.469;30.478;35.183;
1;1;4;1:43.860;0;;40.076;0;28.889;0;34.895;0;153.3;13:27.665;09:13:27.665;0:40.076;0:28.889;0:34.895;202.2;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;40.076;28.889;34.895;
1;1;5;1:43.650;0;;39.922;0;28.846;0;34.882;2;153.6;15:11.315;09:15:11.315;0:39.922;0:28.846;0:34.882;202.6;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;39.922;28.846;34.882;
1;1;6;1:43.633;2;;39.906;2;28.785;2;34.942;0;153.6;16:54.948;09:16:54.948;0:39.906;0:28.785;0:34.942;201.9;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;39.906;28.785;34.942;
1;1;7;1:43.713;0;;39.931;0;28.874;0;34.908;0;153.5;18:38.661;09:18:38.661;0:39.931;0:28.874;0:34.908;203.8;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;39.931;28.874;34.908;
1;1;8;1:43.984;0;;39.935;0;28.888;0;35.161;0;153.1;20:22.645;09:20:22.645;0:39.935;0:28.888;0:35.161;203.4;Hudson SCHWARTZ;;;;KCL MP Motorsport;;FF;39.935;28.888;35.161;
10;1;1;8:12.677;0;;7:02.517;0;32.607;0;37.553;0;32.3;8:12.677;09:08:12.677;7:02.517;0:32.607;0:37.553;178.2;Niklas SCHAUFLER;0:06:08.779;R;;KCL MP Motorsport;;GF;422.517;32.607;37.553;
10;1;2;1:50.234;0;;43.039;0;30.867;0;36.328;0;144.4;10:02.911;09:10:02.911;0:43.039;0:30.867;0:36.328;193.5;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;43.039;30.867;36.328;
