POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;4;Classified;15;32:02.943;-;-;13;1:44.827;151.9;MP Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Ean;EYCKMANS;;;BEL;;;;;;;
2;99;Classified;15;32:05.290;+2.347;+2.347;10;1:45.224;151.3;Griffin Core;;;;Tatuus F4 T -421;;;;;;;;;;;;Thomas;STRAUVEN;;;BEL;;;;;;;
3;22;Classified;15;32:06.169;+3.226;+0.879;14;1:44.975;151.7;MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Juan;COTA;;;ESP;;;;;;;
4;11;Classified;15;32:06.626;+3.683;+0.457;10;1:45.129;151.5;KCL MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Reno;FRANCOT;;;NLD;;;;;;;
5;81;Classified;15;32:07.823;+4.880;+0.745;14;1:45.037;151.6;Campos Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Noah;MONTEIRO;;;PRT;MOT;;;;;;
6;10;Classified;15;32:08.671;+5.728;+0.848;15;1:45.433;151.0;KCL MP Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Niklas;SCHAUFLER;;;AUT;SCF;;;;;;
7;33;Classified;15;32:09.238;+6.295;+0.567;11;1:45.430;151.0;Drivex;R;;;Tatuus F4 T -421;;;;;;;;;;;;Christopher;EL FEGHALI;;;LBN;FEG;;;;;;
8;46;Classified;15;32:07.078;+4.135;+0.452;13;1:45.242;151.3;Rodin Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Nathan;TYE;;;GBR;;;;;;;
9;48;Classified;15;32:09.577;+6.634;+0.339;15;1:45.418;151.0;Drivex;;;;Tatuus F4 T -421;;;;;;;;;;;;Gino;TRAPPA;;;ARG;;;;;;;
10;37;Classified;15;32:10.898;+7.955;+1.321;12;1:45.528;150.9;Drivex;;;;Tatuus F4 T -421;;;;;;;;;;;;Filippo;FIORENTINO;;;BRA;;;;;;;
11;57;Classified;15;32:11.541;+8.598;+0.643;14;1:45.538;150.9;DXR;R;;;Tatuus F4 T -421;;;;;;;;;;;;Kaiden;HIGGINS;;;ARE;;;;;;;
12;77;Classified;15;32:12.519;+9.576;+0.978;13;1:45.621;150.8;T-Code by Amtog;;;;Tatuus F4 T -421;;;;;;;;;;;;Andrej;PETROVIC;;;SRB;;;;;;;
13;25;Classified;15;32:13.189;+10.246;+0.670;11;1:45.701;150.6;Monlau Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Miki;BLASCOS;;;ESP;BLA;;;;;;
14;70;Classified;15;32:13.969;+11.026;+0.780;14;1:45.765;150.5;GRS Team;R;;;Tatuus F4 T -421;;;;;;;;;;;;Aleksandar;BOGUNOVIC;;;SVN;;;;;;;
15;91;Classified;15;32:15.532;+12.589;+1.563;13;1:45.263;151.3;Monlau Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Lorenzo;CAMPOS;;;AGO;;;;;;;
16;78;Classified;15;32:18.634;+15.691;+3.102;14;1:45.729;150.6;TC Racing;;;;Tatuus F4 T -421;;;;;;;;;;;;Alfio;SPINA;;;ITA;;;;;;;
17;12;Classified;15;32:19.422;+16.479;+0.788;15;1:45.893;150.4;G4 Racing;R;;;Tuttus F4 T -421;;;;;;;;;;;;Philippe Armand;KARRAS;;;GRC;;;;;;;
18;41;Classified;15;32:20.590;+17.647;+1.168;12;1:45.895;150.4;DXR;R;;;Tatuus F4 T -421;;;;;;;;;;;;Stepan;SUSLOV;;;SWE;;;;;;;
19;24;Classified;15;32:21.039;+18.096;+0.449;15;1:45.935;150.3;Rodin Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Kyuho;LEE;;;KOR;;;;;;;
20;9;Classified;15;32:21.314;+18.371;+0.275;11;1:45.265;151.3;MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;René;LAMMERS;;;NLD;;;;;;;
21;27;Classified;15;32:22.051;+19.108;+0.737;14;1:45.675;150.7;Monlau Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Alexander;JACOBY;;;BRA;;;;;;;
22;13;Classified;15;32:24.193;+21.250;+2.142;15;1:46.041;150.2;G4 Racing;R;;;Tatuus F4 -421;;;;;;;;;;;;Jean Paul;KARRAS;;;GRC;;;;;;;
23;55;Classified;15;32:24.920;+21.977;+0.727;11;1:46.425;149.6;Rodin Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Emma;FELBERMAYR;;;AUT;;;;;;;
24;32;Classified;15;32:25.631;+22.688;+0.711;15;1:46.230;149.9;Tecnicar by Amtog;;;;Tatuus F4 T -421;;;;;;;;;;;;Wiktor;DOBRZANSKI;;;POL;;;;;;;
25;6;Classified;15;32:26.642;+23.699;+1.011;5;1:46.662;149.3;T-Code by Amtog;R;;;Tatuus F4 T -421;;;;;;;;;;;;Lewis;WHERRELL;;;GBR;;;;;;;
26;88;Classified;15;32:26.907;+23.964;+0.265;12;1:46.366;149.7;TC Racing;;;;Tatuus F4 T -421;;;;;;;;;;;;Rogerio;GROTTA;;;BRA;;;;;;;
27;17;Classified;15;32:27.893;+24.950;+0.986;13;1:46.496;149.5;Tecnicar by Amtog;R;;;Tatuus F4 T -421;;;;;;;;;;;;Nacho;TUÑON;;;ESP;TUN;;;;;;
28;15;Classified;15;32:38.708;+35.765;+10.815;12;1:46.550;149.4;DXR;;;;Tatuus F4 T -421;;;;;;;;;;;;Rafaela;FERREIRA;;;BRA;;;;;;;
29;1;Classified;10;24:03.994;5 Laps;5 Laps;5;1:46.067;150.1;KCL MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Hudson;SCHWARTZ;;;USA;SCW;;;;;;
;2;Not classified;9;21:48.814;;;4;1:47.290;148.4;Campos Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Vivek;KANTHAN;;;USA;;;;;;;
;39;Not classified;8;19:50.303;;;5;1:46.233;149.9;TC Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Santino;PANETTA;;;ARG;;;;;;;
;19;Not classified;4;10:33.361;;;4;1:47.092;148.7;Griffin Core;;;;Tatuus F4 T -421;;;;;;;;;;;;Matus;RYBA;;;SVK;;;;;;;
;23;Not classified;0;;;;0;;;Griffin Core;;;;Tatuus F4 T -421;;;;;;;;;;;;Jan;PRZYROWSKI;;;POL;;;;;;;
;5;Not classified;0;;;;0;;;Campos Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Miguel;COSTA;;;BRA;;;;;;;
