NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
1;1;1;1:55.286;0;;49.927;0;29.744;0;35.615;0;138.1;1:55.286;11:35:18.683;0:49.927;0:29.744;0:35.615;201.1;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;49.927;29.744;35.615;
1;1;2;1:45.516;0;;40.909;0;29.222;0;35.385;0;150.9;3:40.802;11:37:04.199;0:40.909;0:29.222;0:35.385;203.8;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;40.909;29.222;35.385;
1;1;3;1:44.651;0;;40.266;0;29.305;0;35.080;2;152.2;5:25.453;11:38:48.850;0:40.266;0:29.305;0:35.080;204.5;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;40.266;29.305;35.080;
1;1;4;1:45.019;0;;40.449;0;29.214;0;35.356;0;151.6;7:10.472;11:40:33.869;0:40.449;0:29.214;0:35.356;204.9;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;40.449;29.214;35.356;
1;1;5;1:45.090;0;;40.456;0;29.467;0;35.167;0;151.5;8:55.562;11:42:18.959;0:40.456;0:29.467;0:35.167;204.9;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;40.456;29.467;35.167;
1;1;6;1:45.139;0;;40.606;0;29.264;0;35.269;0;151.4;10:40.701;11:44:04.098;0:40.606;0:29.264;0:35.269;203.4;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;40.606;29.264;35.269;
1;1;7;1:44.999;0;;40.358;0;29.309;0;35.332;0;151.6;12:25.700;11:45:49.097;0:40.358;0:29.309;0:35.332;204.9;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;40.358;29.309;35.332;
1;1;8;1:44.647;0;;40.391;0;29.084;0;35.172;0;152.2;14:10.347;11:47:33.744;0:40.391;0:29.084;0:35.172;203.4;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;40.391;29.084;35.172;
1;1;9;1:44.568;2;;40.241;2;29.073;2;35.254;0;152.3;15:54.915;11:49:18.312;0:40.241;0:29.073;0:35.254;204.5;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;40.241;29.073;35.254;
1;1;10;1:45.100;0;;40.452;0;29.155;0;35.493;0;151.5;17:40.015;11:51:03.412;0:40.452;0:29.155;0:35.493;204.5;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;40.452;29.155;35.493;
1;1;11;1:44.928;0;;40.294;0;29.328;0;35.306;0;151.7;19:24.943;11:52:48.340;0:40.294;0:29.328;0:35.306;204.9;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;40.294;29.328;35.306;
1;1;12;1:45.321;0;;40.604;0;29.171;0;35.546;0;151.2;21:10.264;11:54:33.661;0:40.604;0:29.171;0:35.546;203.8;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;40.604;29.171;35.546;
1;1;13;1:44.936;0;;40.390;0;29.192;0;35.354;0;151.7;22:55.200;11:56:18.597;0:40.390;0:29.192;0:35.354;203.8;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;40.390;29.192;35.354;
1;1;14;1:45.209;0;;40.505;0;29.190;0;35.514;0;151.3;24:40.409;11:58:03.806;0:40.505;0:29.190;0:35.514;203.8;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;40.505;29.190;35.514;
1;1;15;1:45.166;0;;40.450;0;29.328;0;35.388;0;151.4;26:25.575;11:59:48.972;0:40.450;0:29.328;0:35.388;203.8;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;40.450;29.328;35.388;
1;1;16;1:45.336;0;;40.526;0;29.274;0;35.536;0;151.2;28:10.911;12:01:34.308;0:40.526;0:29.274;0:35.536;203.0;Hudson SCHWARTZ;;;;KCL MP Motorsport;;FF;40.526;29.274;35.536;
10;1;1;1:54.241;0;;48.979;0;29.810;0;35.452;0;139.4;1:54.241;11:35:17.638;0:48.979;0:29.810;0:35.452;199.6;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;48.979;29.810;35.452;
10;1;2;1:45.346;0;;40.740;0;29.311;0;35.295;0;151.1;3:39.587;11:37:02.984;0:40.740;0:29.311;0:35.295;202.2;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;40.740;29.311;35.295;
10;1;3;1:44.946;0;;40.463;0;29.218;0;35.265;0;151.7;5:24.533;11:38:47.930;0:40.463;0:29.218;0:35.265;203.0;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;40.463;29.218;35.265;
10;1;4;1:44.832;2;;40.395;2;29.224;0;35.213;2;151.9;7:09.365;11:40:32.762;0:40.395;0:29.224;0:35.213;202.2;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;40.395;29.224;35.213;
10;1;5;1:44.902;0;;40.405;0;29.185;0;35.312;0;151.8;8:54.267;11:42:17.664;0:40.405;0:29.185;0:35.312;203.4;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;40.405;29.185;35.312;
10;1;6;1:45.070;0;;40.480;0;29.301;0;35.289;0;151.5;10:39.337;11:44:02.734;0:40.480;0:29.301;0:35.289;202.6;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;40.480;29.301;35.289;
10;1;7;1:44.944;0;;40.489;0;29.225;0;35.230;0;151.7;12:24.281;11:45:47.678;0:40.489;0:29.225;0:35.230;202.2;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;40.489;29.225;35.230;
10;1;8;1:45.075;0;;40.454;0;29.244;0;35.377;0;151.5;14:09.356;11:47:32.753;0:40.454;0:29.244;0:35.377;203.0;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;40.454;29.244;35.377;
10;1;9;1:45.088;0;;40.521;0;29.185;0;35.382;0;151.5;15:54.444;11:49:17.841;0:40.521;0:29.185;0:35.382;203.0;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;40.521;29.185;35.382;
10;1;10;1:45.092;0;;40.526;0;29.185;0;35.381;0;151.5;17:39.536;11:51:02.933;0:40.526;0:29.185;0:35.381;201.5;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;40.526;29.185;35.381;
10;1;11;1:45.033;0;;40.435;0;29.249;0;35.349;0;151.6;19:24.569;11:52:47.966;0:40.435;0:29.249;0:35.349;201.9;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;40.435;29.249;35.349;
10;1;12;1:44.942;0;;40.475;0;29.187;0;35.280;0;151.7;21:09.511;11:54:32.908;0:40.475;0:29.187;0:35.280;202.6;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;40.475;29.187;35.280;
10;1;13;1:45.123;0;;40.530;0;29.265;0;35.328;0;151.5;22:54.634;11:56:18.031;0:40.530;0:29.265;0:35.328;200.4;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;40.530;29.265;35.328;
10;1;14;1:45.006;0;;40.428;0;29.170;2;35.408;0;151.6;24:39.640;11:58:03.037;0:40.428;0:29.170;0:35.408;201.9;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;40.428;29.170;35.408;
10;1;15;1:45.019;0;;40.514;0;29.273;0;35.232;0;151.6;26:24.659;11:59:48.056;0:40.514;0:29.273;0:35.232;201.5;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;40.514;29.273;35.232;
10;1;16;1:45.527;0;;40.527;0;29.399;0;35.601;0;150.9;28:10.186;12:01:33.583;0:40.527;0:29.399;0:35.601;201.1;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;FF;40.527;29.399;35.601;
11;1;1;1:54.850;0;;49.362;0;29.772;0;35.716;0;138.6;1:54.850;11:35:18.247;0:49.362;0:29.772;0:35.716;203.4;Reno FRANCOT;;;;KCL MP Motorsport;;GF;49.362;29.772;35.716;
11;1;2;1:45.279;0;;40.547;0;29.389;0;35.343;0;151.2;3:40.129;11:37:03.526;0:40.547;0:29.389;0:35.343;203.4;Reno FRANCOT;;;;KCL MP Motorsport;;GF;40.547;29.389;35.343;
11;1;3;1:45.047;0;;40.484;0;29.191;2;35.372;0;151.6;5:25.176;11:38:48.573;0:40.484;0:29.191;0:35.372;203.8;Reno FRANCOT;;;;KCL MP Motorsport;;GF;40.484;29.191;35.372;
11;1;4;1:45.049;0;;40.380;0;29.216;0;35.453;0;151.6;7:10.225;11:40:33.622;0:40.380;0:29.216;0:35.453;204.2;Reno FRANCOT;;;;KCL MP Motorsport;;GF;40.380;29.216;35.453;
11;1;5;1:45.110;0;;40.426;0;29.336;0;35.348;0;151.5;8:55.335;11:42:18.732;0:40.426;0:29.336;0:35.348;204.2;Reno FRANCOT;;;;KCL MP Motorsport;;GF;40.426;29.336;35.348;
11;1;6;1:44.981;2;;40.357;2;29.332;0;35.292;2;151.7;10:40.316;11:44:03.713;0:40.357;0:29.332;0:35.292;203.8;Reno FRANCOT;;;;KCL MP Motorsport;;GF;40.357;29.332;35.292;
11;1;7;1:45.895;0;;40.495;0;29.973;0;35.427;0;150.4;12:26.211;11:45:49.608;0:40.495;0:29.973;0:35.427;202.2;Reno FRANCOT;;;;KCL MP Motorsport;;GF;40.495;29.973;35.427;
11;1;8;1:45.159;0;;40.468;0;29.272;0;35.419;0;151.4;14:11.370;11:47:34.767;0:40.468;0:29.272;0:35.419;203.4;Reno FRANCOT;;;;KCL MP Motorsport;;GF;40.468;29.272;35.419;
11;1;9;1:45.268;0;;40.469;0;29.317;0;35.482;0;151.3;15:56.638;11:49:20.035;0:40.469;0:29.317;0:35.482;203.0;Reno FRANCOT;;;;KCL MP Motorsport;;GF;40.469;29.317;35.482;
11;1;10;1:45.820;0;;40.918;0;29.421;0;35.481;0;150.5;17:42.458;11:51:05.855;0:40.918;0:29.421;0:35.481;201.9;Reno FRANCOT;;;;KCL MP Motorsport;;GF;40.918;29.421;35.481;
11;1;11;2:15.771;0;;40.916;0;29.383;0;1:05.472;0;117.3;19:58.229;11:53:21.626;0:40.916;0:29.383;1:05.472;201.9;Reno FRANCOT;;;;KCL MP Motorsport;;GF;40.916;29.383;65.472;
11;1;12;1:45.697;0;;40.875;0;29.310;0;35.512;0;150.6;21:43.926;11:55:07.323;0:40.875;0:29.310;0:35.512;203.8;Reno FRANCOT;;;;KCL MP Motorsport;;GF;40.875;29.310;35.512;
11;1;13;1:45.512;0;;40.805;0;29.321;0;35.386;0;150.9;23:29.438;11:56:52.835;0:40.805;0:29.321;0:35.386;203.0;Reno FRANCOT;;;;KCL MP Motorsport;;GF;40.805;29.321;35.386;
11;1;14;1:45.313;0;;40.580;0;29.342;0;35.391;0;151.2;25:14.751;11:58:38.148;0:40.580;0:29.342;0:35.391;202.6;Reno FRANCOT;;;;KCL MP Motorsport;;GF;40.580;29.342;35.391;
11;1;15;1:45.482;0;;40.565;0;29.414;0;35.503;0;151.0;27:00.233;12:00:23.630;0:40.565;0:29.414;0:35.503;202.2;Reno FRANCOT;;;;KCL MP Motorsport;;GF;40.565;29.414;35.503;
11;1;16;1:45.854;0;;40.729;0;29.570;0;35.555;0;150.4;28:46.087;12:02:09.484;0:40.729;0:29.570;0:35.555;203.8;Reno FRANCOT;;;;KCL MP Motorsport;;FF;40.729;29.570;35.555;
12;1;1;2:01.035;0;;52.662;0;31.212;0;37.161;0;131.6;2:01.035;11:35:24.432;0:52.662;0:31.212;0:37.161;203.0;Philippe Armand KARRAS;;R;;G4 Racing;;GF;52.662;31.212;37.161;
12;1;2;1:48.911;0;;42.535;0;30.150;0;36.226;0;146.2;3:49.946;11:37:13.343;0:42.535;0:30.150;0:36.226;203.0;Philippe Armand KARRAS;;R;;G4 Racing;;GF;42.535;30.150;36.226;
12;1;3;1:46.241;0;;41.191;0;29.354;0;35.696;0;149.9;5:36.187;11:38:59.584;0:41.191;0:29.354;0:35.696;201.5;Philippe Armand KARRAS;;R;;G4 Racing;;GF;41.191;29.354;35.696;
12;1;4;1:45.645;0;;40.640;0;29.345;2;35.660;0;150.7;7:21.832;11:40:45.229;0:40.640;0:29.345;0:35.660;201.9;Philippe Armand KARRAS;;R;;G4 Racing;;GF;40.640;29.345;35.660;
12;1;5;1:46.730;0;;41.372;0;29.789;0;35.569;0;149.2;9:08.562;11:42:31.959;0:41.372;0:29.789;0:35.569;200.0;Philippe Armand KARRAS;;R;;G4 Racing;;GF;41.372;29.789;35.569;
12;1;6;1:45.733;0;;40.669;0;29.639;0;35.425;2;150.6;10:54.295;11:44:17.692;0:40.669;0:29.639;0:35.425;201.5;Philippe Armand KARRAS;;R;;G4 Racing;;GF;40.669;29.639;35.425;
12;1;7;1:45.589;0;;40.622;0;29.470;0;35.497;0;150.8;12:39.884;11:46:03.281;0:40.622;0:29.470;0:35.497;201.9;Philippe Armand KARRAS;;R;;G4 Racing;;GF;40.622;29.470;35.497;
12;1;8;1:45.971;0;;40.832;0;29.607;0;35.532;0;150.3;14:25.855;11:47:49.252;0:40.832;0:29.607;0:35.532;204.2;Philippe Armand KARRAS;;R;;G4 Racing;;GF;40.832;29.607;35.532;
12;1;9;1:45.521;2;;40.581;2;29.420;0;35.520;0;150.9;16:11.376;11:49:34.773;0:40.581;0:29.420;0:35.520;203.4;Philippe Armand KARRAS;;R;;G4 Racing;;GF;40.581;29.420;35.520;
12;1;10;1:45.666;0;;40.677;0;29.457;0;35.532;0;150.7;17:57.042;11:51:20.439;0:40.677;0:29.457;0:35.532;204.5;Philippe Armand KARRAS;;R;;G4 Racing;;GF;40.677;29.457;35.532;
12;1;11;1:46.036;0;;40.741;0;29.508;0;35.787;0;150.2;19:43.078;11:53:06.475;0:40.741;0:29.508;0:35.787;204.5;Philippe Armand KARRAS;;R;;G4 Racing;;GF;40.741;29.508;35.787;
12;1;12;1:46.092;0;;40.838;0;29.561;0;35.693;0;150.1;21:29.170;11:54:52.567;0:40.838;0:29.561;0:35.693;202.2;Philippe Armand KARRAS;;R;;G4 Racing;;GF;40.838;29.561;35.693;
12;1;13;1:45.709;0;;40.729;0;29.434;0;35.546;0;150.6;23:14.879;11:56:38.276;0:40.729;0:29.434;0:35.546;203.4;Philippe Armand KARRAS;;R;;G4 Racing;;GF;40.729;29.434;35.546;
12;1;14;1:46.199;0;;40.912;0;29.646;0;35.641;0;149.9;25:01.078;11:58:24.475;0:40.912;0:29.646;0:35.641;201.5;Philippe Armand KARRAS;;R;;G4 Racing;;GF;40.912;29.646;35.641;
