Nr;Driver;Team;TL_Nr;Camera;Lap;Time;Total_Infractions;TL_After;TL_PREVIOUS
2;Vivek KANTHAN;Campos Racing;1;Turn 10;11;11:52:22.560;1;no;no
6;Lewis WHERRELL;T-Code by Amtog;1;Turn 5;7;11:44:57.823;4;no;no
6;Lewis WHERRELL;T-Code by Amtog;2;Turn 5;10;11:50:15.820;4;no;no
6;Lewis WHERRELL;T-Code by Amtog;3;Turn 10;10;11:51:02.542;4;no;no
6;Lewis WHERRELL;T-Code by Amtog;4;Turn 5;16;12:00:51.214;4;no;no
9;René LAMMERS;MP Motorsport;1;Turn 5;8;11:46:09.969;2;no;no
9;René LAMMERS;MP Motorsport;2;Turn 5;11;11:51:23.540;2;no;no
10;Niklas SCHAUFLER;KCL MP Motorsport;1;Turn 5;3;11:37:31.023;3;no;no
10;Niklas SCHAUFLER;KCL MP Motorsport;2;Turn 5;7;11:44:29.668;3;no;no
10;Niklas SCHAUFLER;KCL MP Motorsport;3;Turn 5;16;12:00:16.013;3;no;no
11;Reno FRANCOT;KCL MP Motorsport;1;Turn 5;7;11:44:30.667;5;no;no
11;Reno FRANCOT;KCL MP Motorsport;2;Turn 5;9;11:48:02.744;5;no;no
11;Reno FRANCOT;KCL MP Motorsport;3;Turn 5;11;11:51:34.217;5;no;no
11;Reno FRANCOT;KCL MP Motorsport;4;Turn 10;12;11:54:36.292;5;no;no
11;Reno FRANCOT;KCL MP Motorsport;5;Turn 5;16;12:00:51.214;5;no;no
13;Jean Paul KARRAS;G4 Racing;1;Turn 3;2;11:35:42.906;1;no;no
17;Nacho TUÑON;Tecnicar by Amtog;1;Turn 10;5;11:42:02.811;4;no;no
17;Nacho TUÑON;Tecnicar by Amtog;2;Turn 5;8;11:46:33.157;4;no;no
17;Nacho TUÑON;Tecnicar by Amtog;3;Turn 10;9;11:49:05.498;4;no;no
17;Nacho TUÑON;Tecnicar by Amtog;4;Turn 10;13;11:56:08.822;4;no;no
19;Matus RYBA;Griffin Core;1;Turn 10;7;11:45:26.146;3;no;no
19;Matus RYBA;Griffin Core;2;Turn 10;8;11:47:12.752;3;no;no
19;Matus RYBA;Griffin Core;3;Turn 5;16;12:00:30.292;3;no;no
22;Juan COTA;MP Motorsport;1;Turn 5;7;11:44:26.170;2;no;no
22;Juan COTA;MP Motorsport;2;Turn 5;14;11:56:37.164;2;no;no
23;Jan PRZYROWSKI;Griffin Core;1;Turn 5;2;11:35:47.880;2;no;no
23;Jan PRZYROWSKI;Griffin Core;2;Turn 5;3;11:37:34.090;2;no;no
24;Kyuho LEE;Rodin Motorsport;1;Turn 10;10;11:50:49.703;1;no;no
25;Miki BLASCOS;Monlau Motorsport;1;Turn 5;2;11:35:47.880;3;no;no
25;Miki BLASCOS;Monlau Motorsport;2;Turn 5;3;11:37:35.089;3;no;no
25;Miki BLASCOS;Monlau Motorsport;3;Turn 5;4;11:39:20.558;3;no;no
27;Alexander JACOBY;Monlau Motorsport;1;Turn 5;4;11:39:25.225;2;no;no
27;Alexander JACOBY;Monlau Motorsport;2;Turn 10;7;11:45:27.741;2;no;no
33;Christopher EL FEGHALI;Drivex;1;Turn 10;2;11:36:31.482;1;no;no
37;Filippo FIORENTINO;Drivex;1;Turn 5;4;11:39:23.828;4;no;no
37;Filippo FIORENTINO;Drivex;2;Turn 5;6;11:42:54.140;4;no;no
37;Filippo FIORENTINO;Drivex;3;Turn 5;7;11:44:38.604;4;no;no
37;Filippo FIORENTINO;Drivex;4;Turn 5;8;11:46:24.493;4;no;no
39;Santino PANETTA;TC Racing;1;Turn 3;2;11:35:42.906;3;no;no
39;Santino PANETTA;TC Racing;2;Turn 5;4;11:39:30.071;3;no;no
39;Santino PANETTA;TC Racing;3;Turn 5;9;11:48:18.300;3;no;no
48;Gino TRAPPA;Drivex;1;Turn 10;5;11:41:51.303;4;no;no
48;Gino TRAPPA;Drivex;2;Turn 5;7;11:44:35.075;4;no;no
48;Gino TRAPPA;Drivex;3;Turn 5;10;11:49:49.551;4;no;no
48;Gino TRAPPA;Drivex;4;Turn 10;10;11:50:35.890;4;no;no
55;Emma FELBERMAYR;Rodin Motorsport;1;Turn 5;5;11:42:23.946;3;no;no
55;Emma FELBERMAYR;Rodin Motorsport;2;Turn 5;6;11:44:09.345;3;no;no
55;Emma FELBERMAYR;Rodin Motorsport;3;Turn 5;13;11:56:25.082;3;no;no
57;Kaiden HIGGINS;DXR;1;Turn 5;4;11:39:20.558;4;no;no
57;Kaiden HIGGINS;DXR;2;Turn 5;9;11:48:09.879;4;no;no
57;Kaiden HIGGINS;DXR;3;Turn 5;10;11:49:55.492;4;no;no
57;Kaiden HIGGINS;DXR;4;Turn 10;10;11:50:41.957;4;no;no
70;Aleksandar BOGUNOVIC;GRS Team;1;Turn 10;8;11:47:17.758;3;no;no
70;Aleksandar BOGUNOVIC;GRS Team;2;Turn 5;14;11:57:05.689;3;no;no
70;Aleksandar BOGUNOVIC;GRS Team;3;Turn 5;16;12:00:37.637;3;no;no
77;Andrej PETROVIC;T-Code by Amtog;1;Turn 5;5;11:41:07.597;4;no;no
77;Andrej PETROVIC;T-Code by Amtog;2;Turn 10;5;11:41:54.170;4;no;no
77;Andrej PETROVIC;T-Code by Amtog;3;Turn 5;6;11:42:52.869;4;no;no
77;Andrej PETROVIC;T-Code by Amtog;4;Turn 5;7;11:44:38.604;4;no;no
78;Alfio SPINA;TC Racing;1;Turn 3;2;11:35:40.315;2;no;no
78;Alfio SPINA;TC Racing;2;Turn 10;15;11:59:31.223;2;no;no
81;Noah MONTEIRO;Campos Racing;1;Turn 10;6;11:43:38.974;2;no;no
81;Noah MONTEIRO;Campos Racing;2;Turn 10;16;12:01:09.354;2;no;no
88;Rogerio GROTTA;TC Racing;1;Turn 10;2;11:37:28.237;1;no;no
91;Lorenzo CAMPOS;Monlau Motorsport;1;Turn 5;2;11:35:53.621;2;no;no
91;Lorenzo CAMPOS;Monlau Motorsport;2;Turn 5;3;11:37:39.827;2;no;no
99;Thomas STRAUVEN;Griffin Core;1;Turn 10;5;11:41:51.303;3;no;no
99;Thomas STRAUVEN;Griffin Core;2;Turn 10;10;11:50:35.890;3;no;no
99;Thomas STRAUVEN;Griffin Core;3;Turn 10;12;11:54:08.299;3;no;no
