Nr;Driver;Team;TL_Nr;Camera;Lap;Time;Total_Infractions;TL_After;TL_PREVIOUS
1;Hudson SCHWARTZ;KCL MP Motorsport;1;Turn 3;5;16:53:27.554;1;no;no
2;Vivek KANTHAN;Campos Racing;1;Turn 10;13;17:08:25.610;2;no;no
2;Vivek KANTHAN;Campos Racing;2;Turn 10;14;17:10:11.019;2;no;no
6;Lewis WHERRELL;T-Code by Amtog;1;Turn 5;13;17:07:55.556;3;no;no
6;Lewis WHERRELL;T-Code by Amtog;2;Turn 5;16;17:13:15.047;3;no;no
6;Lewis WHERRELL;T-Code by Amtog;3;Turn 5;17;17:15:01.055;3;no;no
9;René LAMMERS;MP Motorsport;1;Turn 3;5;16:53:22.754;4;no;no
9;René LAMMERS;MP Motorsport;2;Turn 5;9;17:00:34.254;4;no;no
9;René LAMMERS;MP Motorsport;3;Turn 5;10;17:02:17.923;4;no;no
9;René LAMMERS;MP Motorsport;4;Turn 5;16;17:12:48.584;4;no;no
11;Reno FRANCOT;KCL MP Motorsport;1;Turn 10;12;17:06:40.482;1;no;no
13;Jean Paul KARRAS;G4 Racing;1;Turn 5;11;17:04:14.833;2;no;no
13;Jean Paul KARRAS;G4 Racing;2;Turn 5;17;17:14:54.311;2;no;no
15;Rafaela FERREIRA;DXR;1;Turn 5;16;17:13:16.244;3;no;no
15;Rafaela FERREIRA;DXR;2;Turn 10;15;17:12:17.605;3;no;no
15;Rafaela FERREIRA;DXR;3;Turn 10;16;17:14:03.406;3;no;no
17;Nacho TUÑON;Tecnicar by Amtog;1;Turn 5;9;17:00:43.568;2;no;no
17;Nacho TUÑON;Tecnicar by Amtog;2;Turn 10;10;17:03:15.536;2;no;no
19;Matus RYBA;Griffin Core;1;Turn 3;9;17:00:30.189;4;no;no
19;Matus RYBA;Griffin Core;2;Turn 5;12;17:05:56.918;4;no;no
19;Matus RYBA;Griffin Core;3;Turn 10;12;17:06:44.744;4;no;no
19;Matus RYBA;Griffin Core;4;Turn 5;17;17:14:45.174;4;no;no
22;Juan COTA;MP Motorsport;1;Turn 5;6;16:55:19.370;1;no;no
24;Kyuho LEE;Rodin Motorsport;1;Turn 10;9;17:01:35.004;2;no;no
24;Kyuho LEE;Rodin Motorsport;2;Turn 10;16;17:14:47.227;2;no;no
25;Miki BLASCOS;Monlau Motorsport;1;Turn 5;7;16:57:15.331;1;no;no
32;Wiktor DOBRZANSKI;Tecnicar by Amtog;1;Turn 5;13;17:07:56.630;1;no;no
33;Christopher EL FEGHALI;Drivex;1;Turn 10;8;16:59:49.799;2;no;no
33;Christopher EL FEGHALI;Drivex;2;Turn 10;16;17:13:57.603;2;no;no
37;Filippo FIORENTINO;Drivex;1;Turn 5;9;17:00:47.567;3;no;no
37;Filippo FIORENTINO;Drivex;2;Turn 5;11;17:04:19.579;3;no;no
37;Filippo FIORENTINO;Drivex;3;Turn 5;13;17:07:52.391;3;no;no
39;Santino PANETTA;TC Racing;1;Turn 5;10;17:02:37.986;1;no;no
48;Gino TRAPPA;Drivex;1;Turn 5;7;16:57:07.378;2;no;no
48;Gino TRAPPA;Drivex;2;Turn 5;16;17:12:56.996;2;no;no
55;Emma FELBERMAYR;Rodin Motorsport;1;Turn 5;6;16:55:27.046;2;no;no
55;Emma FELBERMAYR;Rodin Motorsport;2;Turn 5;15;17:11:18.827;2;no;no
57;Kaiden HIGGINS;DXR;1;Turn 5;6;16:55:24.315;4;no;no
57;Kaiden HIGGINS;DXR;2;Turn 5;7;16:57:07.838;4;no;no
57;Kaiden HIGGINS;DXR;3;Turn 5;10;17:02:24.698;4;no;no
57;Kaiden HIGGINS;DXR;4;Turn 5;11;17:04:10.102;4;no;no
70;Aleksandar BOGUNOVIC;GRS Team;1;Turn 5;9;17:00:46.034;3;no;no
70;Aleksandar BOGUNOVIC;GRS Team;2;Turn 5;14;17:09:36.759;3;no;no
70;Aleksandar BOGUNOVIC;GRS Team;3;Turn 5;17;17:14:56.785;3;no;no
78;Alfio SPINA;TC Racing;1;Turn 5;10;17:02:26.165;1;no;no
99;Thomas STRAUVEN;Griffin Core;1;Turn 10;10;17:03:03.759;1;no;no
