NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
1;1;1;2:49.484;0;;1:29.675;0;51.721;0;28.088;0;85.1;2:49.484;10:02:49.484;1:29.675;0:51.721;0:28.088;;Hudson SCHWARTZ;0:01:02.707;;;KCL MP Motorsport;;GF;89.675;51.721;28.088;
1;1;2;1:42.454;0;;23.846;0;49.904;0;28.704;0;140.7;4:31.938;10:04:31.938;0:23.846;0:49.904;0:28.704;206.9;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;23.846;49.904;28.704;
1;1;3;1:38.312;0;;22.860;0;48.305;0;27.147;0;146.7;6:10.250;10:06:10.250;0:22.860;0:48.305;0:27.147;213.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;22.860;48.305;27.147;
1;1;4;1:43.277;0;;22.379;0;46.991;0;33.907;0;139.6;7:53.527;10:07:53.527;0:22.379;0:46.991;0:33.907;213.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;22.379;46.991;33.907;
1;1;5;1:35.805;0;;22.387;0;46.851;0;26.567;0;150.5;9:29.332;10:09:29.332;0:22.387;0:46.851;0:26.567;211.4;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;22.387;46.851;26.567;
1;1;6;1:35.090;0;;22.091;0;46.621;0;26.378;0;151.6;11:04.422;10:11:04.422;0:22.091;0:46.621;0:26.378;212.7;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;22.091;46.621;26.378;
1;1;7;1:35.484;0;;22.226;0;46.849;0;26.409;0;151.0;12:39.906;10:12:39.906;0:22.226;0:46.849;0:26.409;212.7;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;22.226;46.849;26.409;
1;1;8;1:35.079;0;;22.067;0;46.615;0;26.397;0;151.6;14:14.985;10:14:14.985;0:22.067;0:46.615;0:26.397;212.7;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;22.067;46.615;26.397;
1;1;9;1:47.598;0;B;23.474;0;50.366;0;33.758;0;134.0;16:02.583;10:16:02.583;0:23.474;0:50.366;0:33.758;214.7;Hudson SCHWARTZ;;;;KCL MP Motorsport;;RF;23.474;50.366;33.758;
1;1;10;7:34.425;0;;6:13.575;0;52.711;0;28.139;0;31.7;23:37.008;10:23:37.008;6:13.575;0:52.711;0:28.139;;Hudson SCHWARTZ;0:05:50.187;;;KCL MP Motorsport;;GF;373.575;52.711;28.139;
1;1;11;1:39.960;0;;23.701;0;48.878;0;27.381;0;144.2;25:16.968;10:25:16.968;0:23.701;0:48.878;0:27.381;209.5;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;23.701;48.878;27.381;
1;1;12;1:38.428;0;;22.551;0;47.119;0;28.758;0;146.5;26:55.396;10:26:55.396;0:22.551;0:47.119;0:28.758;212.7;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;22.551;47.119;28.758;
1;1;13;1:34.975;0;;22.175;0;46.609;0;26.191;0;151.8;28:30.371;10:28:30.371;0:22.175;0:46.609;0:26.191;212.0;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;22.175;46.609;26.191;
1;1;14;1:34.194;0;;21.866;0;46.185;2;26.143;0;153.1;30:04.565;10:30:04.565;0:21.866;0:46.185;0:26.143;213.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;21.866;46.185;26.143;
1;1;15;1:34.046;2;;21.789;0;46.238;0;26.019;0;153.3;31:38.611;10:31:38.611;0:21.789;0:46.238;0:26.019;213.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;21.789;46.238;26.019;
1;1;16;1:33.699;0;;21.691;0;46.057;0;25.951;0;153.9;33:12.310;10:33:12.310;0:21.691;0:46.057;0:25.951;214.7;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;21.691;46.057;25.951;
1;1;17;1:36.333;0;;21.670;3;47.932;0;26.731;0;149.7;34:48.643;10:34:48.643;0:21.670;0:47.932;0:26.731;214.7;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;21.670;47.932;26.731;
1;1;18;1:34.123;0;;21.754;0;46.268;0;26.101;0;153.2;36:22.766;10:36:22.766;0:21.754;0:46.268;0:26.101;212.7;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;21.754;46.268;26.101;
1;1;19;1:34.040;0;;21.701;0;46.414;0;25.925;2;153.3;37:56.806;10:37:56.806;0:21.701;0:46.414;0:25.925;212.7;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;21.701;46.414;25.925;
1;1;20;1:43.853;0;B;23.882;0;47.336;0;32.635;0;138.8;39:40.659;10:39:40.659;0:23.882;0:47.336;0:32.635;213.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;23.882;47.336;32.635;
10;1;1;2:06.474;0;;44.525;0;52.916;0;29.033;0;114.0;2:06.474;10:02:06.474;0:44.525;0:52.916;0:29.033;;Niklas SCHAUFLER;0:00:16.748;R;;KCL MP Motorsport;;GF;44.525;52.916;29.033;
10;1;2;1:55.057;0;B;23.968;0;49.576;0;41.513;0;125.3;4:01.531;10:04:01.531;0:23.968;0:49.576;0:41.513;192.5;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;23.968;49.576;41.513;
10;1;3;2:21.671;0;;1:06.427;0;48.186;0;27.058;0;101.8;6:23.202;10:06:23.202;1:06.427;0:48.186;0:27.058;;Niklas SCHAUFLER;0:00:38.809;R;;KCL MP Motorsport;;GF;66.427;48.186;27.058;
10;1;4;1:36.533;0;;22.280;0;47.428;0;26.825;0;149.4;7:59.735;10:07:59.735;0:22.280;0:47.428;0:26.825;212.0;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;22.280;47.428;26.825;
10;1;5;1:35.886;0;;22.203;0;47.067;0;26.616;0;150.4;9:35.621;10:09:35.621;0:22.203;0:47.067;0:26.616;209.5;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;22.203;47.067;26.616;
10;1;6;1:35.372;0;;22.022;0;46.844;0;26.506;0;151.2;11:10.993;10:11:10.993;0:22.022;0:46.844;0:26.506;212.0;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;22.022;46.844;26.506;
10;1;7;1:35.095;0;;21.864;0;46.870;0;26.361;0;151.6;12:46.088;10:12:46.088;0:21.864;0:46.870;0:26.361;212.0;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;21.864;46.870;26.361;
10;1;8;1:44.012;0;B;21.866;0;46.839;0;35.307;0;138.6;14:30.100;10:14:30.100;0:21.866;0:46.839;0:35.307;213.3;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;RF;21.866;46.839;35.307;
10;1;9;10:03.083;0;;8:41.110;0;53.570;0;28.403;0;23.9;24:33.183;10:24:33.183;8:41.110;0:53.570;0:28.403;;Niklas SCHAUFLER;0:08:17.957;R;;KCL MP Motorsport;;GF;521.110;53.570;28.403;
10;1;10;1:38.824;0;;23.326;0;48.388;0;27.110;0;145.9;26:12.007;10:26:12.007;0:23.326;0:48.388;0:27.110;207.6;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;23.326;48.388;27.110;
