Nr;Driver;Team;TL_Nr;Camera;Lap;Time;Total_Infractions;TL_After;TL_PREVIOUS
1;Hudson SCHWARTZ;KCL MP Motorsport;1;Turn 1;7;10:11:15.564;5;no;no
1;Hudson SCHWARTZ;KCL MP Motorsport;2;Turn 4;16;10:32:07.753;5;no;no
1;Hudson SCHWARTZ;KCL MP Motorsport;3;Turn 6;17;10:33:54.173;5;no;no
1;Hudson SCHWARTZ;KCL MP Motorsport;4;Turn 4;17;10:33:41.251;5;no;no
1;Hudson SCHWARTZ;KCL MP Motorsport;5;Turn 6;19;10:37:04.527;5;no;no
1;Hudson SCHWARTZ;KCL MP Motorsport;6;Turn 1;20;10:38:08.164;5;no;no
2;Vivek KANTHAN;Campos Racing;1;Turn 4;3;10:06:01.889;3;no;no
2;Vivek KANTHAN;Campos Racing;2;Turn 4;4;10:08:25.227;3;no;no
2;Vivek KANTHAN;Campos Racing;3;Turn 2;11;10:29:31.017;3;no;no
4;Ean EYCKMANS;MP Motorsport;1;Turn 4;6;10:10:10.030;3;no;no
4;Ean EYCKMANS;MP Motorsport;2;Turn 4;7;10:11:48.230;3;no;no
4;Ean EYCKMANS;MP Motorsport;3;Turn 4;18;10:36:48.493;3;no;no
5;Miguel COSTA;Campos Racing;1;Turn 4;4;10:27:02.212;3;no;no
5;Miguel COSTA;Campos Racing;2;Turn 1;4;10:26:42.846;3;no;no
5;Miguel COSTA;Campos Racing;3;Turn 14;7;10:32:46.493;3;yes;no
5;Miguel COSTA;Campos Racing;4;Turn 1;8;10:33:05.227;3;no;no
6;Aleix PIÑERA;T-Code by Amtog;1;Turn 14;3;10:05:16.093;3;yes;no
6;Aleix PIÑERA;T-Code by Amtog;2;Turn 4;4;10:05:53.611;3;no;no
6;Aleix PIÑERA;T-Code by Amtog;3;Turn 4;13;10:27:45.551;3;no;no
9;René LAMMERS;MP Motorsport;1;Turn 2;4;10:05:49.093;3;no;no
9;René LAMMERS;MP Motorsport;2;Turn 4;12;10:26:50.354;3;no;no
9;René LAMMERS;MP Motorsport;3;Turn 2;14;10:29:52.973;3;no;no
10;Niklas SCHAUFLER;KCL MP Motorsport;1;Turn 4;17;10:36:08.152;1;no;no
11;Reno FRANCOT;KCL MP Motorsport;1;Turn 4;5;10:07:26.551;3;no;no
11;Reno FRANCOT;KCL MP Motorsport;2;Turn 4;8;10:12:11.617;3;no;no
11;Reno FRANCOT;KCL MP Motorsport;3;Turn 4;14;10:28:51.153;3;no;no
12;Philippe Armand KARRAS;G4 Racing;1;Turn 2;6;10:09:28.551;2;no;no
12;Philippe Armand KARRAS;G4 Racing;2;Turn 6;20;10:38:25.576;2;no;no
13;Jean Paul KARRAS;G4 Racing;1;Turn 4;12;10:25:42.161;2;no;no
13;Jean Paul KARRAS;G4 Racing;2;Turn 11;15;10:31:06.202;2;no;no
15;Ricardo BAPTISTA;DXR;1;Turn 2;16;10:33:26.625;3;no;no
15;Ricardo BAPTISTA;DXR;2;Turn 11;15;10:32:38.071;3;no;no
15;Ricardo BAPTISTA;DXR;3;Turn 1;17;10:34:53.437;3;no;no
17;Nacho TUÑON;Tecnicar by Amtog;1;Turn 4;13;10:32:17.698;3;no;no
17;Nacho TUÑON;Tecnicar by Amtog;2;Turn 11;15;10:36:05.064;3;no;no
17;Nacho TUÑON;Tecnicar by Amtog;3;Turn 4;16;10:37:01.575;3;no;no
17;Nacho TUÑON;Tecnicar by Amtog;4;Turn 2;16;10:36:52.759;3;no;no
19;Matus RYBA;Griffin Core;1;Turn 4;6;10:09:45.207;2;no;no
19;Matus RYBA;Griffin Core;2;Turn 4;12;10:31:09.428;2;no;no
22;Juan COTA;MP Motorsport;1;Turn 4;11;10:26:40.088;3;no;no
22;Juan COTA;MP Motorsport;2;Turn 4;14;10:31:24.236;3;no;no
22;Juan COTA;MP Motorsport;3;Turn 4;15;10:32:58.298;3;no;no
23;Jan PRZYROWSKI;Griffin Core;1;Turn 1;10;10:27:16.225;3;no;no
23;Jan PRZYROWSKI;Griffin Core;2;Turn 4;11;10:29:09.385;3;no;no
23;Jan PRZYROWSKI;Griffin Core;3;Turn 1;17;10:38:18.769;3;no;no
24;Kyuho LEE;Rodin Motorsport;1;Turn 4;6;10:11:10.157;4;no;no
24;Kyuho LEE;Rodin Motorsport;2;Turn 1;7;10:12:31.097;4;no;no
24;Kyuho LEE;Rodin Motorsport;3;Turn 4;11;10:26:42.959;4;no;no
24;Kyuho LEE;Rodin Motorsport;4;Turn 1;12;10:28:01.241;4;no;no
25;Miki BLASCOS;Monlau Motorsport;1;Turn 4;6;10:09:26.616;3;no;no
25;Miki BLASCOS;Monlau Motorsport;2;Turn 1;7;10:10:45.097;3;no;no
25;Miki BLASCOS;Monlau Motorsport;3;Turn 4;17;10:34:12.173;3;no;no
27;Alexander JACOBY;Monlau Motorsport;1;Turn 4;3;10:04:35.362;4;no;no
27;Alexander JACOBY;Monlau Motorsport;2;Turn 4;9;10:14:12.345;4;no;no
27;Alexander JACOBY;Monlau Motorsport;3;Turn 4;15;10:30:54.804;4;no;no
27;Alexander JACOBY;Monlau Motorsport;4;Turn 4;18;10:35:39.228;4;no;no
32;Wiktor DOBRZANSKI;Tecnicar by Amtog;1;Turn 4;3;10:05:03.555;3;no;no
32;Wiktor DOBRZANSKI;Tecnicar by Amtog;2;Turn 4;5;10:08:18.415;3;no;no
32;Wiktor DOBRZANSKI;Tecnicar by Amtog;3;Turn 1;14;10:28:18.499;3;no;no
33;Christopher EL FEGHALI;Drivex;1;Turn 6;15;10:33:21.171;1;no;no
37;Filippo FIORENTINO;Drivex;1;Turn 4;7;10:11:11.222;3;no;no
