POS; NUMBER; DRIVER; TEAM; TIME; GAP_FIRST; GAP_PREVIOUS;
1;99;Thomas STRAUVEN;Griffin Core;1:33.703;-;-;
2;23;Jan PRZYROWSKI;Griffin Core;1:33.925;+0.222;+0.222;
3;9;René LAMMERS;MP Motorsport;1:34.073;+0.370;+0.148;
4;11;Reno FRANCOT;KCL MP Motorsport;1:34.115;+0.412;+0.042;
5;4;Ean EYCKMANS;MP Motorsport;1:34.182;+0.479;+0.067;
6;5;Miguel COSTA;Campos Racing;1:34.208;+0.505;+0.026;
7;10;Niklas SCHAUFLER;KCL MP Motorsport;1:34.238;+0.535;+0.030;
8;81;Noah MONTEIRO;Campos Racing;1:34.257;+0.554;+0.019;
9;2;Vivek KANTHAN;Campos Racing;1:34.272;+0.569;+0.015;
10;39;Santino PANETTA;TC Racing;1:34.347;+0.644;+0.075;
11;1;Hudson SCHWARTZ;KCL MP Motorsport;1:34.385;+0.682;+0.038;
12;17;Nacho TUÑON;Tecnicar by Amtog;1:34.408;+0.705;+0.023;
13;78;Alfio SPINA;TC Racing;1:34.498;+0.795;+0.090;
14;33;Christopher EL FEGHALI;Drivex;1:34.564;+0.861;+0.066;
15;46;Nathan TYE;Rodin Motorsport;1:34.576;+0.873;+0.012;
16;12;Philippe Armand KARRAS;G4 Racing;1:34.624;+0.921;+0.048;
17;48;Gino TRAPPA;Drivex;1:34.637;+0.934;+0.013;
18;25;Miki BLASCOS;Monlau Motorsport;1:34.687;+0.984;+0.050;
19;13;Jean Paul KARRAS;G4 Racing;1:34.714;+1.011;+0.027;
20;37;Filippo FIORENTINO;Drivex;1:34.715;+1.012;+0.001;
21;19;Matus RYBA;Griffin Core;1:34.779;+1.076;+0.064;
22;27;Alexander JACOBY;Monlau Motorsport;1:34.810;+1.107;+0.031;
23;88;Rogerio GROTTA;TC Racing;1:35.002;+1.299;+0.192;
24;24;Kyuho LEE;Rodin Motorsport;1:35.022;+1.319;+0.020;
25;55;Emma FELBERMAYR;Rodin Motorsport;1:35.024;+1.321;+0.002;
26;6;Aleix PIÑERA;T-Code by Amtog;1:35.031;+1.328;+0.007;
27;32;Wiktor DOBRZANSKI;Tecnicar by Amtog;1:35.032;+1.329;+0.001;
28;71;Yani STEVENHEYDENS;GRS Team;1:35.120;+1.417;+0.088;
29;91;Lorenzo CAMPOS;Monlau Motorsport;1:35.134;+1.431;+0.014;
30;70;Aleksandar BOGUNOVIC;GRS Team;1:35.164;+1.461;+0.030;
31;57;Kaiden HIGGINS;DXR;1:35.168;+1.465;+0.004;
32;41;Stepan SUSLOV;DXR;1:35.382;+1.679;+0.214;
33;22;Juan COTA;MP Motorsport;1:35.394;+1.691;+0.012;
34;15;Ricardo BAPTISTA;DXR;1:35.763;+2.060;+0.369;
;77;Andrej PETROVIC;T-Code by Amtog;;;;
