NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
1;1;1;3:54.074;0;;2:34.716;0;51.401;0;27.957;0;61.6;3:54.074;12:28:54.074;2:34.716;0:51.401;0:27.957;;Hudson SCHWARTZ;0:02:08.467;;;KCL MP Motorsport;;GF;154.716;51.401;27.957;
1;1;2;1:38.361;0;;23.526;0;47.891;0;26.944;0;146.6;5:32.435;12:30:32.435;0:23.526;0:47.891;0:26.944;208.2;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;23.526;47.891;26.944;
1;1;3;1:41.530;0;;22.273;0;50.585;0;28.672;0;142.0;7:13.965;12:32:13.965;0:22.273;0:50.585;0:28.672;212.7;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;22.273;50.585;28.672;
1;1;4;1:34.676;0;;21.986;0;46.535;0;26.155;0;152.3;8:48.641;12:33:48.641;0:21.986;0:46.535;0:26.155;212.7;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;21.986;46.535;26.155;
1;1;5;1:36.159;0;;21.918;0;46.503;0;27.738;0;149.9;10:24.800;12:35:24.800;0:21.918;0:46.503;0:27.738;215.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;21.918;46.503;27.738;
1;1;6;1:34.600;0;;22.204;0;46.279;0;26.117;0;152.4;11:59.400;12:36:59.400;0:22.204;0:46.279;0:26.117;214.0;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;22.204;46.279;26.117;
1;1;7;1:34.385;0;;21.853;2;46.376;0;26.156;0;152.8;13:33.785;12:38:33.785;0:21.853;0:46.376;0:26.156;214.0;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;21.853;46.376;26.156;
1;1;8;1:36.951;0;;21.932;0;46.459;0;28.560;0;148.7;15:10.736;12:40:10.736;0:21.932;0:46.459;0:28.560;213.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;21.932;46.459;28.560;
1;1;9;1:34.267;2;;21.872;0;46.266;2;26.129;0;152.9;16:45.003;12:41:45.003;0:21.872;0:46.266;0:26.129;214.0;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;21.872;46.266;26.129;
1;1;10;1:34.389;0;;21.872;0;46.410;0;26.107;2;152.8;18:19.392;12:43:19.392;0:21.872;0:46.410;0:26.107;215.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;21.872;46.410;26.107;
1;1;11;1:35.286;0;;21.927;0;46.484;0;26.875;0;151.3;19:54.678;12:44:54.678;0:21.927;0:46.484;0:26.875;214.0;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;21.927;46.484;26.875;
1;1;12;1:43.206;0;B;22.027;0;46.498;0;34.681;0;139.7;21:37.884;12:46:37.884;0:22.027;0:46.498;0:34.681;212.7;Hudson SCHWARTZ;;;;KCL MP Motorsport;;FF;22.027;46.498;34.681;
10;1;1;5:00.391;0;;3:37.847;0;53.177;0;29.367;0;48.0;5:00.391;12:30:00.391;3:37.847;0:53.177;0:29.367;;Niklas SCHAUFLER;0:03:11.208;R;;KCL MP Motorsport;;GF;217.847;53.177;29.367;
10;1;2;1:37.717;0;;23.222;0;47.978;0;26.517;0;147.5;6:38.108;12:31:38.108;0:23.222;0:47.978;0:26.517;206.9;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;23.222;47.978;26.517;
10;1;3;1:35.705;0;;22.230;0;47.173;0;26.302;0;150.7;8:13.813;12:33:13.813;0:22.230;0:47.173;0:26.302;213.3;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;22.230;47.173;26.302;
10;1;4;1:34.555;0;;21.935;0;46.464;0;26.156;0;152.5;9:48.368;12:34:48.368;0:21.935;0:46.464;0:26.156;213.3;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;21.935;46.464;26.156;
10;1;5;1:34.626;0;;21.865;0;46.538;0;26.223;0;152.4;11:22.994;12:36:22.994;0:21.865;0:46.538;0:26.223;213.3;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;21.865;46.538;26.223;
10;1;6;1:34.567;0;;21.984;0;46.466;0;26.117;0;152.5;12:57.561;12:37:57.561;0:21.984;0:46.466;0:26.117;213.3;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;21.984;46.466;26.117;
10;1;7;1:34.325;0;;21.757;0;46.463;0;26.105;0;152.9;14:31.886;12:39:31.886;0:21.757;0:46.463;0:26.105;213.3;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;21.757;46.463;26.105;
10;1;8;1:34.130;2;;21.856;0;46.218;2;26.056;2;153.2;16:06.016;12:41:06.016;0:21.856;0:46.218;0:26.056;214.0;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;21.856;46.218;26.056;
10;1;9;1:34.238;0;;21.755;0;46.310;0;26.173;0;153.0;17:40.254;12:42:40.254;0:21.755;0:46.310;0:26.173;214.0;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;21.755;46.310;26.173;
10;1;10;1:35.257;0;;21.740;2;46.478;0;27.039;0;151.4;19:15.511;12:44:15.511;0:21.740;0:46.478;0:27.039;213.3;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;21.740;46.478;27.039;
10;1;11;1:49.454;0;B;22.406;0;48.700;0;38.348;0;131.7;21:04.965;12:46:04.965;0:22.406;0:48.700;0:38.348;203.9;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;FF;22.406;48.700;38.348;
11;1;1;5:03.497;0;;3:43.266;0;52.029;0;28.202;0;47.5;5:03.497;12:30:03.497;3:43.266;0:52.029;0:28.202;;Reno FRANCOT;0:03:17.207;;;KCL MP Motorsport;;GF;223.266;52.029;28.202;
11;1;2;1:47.523;0;B;25.028;0;49.324;0;33.171;0;134.1;6:51.020;12:31:51.020;0:25.028;0:49.324;0:33.171;207.6;Reno FRANCOT;;;;KCL MP Motorsport;;GF;25.028;49.324;33.171;
11;1;3;1:56.775;0;;43.502;0;47.079;0;26.194;0;123.5;8:47.795;12:33:47.795;0:43.502;0:47.079;0:26.194;;Reno FRANCOT;0:00:25.992;;;KCL MP Motorsport;;GF;43.502;47.079;26.194;
11;1;4;1:34.272;0;;21.916;0;46.245;0;26.111;0;152.9;10:22.067;12:35:22.067;0:21.916;0:46.245;0:26.111;212.0;Reno FRANCOT;;;;KCL MP Motorsport;;GF;21.916;46.245;26.111;
11;1;5;1:34.033;2;;21.761;0;46.251;0;26.021;2;153.3;11:56.100;12:36:56.100;0:21.761;0:46.251;0:26.021;211.4;Reno FRANCOT;;;;KCL MP Motorsport;;GF;21.761;46.251;26.021;
11;1;6;1:34.205;0;;21.795;0;46.237;2;26.173;0;153.0;13:30.305;12:38:30.305;0:21.795;0:46.237;0:26.173;212.0;Reno FRANCOT;;;;KCL MP Motorsport;;GF;21.795;46.237;26.173;
11;1;7;1:34.115;0;;21.750;0;46.320;0;26.045;0;153.2;15:04.420;12:40:04.420;0:21.750;0:46.320;0:26.045;212.7;Reno FRANCOT;;;;KCL MP Motorsport;;GF;21.750;46.320;26.045;
11;1;8;1:36.348;0;;21.845;0;46.488;0;28.015;0;149.6;16:40.768;12:41:40.768;0:21.845;0:46.488;0:28.015;214.7;Reno FRANCOT;;;;KCL MP Motorsport;;GF;21.845;46.488;28.015;
11;1;9;1:34.768;0;;21.748;2;46.513;0;26.507;0;152.1;18:15.536;12:43:15.536;0:21.748;0:46.513;0:26.507;214.7;Reno FRANCOT;;;;KCL MP Motorsport;;GF;21.748;46.513;26.507;
11;1;10;1:40.128;0;;23.984;0;49.399;0;26.745;0;144.0;19:55.664;12:44:55.664;0:23.984;0:49.399;0:26.745;214.0;Reno FRANCOT;;;;KCL MP Motorsport;;GF;23.984;49.399;26.745;
11;1;11;1:44.175;0;B;21.841;0;46.531;0;35.803;0;138.4;21:39.839;12:46:39.839;0:21.841;0:46.531;0:35.803;215.3;Reno FRANCOT;;;;KCL MP Motorsport;;FF;21.841;46.531;35.803;
12;1;1;4:46.182;0;;3:24.009;0;53.139;0;29.034;0;50.4;4:46.182;12:29:46.182;3:24.009;0:53.139;0:29.034;;Philippe Armand KARRAS;0:02:57.969;R;;G4 Racing;;GF;204.009;53.139;29.034;
12;1;2;1:39.481;0;;23.674;0;48.783;0;27.024;0;144.9;6:25.663;12:31:25.663;0:23.674;0:48.783;0:27.024;198.1;Philippe Armand KARRAS;;R;;G4 Racing;;GF;23.674;48.783;27.024;
12;1;3;1:36.332;0;;22.868;0;47.104;0;26.360;0;149.7;8:01.995;12:33:01.995;0:22.868;0:47.104;0:26.360;202.7;Philippe Armand KARRAS;;R;;G4 Racing;;GF;22.868;47.104;26.360;
12;1;4;1:35.265;0;;22.276;0;46.631;0;26.358;0;151.3;9:37.260;12:34:37.260;0:22.276;0:46.631;0:26.358;207.6;Philippe Armand KARRAS;;R;;G4 Racing;;GF;22.276;46.631;26.358;
12;1;5;1:34.920;0;;22.112;0;46.522;0;26.286;0;151.9;11:12.180;12:36:12.180;0:22.112;0:46.522;0:26.286;206.9;Philippe Armand KARRAS;;R;;G4 Racing;;GF;22.112;46.522;26.286;
12;1;6;1:34.618;2;;21.997;0;46.467;0;26.154;0;152.4;12:46.798;12:37:46.798;0:21.997;0:46.467;0:26.154;210.1;Philippe Armand KARRAS;;R;;G4 Racing;;GF;21.997;46.467;26.154;
12;1;7;1:34.813;0;;22.163;0;46.444;2;26.206;0;152.1;14:21.611;12:39:21.611;0:22.163;0:46.444;0:26.206;210.1;Philippe Armand KARRAS;;R;;G4 Racing;;GF;22.163;46.444;26.206;
12;1;8;1:34.735;0;;21.968;0;46.597;0;26.170;0;152.2;15:56.346;12:40:56.346;0:21.968;0:46.597;0:26.170;209.5;Philippe Armand KARRAS;;R;;G4 Racing;;GF;21.968;46.597;26.170;
12;1;9;1:34.624;0;;21.931;2;46.522;0;26.171;0;152.4;17:30.970;12:42:30.970;0:21.931;0:46.522;0:26.171;210.7;Philippe Armand KARRAS;;R;;G4 Racing;;GF;21.931;46.522;26.171;
12;1;10;1:34.782;0;;22.012;0;46.673;0;26.097;2;152.1;19:05.752;12:44:05.752;0:22.012;0:46.673;0:26.097;210.1;Philippe Armand KARRAS;;R;;G4 Racing;;GF;22.012;46.673;26.097;
