Nr;Driver;Team;TL_Nr;Camera;Lap;Time;Total_Infractions;TL_After;TL_PREVIOUS
1;Hudson SCHWARTZ;KCL MP Motorsport;1;Turn 4;10;10:18:18.016;1;no;no
2;Vivek KANTHAN;Campos Racing;1;Turn 4;7;10:13:06.867;2;no;no
2;Vivek KANTHAN;Campos Racing;2;Turn 1;9;10:15:58.461;2;no;no
4;Ean EYCKMANS;MP Motorsport;1;Turn 4;4;10:09:10.060;2;no;no
4;Ean EYCKMANS;MP Motorsport;2;Turn 4;8;10:15:26.935;2;no;no
5;Miguel COSTA;Campos Racing;1;Turn 4;5;10:09:59.338;1;no;no
6;Aleix PIÑERA;T-Code by Amtog;1;Turn 14;9;10:14:49.394;1;yes;no
9;René LAMMERS;MP Motorsport;1;Turn 4;4;10:08:11.601;3;no;no
9;René LAMMERS;MP Motorsport;2;Turn 4;8;10:14:29.413;3;no;no
9;René LAMMERS;MP Motorsport;3;Turn 6;10;10:17:49.792;3;no;no
10;Niklas SCHAUFLER;KCL MP Motorsport;1;Turn 4;7;10:13:30.819;2;no;no
10;Niklas SCHAUFLER;KCL MP Motorsport;2;Turn 2;10;10:18:08.509;2;no;no
10;Niklas SCHAUFLER;KCL MP Motorsport;3;Turn 4;10;10:18:18.016;2;no;no
11;Reno FRANCOT;KCL MP Motorsport;1;Turn 4;4;10:09:22.212;3;no;no
11;Reno FRANCOT;KCL MP Motorsport;2;Turn 6;8;10:15:54.512;3;no;no
11;Reno FRANCOT;KCL MP Motorsport;3;Turn 4;10;10:18:49.804;3;no;no
13;Jean Paul KARRAS;G4 Racing;1;Turn 2;9;10:16:21.113;2;no;no
13;Jean Paul KARRAS;G4 Racing;2;Turn 1;10;10:17:46.401;2;no;no
15;Ricardo BAPTISTA;DXR;1;Turn 4;2;10:05:24.537;3;no;no
15;Ricardo BAPTISTA;DXR;2;Turn 4;4;10:08:42.404;3;no;no
15;Ricardo BAPTISTA;DXR;3;Turn 14;7;10:14:29.449;3;yes;no
17;Nacho TUÑON;Tecnicar by Amtog;1;Turn 1;9;10:15:19.670;1;no;no
19;Matus RYBA;Griffin Core;1;Turn 4;9;10:16:20.428;1;no;no
22;Juan COTA;MP Motorsport;1;Turn 4;9;10:17:48.808;1;no;no
24;Kyuho LEE;Rodin Motorsport;1;Turn 4;8;10:15:49.691;2;no;no
24;Kyuho LEE;Rodin Motorsport;2;Turn 4;10;10:18:59.538;2;no;no
25;Miki BLASCOS;Monlau Motorsport;1;Turn 4;7;10:14:00.884;2;no;no
25;Miki BLASCOS;Monlau Motorsport;2;Turn 4;10;10:18:45.203;2;no;no
27;Alexander JACOBY;Monlau Motorsport;1;Turn 2;9;10:16:14.704;1;no;no
33;Christopher EL FEGHALI;Drivex;1;Turn 4;11;10:19:58.806;1;no;no
41;Stepan SUSLOV;DXR;1;Turn 4;7;10:11:41.336;1;no;no
46;Nathan TYE;Rodin Motorsport;1;Turn 6;10;10:19:08.211;1;no;no
57;Kaiden HIGGINS;DXR;1;Turn 4;9;10:14:08.361;3;no;no
57;Kaiden HIGGINS;DXR;2;Turn 2;11;10:17:09.791;3;no;no
57;Kaiden HIGGINS;DXR;3;Turn 1;12;10:18:35.660;3;no;no
78;Alfio SPINA;TC Racing;1;Turn 1;10;10:16:33.998;2;no;no
78;Alfio SPINA;TC Racing;2;Turn 4;12;10:20:00.877;2;no;no
81;Noah MONTEIRO;Campos Racing;1;Turn 6;9;10:16:30.054;1;no;no
88;Rogerio GROTTA;TC Racing;1;Turn 14;6;10:10:31.584;2;yes;no
88;Rogerio GROTTA;TC Racing;2;Turn 11;12;10:19:44.751;2;no;no
99;Thomas STRAUVEN;Griffin Core;1;Turn 4;4;10:08:17.149;2;no;no
99;Thomas STRAUVEN;Griffin Core;2;Turn 1;8;10:14:50.733;2;no;no
