NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
1;1;1;1:46.314;0;;30.357;0;49.084;0;26.873;0;135.6;1:46.314;15:00:38.988;0:30.357;0:49.084;0:26.873;;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;30.357;49.084;26.873;
1;1;2;1:36.824;0;;22.560;0;47.688;0;26.576;0;148.9;3:23.138;15:02:15.812;0:22.560;0:47.688;0:26.576;218.7;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;22.560;47.688;26.576;
1;1;3;1:35.744;0;;22.121;0;47.010;0;26.613;0;150.6;4:58.882;15:03:51.556;0:22.121;0:47.010;0:26.613;216.7;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;22.121;47.010;26.613;
1;1;4;1:35.625;0;;22.145;0;46.985;0;26.495;0;150.8;6:34.507;15:05:27.181;0:22.145;0:46.985;0:26.495;217.4;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;22.145;46.985;26.495;
1;1;5;1:35.635;0;;22.154;0;47.073;0;26.408;0;150.8;8:10.142;15:07:02.816;0:22.154;0:47.073;0:26.408;217.4;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;22.154;47.073;26.408;
1;1;6;1:35.472;0;;22.106;0;46.886;0;26.480;0;151.0;9:45.614;15:08:38.288;0:22.106;0:46.886;0:26.480;218.0;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;22.106;46.886;26.480;
1;1;7;1:35.400;2;;22.094;0;46.868;0;26.438;0;151.1;11:21.014;15:10:13.688;0:22.094;0:46.868;0:26.438;215.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;22.094;46.868;26.438;
1;1;8;1:35.428;0;;22.080;2;46.964;0;26.384;0;151.1;12:56.442;15:11:49.116;0:22.080;0:46.964;0:26.384;216.0;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;22.080;46.964;26.384;
1;1;9;1:35.731;0;;22.147;0;46.985;0;26.599;0;150.6;14:32.173;15:13:24.847;0:22.147;0:46.985;0:26.599;214.7;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;22.147;46.985;26.599;
1;1;10;1:35.503;0;;22.252;0;46.853;2;26.398;0;151.0;16:07.676;15:15:00.350;0:22.252;0:46.853;0:26.398;214.0;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;22.252;46.853;26.398;
1;1;11;1:35.752;0;;22.112;0;47.190;0;26.450;0;150.6;17:43.428;15:16:36.102;0:22.112;0:47.190;0:26.450;216.0;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;22.112;47.190;26.450;
1;1;12;1:35.679;0;;22.196;0;46.983;0;26.500;0;150.7;19:19.107;15:18:11.781;0:22.196;0:46.983;0:26.500;214.7;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;22.196;46.983;26.500;
1;1;13;1:35.405;0;;22.177;0;46.908;0;26.320;0;151.1;20:54.512;15:19:47.186;0:22.177;0:46.908;0:26.320;214.7;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;22.177;46.908;26.320;
1;1;14;1:35.539;0;;22.130;0;46.966;0;26.443;0;150.9;22:30.051;15:21:22.725;0:22.130;0:46.966;0:26.443;216.7;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;22.130;46.966;26.443;
1;1;15;1:35.579;0;;22.206;0;47.071;0;26.302;2;150.8;24:05.630;15:22:58.304;0:22.206;0:47.071;0:26.302;215.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;22.206;47.071;26.302;
1;1;16;1:35.767;0;;22.099;0;47.210;0;26.458;0;150.6;25:41.397;15:24:34.071;0:22.099;0:47.210;0:26.458;216.7;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;22.099;47.210;26.458;
