TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1760879381;19/10/2025 13:09:41;23,47;15,4;55;1016;11,124;170;0;
1760879501;19/10/2025 13:11:41;23,47;15,4;55;1016;11,124;170;0;
1760879621;19/10/2025 13:13:41;23,47;15,4;55;1016;11,124;170;0;
1760879741;19/10/2025 13:15:41;23,47;15,4;55;1016;11,124;170;0;
1760879860;19/10/2025 13:17:40;23,47;15,4;55;1016;11,124;170;0;
1760879981;19/10/2025 13:19:41;23,48;15,4;57;1016;11,124;160;0;
1760880101;19/10/2025 13:21:41;23,44;15,4;57;1016;11,124;160;0;
1760880221;19/10/2025 13:23:41;23,44;15,4;57;1016;11,124;160;0;
1760880341;19/10/2025 13:25:41;23,44;15,4;57;1016;11,124;160;0;
1760880461;19/10/2025 13:27:41;23,44;15,4;57;1016;11,124;160;0;
1760880581;19/10/2025 13:29:41;23,44;15,4;57;1016;11,124;160;0;
1760880701;19/10/2025 13:31:41;23,44;15,4;57;1016;11,124;160;0;
1760880821;19/10/2025 13:33:41;23,12;15,4;57;1015;11,124;160;0;
1760880941;19/10/2025 13:35:41;23,12;15,4;57;1015;11,124;160;0;
1760881061;19/10/2025 13:37:41;23,12;15,4;57;1015;11,124;160;0;
1760881181;19/10/2025 13:39:41;23,12;15,4;57;1015;11,124;160;0;
