Nr;Driver;Team;TL_Nr;Camera;Lap;Time;Total_Infractions;TL_After;TL_PREVIOUS
1;Hudson SCHWARTZ;KCL MP Motorsport;1;Turn 4;6;15:17:10.130;2;no;no
1;Hudson SCHWARTZ;KCL MP Motorsport;2;Turn 4;15;15:31:26.218;2;no;no
2;Vivek KANTHAN;Campos Racing;1;Turn 4;2;15:10:52.692;5;no;no
2;Vivek KANTHAN;Campos Racing;2;Turn 6;6;15:17:28.782;5;no;no
2;Vivek KANTHAN;Campos Racing;3;Turn 1;6;15:16:57.568;5;no;no
2;Vivek KANTHAN;Campos Racing;4;Turn 4;7;15:18:50.466;5;no;no
2;Vivek KANTHAN;Campos Racing;5;Turn 6;18;15:36:35.581;5;no;no
4;Ean EYCKMANS;MP Motorsport;1;Turn 1;3;15:12:06.907;2;no;no
4;Ean EYCKMANS;MP Motorsport;2;Turn 4;10;15:23:29.815;2;no;no
5;Miguel COSTA;Campos Racing;1;Turn 2;2;15:10:43.917;6;no;no
5;Miguel COSTA;Campos Racing;2;Turn 4;2;15:10:52.692;6;no;no
5;Miguel COSTA;Campos Racing;3;Turn 4;4;15:14:04.347;6;no;no
5;Miguel COSTA;Campos Racing;4;Turn 4;5;15:15:39.814;6;no;no
5;Miguel COSTA;Campos Racing;5;Turn 1;9;15:21:44.303;6;no;no
5;Miguel COSTA;Campos Racing;6;Turn 4;10;15:23:37.158;6;no;no
6;Aleix PIÑERA;T-Code by Amtog;1;Turn 4;5;15:15:47.292;5;no;no
6;Aleix PIÑERA;T-Code by Amtog;2;Turn 2;6;15:17:13.907;5;no;no
6;Aleix PIÑERA;T-Code by Amtog;3;Turn 1;9;15:21:53.503;5;no;no
6;Aleix PIÑERA;T-Code by Amtog;4;Turn 1;10;15:23:29.252;5;no;no
6;Aleix PIÑERA;T-Code by Amtog;5;Turn 4;13;15:28:35.084;5;no;no
9;René LAMMERS;MP Motorsport;1;Turn 4;3;15:12:22.683;4;no;no
9;René LAMMERS;MP Motorsport;2;Turn 4;8;15:20:15.690;4;no;no
9;René LAMMERS;MP Motorsport;3;Turn 4;9;15:21:50.218;4;no;no
9;René LAMMERS;MP Motorsport;4;Turn 4;20;15:39:11.624;4;no;no
10;Niklas SCHAUFLER;KCL MP Motorsport;1;Turn 1;10;15:23:13.514;2;no;no
10;Niklas SCHAUFLER;KCL MP Motorsport;2;Turn 1;17;15:34:18.696;2;no;no
11;Reno FRANCOT;KCL MP Motorsport;1;Turn 1;3;15:12:04.979;4;no;no
11;Reno FRANCOT;KCL MP Motorsport;2;Turn 4;5;15:15:33.473;4;no;no
11;Reno FRANCOT;KCL MP Motorsport;3;Turn 2;9;15:21:44.038;4;no;no
11;Reno FRANCOT;KCL MP Motorsport;4;Turn 1;18;15:35:48.901;4;no;no
12;Philippe Armand KARRAS;G4 Racing;1;Turn 1;7;15:18:42.910;4;no;no
12;Philippe Armand KARRAS;G4 Racing;2;Turn 2;8;15:20:28.228;4;no;no
12;Philippe Armand KARRAS;G4 Racing;3;Turn 1;14;15:29:53.443;4;no;no
12;Philippe Armand KARRAS;G4 Racing;4;Turn 4;13;15:28:35.084;4;no;no
13;Jean Paul KARRAS;G4 Racing;1;Turn 6;10;15:23:47.185;1;no;no
15;Ricardo BAPTISTA;DXR;1;Turn 2;2;15:10:51.287;8;no;no
15;Ricardo BAPTISTA;DXR;2;Turn 6;2;15:11:13.178;8;no;no
15;Ricardo BAPTISTA;DXR;3;Turn 11;2;15:11:40.297;8;no;no
15;Ricardo BAPTISTA;DXR;4;Turn 11;4;15:14:56.159;8;no;no
15;Ricardo BAPTISTA;DXR;5;Turn 6;9;15:22:32.649;8;no;no
15;Ricardo BAPTISTA;DXR;6;Turn 6;15;15:32:12.722;8;no;no
15;Ricardo BAPTISTA;DXR;7;Turn 6;16;15:33:49.857;8;no;no
15;Ricardo BAPTISTA;DXR;8;Turn 14;19;15:39:27.118;8;yes;no
17;Nacho TUÑON;Tecnicar by Amtog;1;Turn 1;2;15:10:34.189;6;no;no
17;Nacho TUÑON;Tecnicar by Amtog;2;Turn 4;3;15:12:27.558;6;no;no
17;Nacho TUÑON;Tecnicar by Amtog;3;Turn 4;6;15:17:14.339;6;no;no
17;Nacho TUÑON;Tecnicar by Amtog;4;Turn 4;12;15:26:47.609;6;no;no
17;Nacho TUÑON;Tecnicar by Amtog;5;Turn 4;13;15:28:23.405;6;no;no
17;Nacho TUÑON;Tecnicar by Amtog;6;Turn 1;14;15:29:41.042;6;no;no
19;Matus RYBA;Griffin Core;1;Turn 1;2;15:10:34.985;4;no;no
19;Matus RYBA;Griffin Core;2;Turn 2;3;15:12:23.174;4;no;no
19;Matus RYBA;Griffin Core;3;Turn 6;8;15:20:42.035;4;no;no
19;Matus RYBA;Griffin Core;4;Turn 1;14;15:29:42.506;4;no;no
22;Juan COTA;MP Motorsport;1;Turn 4;3;15:12:26.823;4;no;no
22;Juan COTA;MP Motorsport;2;Turn 4;6;15:17:13.070;4;no;no
22;Juan COTA;MP Motorsport;3;Turn 2;10;15:23:25.439;4;no;no
22;Juan COTA;MP Motorsport;4;Turn 1;18;15:35:57.979;4;no;no
23;Jan PRZYROWSKI;Griffin Core;1;Turn 1;3;15:12:04.979;3;no;no
23;Jan PRZYROWSKI;Griffin Core;2;Turn 1;16;15:32:39.374;3;no;no
23;Jan PRZYROWSKI;Griffin Core;3;Turn 6;18;15:36:20.601;3;no;no
24;Kyuho LEE;Rodin Motorsport;1;Turn 4;3;15:12:33.897;3;no;no
24;Kyuho LEE;Rodin Motorsport;2;Turn 6;11;15:25:35.668;3;no;no
24;Kyuho LEE;Rodin Motorsport;3;Turn 6;20;15:40:00.061;3;no;no
25;Miki BLASCOS;Monlau Motorsport;1;Turn 4;3;15:12:33.897;5;no;no
25;Miki BLASCOS;Monlau Motorsport;2;Turn 4;4;15:14:10.822;5;no;no
25;Miki BLASCOS;Monlau Motorsport;3;Turn 4;6;15:17:22.881;5;no;no
25;Miki BLASCOS;Monlau Motorsport;4;Turn 4;8;15:20:34.873;5;no;no
25;Miki BLASCOS;Monlau Motorsport;5;Turn 4;20;15:39:45.219;5;no;no
27;Alexander JACOBY;Monlau Motorsport;1;Turn 2;2;15:10:48.754;4;no;no
27;Alexander JACOBY;Monlau Motorsport;2;Turn 6;10;15:24:28.529;4;no;no
27;Alexander JACOBY;Monlau Motorsport;3;Turn 1;12;15:27:09.033;4;no;no
27;Alexander JACOBY;Monlau Motorsport;4;Turn 1;14;15:30:21.451;4;no;no
32;Wiktor DOBRZANSKI;Tecnicar by Amtog;1;Turn 4;3;15:12:39.097;6;no;no
32;Wiktor DOBRZANSKI;Tecnicar by Amtog;2;Turn 1;4;15:13:58.511;6;no;no
32;Wiktor DOBRZANSKI;Tecnicar by Amtog;3;Turn 1;9;15:21:57.429;6;no;no
32;Wiktor DOBRZANSKI;Tecnicar by Amtog;4;Turn 4;12;15:27:05.563;6;no;no
32;Wiktor DOBRZANSKI;Tecnicar by Amtog;5;Turn 1;18;15:36:26.576;6;no;no
